noga_section,comp_indu_noga,noga,noga_section_label,indu_comp_noga_label,noga_label
AB,1,1,"Agriculture, forestry, fishing and mining","Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities"
AB,1,2,"Agriculture, forestry, fishing and mining","Agriculture, forestry and fishing",Forestry and logging
AB,1,3,"Agriculture, forestry, fishing and mining","Agriculture, forestry and fishing",Fishing and aquaculture
AB,1,5,"Agriculture, forestry, fishing and mining","Agriculture, forestry and fishing",Mining of coal and lignite
AB,1,6,"Agriculture, forestry, fishing and mining","Agriculture, forestry and fishing",Extraction of crude petroleum and natural gas
AB,1,7,"Agriculture, forestry, fishing and mining","Agriculture, forestry and fishing",Mining of metal ores
AB,1,8,"Agriculture, forestry, fishing and mining","Agriculture, forestry and fishing",Other mining and quarrying
AB,1,9,"Agriculture, forestry, fishing and mining","Agriculture, forestry and fishing",Mining support service activities
C,2,10,Manufacturing,Manufacture of food products and tobacco products,Manufacture of food products
C,2,11,Manufacturing,Manufacture of food products and tobacco products,Manufacture of beverages
C,2,12,Manufacturing,Manufacture of food products and tobacco products,Manufacture of tobacco products
C,3,13,Manufacturing,Manufacture of textiles and wearing apparel,Manufacture of textiles
C,3,14,Manufacturing,Manufacture of textiles and wearing apparel,Manufacture of wearing apparel
C,3,15,Manufacturing,Manufacture of textiles and wearing apparel,Manufacture of leather and related products
C,4,16,Manufacturing,"Manufacture of wood and of products of wood, straw and plaiting materials (excluding furniture)","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
C,5,17,Manufacturing,Manufacture of paper and paper products,Manufacture of paper and paper products
C,6,18,Manufacturing,Printing and reproduction of recorded media,Printing and reproduction of recorded media
C,7,19,Manufacturing,Manufacture of chemicals; coke and refined petroleum products,Manufacture of coke and refined petroleum products
C,7,20,Manufacturing,Manufacture of chemicals; coke and refined petroleum products,Manufacture of chemicals and chemical products
C,8,21,Manufacturing,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations
C,9,22,Manufacturing,Manufacture of rubber and plastic products,Manufacture of rubber and plastic products
C,10,23,Manufacturing,Manufacture of glass and glass products; ceramics; processing of stones and earth,Manufacture of other non-metallic mineral products
C,11,24,Manufacturing,Manufacture and processing of basic metals,Manufacture of basic metals
C,12,25,Manufacturing,Manufacture of fabricated metal products,"Manufacture of fabricated metal products, except machinery and equipment"
C,13,26,Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products"
C,14,27,Manufacturing,Manufacture of electrical equipment,Manufacture of electrical equipment
C,15,28,Manufacturing,Manufacture of machinery and equipment,Manufacture of machinery and equipment n.e.c.
C,16,29,Manufacturing,"Manufacture of motor vehicles, trailers and other transport equipment","Manufacture of motor vehicles, trailers and semi-trailers"
C,16,30,Manufacturing,"Manufacture of motor vehicles, trailers and other transport equipment",Manufacture of other transport equipment
C,17,31,Manufacturing,Other manufacturing; repair and installation of machinery and equipment,Manufacture of furniture
C,17,32,Manufacturing,Other manufacturing; repair and installation of machinery and equipment,Other manufacturing
C,17,33,Manufacturing,Other manufacturing; repair and installation of machinery and equipment,Repair and installation of machinery and equipment
DE,18,35,"Electricity, gas, water supply; sewerage, waste management","Electricity, gas, water supply; sewerage, waste management and remediation activities","Electricity, gas, steam and air conditioning supply"
DE,18,36,"Electricity, gas, water supply; sewerage, waste management","Electricity, gas, water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply"
DE,18,37,"Electricity, gas, water supply; sewerage, waste management","Electricity, gas, water supply; sewerage, waste management and remediation activities",Sewerage
DE,18,38,"Electricity, gas, water supply; sewerage, waste management","Electricity, gas, water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery"
DE,18,39,"Electricity, gas, water supply; sewerage, waste management","Electricity, gas, water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services
F,19,41,Construction,Construction of buildings,Construction of buildings
F,20,42,Construction,Civil engineering,Civil engineering
F,21,43,Construction,Specialised construction activities,Specialised construction activities
G,22,45,Wholesale and retail trade; repair of motor vehicles,Wholesale and retail trade and repair of motor vehicles and motorcycles,Wholesale and retail trade and repair of motor vehicles and motorcycles
G,23,46,Wholesale and retail trade; repair of motor vehicles,Wholesale trade (excluding motor vehicles and motorcycles),"Wholesale trade, except of motor vehicles and motorcycles"
G,24,47,Wholesale and retail trade; repair of motor vehicles,Retail trade (excluding motor vehicles and motorcycles),"Retail trade, except of motor vehicles and motorcycles"
H,25,49,Transportation and storage,Land transport and transport via pipelines,Land transport and transport via pipelines
H,26,50,Transportation and storage,Water transport and air transport,Water transport
H,26,51,Transportation and storage,Water transport and air transport,Air transport
H,27,52,Transportation and storage,Warehousing and support activities for transportation,Warehousing and support activities for transportation
H,28,53,Transportation and storage,Postal and courier activities,Postal and courier activities
I,29,55,Accommodation and food service activities,Accommodation,Accommodation
I,30,56,Accommodation and food service activities,Food and beverage service activities,Food and beverage service activities
J,31,58,Information and communication,Publishing; audiovisual and broadcasting activities,Publishing activities
J,31,59,Information and communication,Publishing; audiovisual and broadcasting activities,"Motion picture, video and television programme production, sound recording and music publishing activities"
J,31,60,Information and communication,Publishing; audiovisual and broadcasting activities,Programming and broadcasting activities
J,32,61,Information and communication,Telecommunications; IT services; information service activities,Telecommunications
J,32,62,Information and communication,Telecommunications; IT services; information service activities,"Computer programming, consultancy and related activities"
J,32,63,Information and communication,Telecommunications; IT services; information service activities,Information service activities
K,33,64,Financial and insurance activities,Financial service activities,"Financial service activities, except insurance and pension funding"
K,34,65,Financial and insurance activities,"Insurance, reinsurance and pension funding (excluding social security)","Insurance, reinsurance and pension funding, except compulsory social security"
K,35,66,Financial and insurance activities,Activities auxiliary to financial and insurance services,Activities auxiliary to financial services and insurance activities
L,36,68,Real estate activities,Real estate activities,Real estate activities
M,37,69,"Professional, scientific and technical activities",Legal and accounting activities; auditing; tax consultancy,Legal and accounting activities
M,38,70,"Professional, scientific and technical activities",Activities of head offices; management consultancy activities,Activities of head offices; management consultancy activities
M,39,71,"Professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,Architectural and engineering activities; technical testing and analysis
M,40,72,"Professional, scientific and technical activities","Scientific research and development; other professional, scientific and technical activities; veterinary activities",Scientific research and development
M,40,73,"Professional, scientific and technical activities","Scientific research and development; other professional, scientific and technical activities; veterinary activities",Advertising and market research
M,40,74,"Professional, scientific and technical activities","Scientific research and development; other professional, scientific and technical activities; veterinary activities","Other professional, scientific and technical activities"
M,40,75,"Professional, scientific and technical activities","Scientific research and development; other professional, scientific and technical activities; veterinary activities",Veterinary activities
N,41,77,Administrative and support service activities,Administrative and other business support service activities,Rental and leasing activities
N,41,78,Administrative and support service activities,Administrative and other business support service activities,Employment activities
N,41,79,Administrative and support service activities,Administrative and other business support service activities,"Travel agency, tour operator reservation service and related activities"
N,41,80,Administrative and support service activities,Administrative and other business support service activities,Security and investigation activities
N,41,81,Administrative and support service activities,Administrative and other business support service activities,Services to buildings and landscape activities
N,41,82,Administrative and support service activities,Administrative and other business support service activities,"Office administrative, office support and other business support activities"
O,42,84,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security
P,43,85,Education,Education,Education
Q,44,86,Human health and social work activities,Human health activities,Human health activities
Q,45,87,Human health and social work activities,Residential care activities (excluding holiday and recreational homes),Residential care activities
Q,46,88,Human health and social work activities,Social work activities without accommodation,Social work activities without accommodation
R,47,90,"Arts, entertainment and recreation","Arts, entertainment and recreation","Creative, arts and entertainment activities"
R,47,91,"Arts, entertainment and recreation","Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities"
R,47,92,"Arts, entertainment and recreation","Arts, entertainment and recreation",Gambling and betting activities
R,47,93,"Arts, entertainment and recreation","Arts, entertainment and recreation",Sports activities and amusement and recreation activities
S,48,94,Other service activities,Membership organisations; religious and other associations (excluding social work and sports),Activities of membership organisations
S,49,95,Other service activities,Repair of computers and personal/household goods; other predominantly personal service activities,Repair of computers and personal and household goods
S,49,96,Other service activities,Repair of computers and personal/household goods; other predominantly personal service activities,Other personal service activities
T,50,97,Activities of households as employers,Activities of households as employers; undifferentiated goods- and services-producing activities of households,Activities of households as employers of domestic personnel
T,50,98,Activities of households as employers,Activities of households as employers; undifferentiated goods- and services-producing activities of households,Undifferentiated goods- and services- producing activities of private households for own use
U,51,99,Activities of extraterritorial organisations,Not stated; activities of extraterritorial organisations and bodies,Activities of extraterritorial organisations and bodies
