comp_indu_noga,noga_2digit,label_de,label_full_de,noga_divisions_group
1,01,"Land- und Forstwirtschaft, Fischerei","1/2/3/5/6/7/8/9 Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9
1,02,"Land- und Forstwirtschaft, Fischerei","1/2/3/5/6/7/8/9 Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9
1,03,"Land- und Forstwirtschaft, Fischerei","1/2/3/5/6/7/8/9 Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9
1,05,"Land- und Forstwirtschaft, Fischerei","1/2/3/5/6/7/8/9 Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9
1,06,"Land- und Forstwirtschaft, Fischerei","1/2/3/5/6/7/8/9 Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9
1,07,"Land- und Forstwirtschaft, Fischerei","1/2/3/5/6/7/8/9 Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9
1,08,"Land- und Forstwirtschaft, Fischerei","1/2/3/5/6/7/8/9 Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9
1,09,"Land- und Forstwirtschaft, Fischerei","1/2/3/5/6/7/8/9 Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9
2,10,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,10/11/12 Herstellung von Nahrungsmitteln und Tabakerzeugnissen,10/11/12
2,11,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,10/11/12 Herstellung von Nahrungsmitteln und Tabakerzeugnissen,10/11/12
2,12,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,10/11/12 Herstellung von Nahrungsmitteln und Tabakerzeugnissen,10/11/12
3,13,Herstellung von Textilien und Bekleidung,13/14/15 Herstellung von Textilien und Bekleidung,13/14/15
3,14,Herstellung von Textilien und Bekleidung,13/14/15 Herstellung von Textilien und Bekleidung,13/14/15
3,15,Herstellung von Textilien und Bekleidung,13/14/15 Herstellung von Textilien und Bekleidung,13/14/15
4,16,"Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)","16 Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)",16
5,17,Herstellung von Papier. Pappe und Waren daraus,17 Herstellung von Papier. Pappe und Waren daraus,17
6,18,"Herstellung von Druckerzeugnissen; Vervielfältigung von bespielten Ton-, Bild- und Datenträgern","18 Herstellung von Druckerzeugnissen; Vervielfältigung von bespielten Ton-, Bild- und Datenträgern",18
7,19,"Herstellung von chemischen Erzeugnissen, Kokerei und Mineralölverarbeitung","19/20 Herstellung von chemischen Erzeugnissen, Kokerei und Mineralölverarbeitung",19/20
7,20,"Herstellung von chemischen Erzeugnissen, Kokerei und Mineralölverarbeitung","19/20 Herstellung von chemischen Erzeugnissen, Kokerei und Mineralölverarbeitung",19/20
8,21,Herstellung von pharmazeutischen Erzeugnissen,21 Herstellung von pharmazeutischen Erzeugnissen,21
9,22,Herstellung von Gummi- und Kunststoffwaren,22 Herstellung von Gummi- und Kunststoffwaren,22
10,23,"Herstellung von Glas und Glaswaren, Keramik. Verarbeitung von Steinen und Erden","23 Herstellung von Glas und Glaswaren, Keramik. Verarbeitung von Steinen und Erden",23
11,24,Metallerzeugung und -bearbeitung,24 Metallerzeugung und -bearbeitung,24
12,25,Herstellung von Metallerzeugnissen,25 Herstellung von Metallerzeugnissen,25
