comp_indu_noga,noga_2digit,label_de,noga_divisions_group_raw,noga_section,noga_section_label
1,1,"Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9,A,"Agriculture, forestry and fishing"
1,2,"Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9,A,"Agriculture, forestry and fishing"
1,3,"Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9,A,"Agriculture, forestry and fishing"
1,5,"Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9,B,Mining and quarrying
1,6,"Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9,B,Mining and quarrying
1,7,"Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9,B,Mining and quarrying
1,8,"Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9,B,Mining and quarrying
1,9,"Land- und Forstwirtschaft, Fischerei",1/2/3/5/6/7/8/9,B,Mining and quarrying
2,10,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,10/11/12,C,Manufacturing
2,11,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,10/11/12,C,Manufacturing
2,12,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,10/11/12,C,Manufacturing
3,13,Herstellung von Textilien und Bekleidung,13/14/15,C,Manufacturing
3,14,Herstellung von Textilien und Bekleidung,13/14/15,C,Manufacturing
3,15,Herstellung von Textilien und Bekleidung,13/14/15,C,Manufacturing
4,16,"Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)",16,C,Manufacturing
5,17,Herstellung von Papier. Pappe und Waren daraus,17,C,Manufacturing
6,18,"Herstellung von Druckerzeugnissen; Vervielfältigung von bespielten Ton-, Bild- und Datenträgern",18,C,Manufacturing
7,19,"Herstellung von chemischen Erzeugnissen, Kokerei und Mineralölverarbeitung",19/20,C,Manufacturing
7,20,"Herstellung von chemischen Erzeugnissen, Kokerei und Mineralölverarbeitung",19/20,C,Manufacturing
8,21,Herstellung von pharmazeutischen Erzeugnissen,21,C,Manufacturing
9,22,Herstellung von Gummi- und Kunststoffwaren,22,C,Manufacturing
10,23,"Herstellung von Glas und Glaswaren, Keramik. Verarbeitung von Steinen und Erden",23,C,Manufacturing
11,24,Metallerzeugung und -bearbeitung,24,C,Manufacturing
12,25,Herstellung von Metallerzeugnissen,25,C,Manufacturing
13,26,"Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen",26,C,Manufacturing
14,27,Herstellung von elektrischen Ausrüstungen,27,C,Manufacturing
15,28,Maschinenbau,28,C,Manufacturing
16,29,Fahrzeugbau,29/30,C,Manufacturing
16,30,Fahrzeugbau,29/30,C,Manufacturing
17,31,"Sonstige Herstellung von Waren, Reparatur und Installation",31/32/33,C,Manufacturing
17,32,"Sonstige Herstellung von Waren, Reparatur und Installation",31/32/33,C,Manufacturing
17,33,"Sonstige Herstellung von Waren, Reparatur und Installation",31/32/33,C,Manufacturing
18,35,"Energieversorgung, Wasserversorgung, Abwasserentsorgung, Beseitigung von Umweltverschmutzungen",35/36/37/38/39,D,"Electricity, gas, steam and air conditioning supply"
18,36,"Energieversorgung, Wasserversorgung, Abwasserentsorgung, Beseitigung von Umweltverschmutzungen",35/36/37/38/39,E,"Water supply; sewerage, waste management"
18,37,"Energieversorgung, Wasserversorgung, Abwasserentsorgung, Beseitigung von Umweltverschmutzungen",35/36/37/38/39,E,"Water supply; sewerage, waste management"
18,38,"Energieversorgung, Wasserversorgung, Abwasserentsorgung, Beseitigung von Umweltverschmutzungen",35/36/37/38/39,E,"Water supply; sewerage, waste management"
18,39,"Energieversorgung, Wasserversorgung, Abwasserentsorgung, Beseitigung von Umweltverschmutzungen",35/36/37/38/39,E,"Water supply; sewerage, waste management"
19,41,Hochbau,41,F,Construction
20,42,Tiefbau,42,F,Construction
21,43,"Vorbereitende Baustellenarbeiten, Bauinstallation und sonstiges Ausbaugewerbe",43,F,Construction
22,45,Handel mit Motorfahrzeugen; Instandhaltung und Reparatur von Motorfahrzeugen,45,G,Wholesale and retail trade; repair of motor vehicles
23,46,Grosshandel (ohne Handel mit Motorfahrzeugen),46,G,Wholesale and retail trade; repair of motor vehicles
24,47,Detailhandel (ohne Handel mit Motorfahrzeugen),47,G,Wholesale and retail trade; repair of motor vehicles
25,49,Landverkehr und Transport in Rohrfernleitungen,49,H,Transportation and storage
26,50,Schifffahrt und Luftfahrt,50/51,H,Transportation and storage
26,51,Schifffahrt und Luftfahrt,50/51,H,Transportation and storage
27,52,Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr,52,H,Transportation and storage
28,53,"Post-, Kurier- und Expressdienste",53,H,Transportation and storage
29,55,Beherbergung,55,I,Accommodation and food service activities
30,56,Gastronomie,56,I,Accommodation and food service activities
31,58,"Verlagswesen, audiovisuelle Medien und Rundfunk",58/59/60,J,Information and communication
31,59,"Verlagswesen, audiovisuelle Medien und Rundfunk",58/59/60,J,Information and communication
31,60,"Verlagswesen, audiovisuelle Medien und Rundfunk",58/59/60,J,Information and communication
32,61,"Telekommunikation, Informationstechnologische und Informationsdienstleistungen",61/62/63,J,Information and communication
32,62,"Telekommunikation, Informationstechnologische und Informationsdienstleistungen",61/62/63,J,Information and communication
32,63,"Telekommunikation, Informationstechnologische und Informationsdienstleistungen",61/62/63,J,Information and communication
33,64,Erbringung von Finanzdienstleistungen,64,K,Financial and insurance activities
34,65,"Versicherungen, Rückversicherungen und Pensionskassen (ohne Sozialversicherung)",65,K,Financial and insurance activities
35,66,Mit Finanz- und Versicherungsdienstleistungen verbundene Tätigkeiten,66,K,Financial and insurance activities
36,68,Grundstücks- und Wohnungswesen,68,L,Real estate activities
37,69,Rechts- und Steuerberatung. Wirtschaftsprüfung,69,M,"Professional, scientific and technical activities"
38,70,Verwaltung und Führung von Untemehmen und Betrieben; Unternehmensberatung,70,M,"Professional, scientific and technical activities"
39,71,"Architektur- und Ingenieurbüros; technische, physikalische und chemische Untersuchung",71,M,"Professional, scientific and technical activities"
40,72,"Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen",72/73/74/75,M,"Professional, scientific and technical activities"
40,73,"Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen",72/73/74/75,M,"Professional, scientific and technical activities"
40,74,"Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen",72/73/74/75,M,"Professional, scientific and technical activities"
40,75,"Wissenschaftliche Forschung und Entwicklung, Sonstige freibenufliche, wissenschaftliche und technische Tätigkeiten, Veterinärwesen",72/73/74/75,M,"Professional, scientific and technical activities"
41,77,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82,N,Administrative and support service activities
41,78,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82,N,Administrative and support service activities
41,79,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82,N,Administrative and support service activities
41,80,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82,N,Administrative and support service activities
41,81,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82,N,Administrative and support service activities
41,82,Erbringung von sonstigen wirtschaftlichen Dienstleistungen,77178179180/81/82,N,Administrative and support service activities
42,84,"Öffentliche Verwaltung, Verteidigung; Sozialversicherung",84,O,Public administration and defence; compulsory social security
43,85,Erziehung und Unterricht,85,P,Education
44,86,Gesundheitswesen,86,Q,Human health and social work activities
45,87,Heime (ohne Erholungs- und Ferienheime),87,Q,Human health and social work activities
46,88,Sozialwesen (ohne Heime),88,Q,Human health and social work activities
47,90,"Kunst, Unterhaltung und Erholung",80/91/92/93,R,"Arts, entertainment and recreation"
47,91,"Kunst, Unterhaltung und Erholung",80/91/92/93,R,"Arts, entertainment and recreation"
47,92,"Kunst, Unterhaltung und Erholung",80/91/92/93,R,"Arts, entertainment and recreation"
47,93,"Kunst, Unterhaltung und Erholung",80/91/92/93,R,"Arts, entertainment and recreation"
48,94,Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen (ohne Sozialwesen und Sport),94,S,Other service activities
49,95,"Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern, Erbringung von sonstigen überwiegend persönlichen Dienstleistungen",95/96,S,Other service activities
49,96,"Reparatur von Datenverarbeitungsgeräten und Gebrauchsgütern, Erbringung von sonstigen überwiegend persönlichen Dienstleistungen",95/96,S,Other service activities
50,97,Private Haushalte,97/98,T,Activities of households as employers
50,98,Private Haushalte,97/98,T,Activities of households as employers
51,99,"keine Angabe, Exterritoriale Organisationen und Körperschaften",NA/99,U,Activities of extraterritorial organisations
