comp_indu_noga,noga2,noga_section,indu_comp_noga_label_en,indu_comp_noga_label_de,noga_section_label
1,01,A,"Agriculture, forestry and fishing","Land- und Forstwirtschaft, Fischerei","Agriculture, forestry and fishing"
1,02,A,"Agriculture, forestry and fishing","Land- und Forstwirtschaft, Fischerei","Agriculture, forestry and fishing"
1,03,A,"Agriculture, forestry and fishing","Land- und Forstwirtschaft, Fischerei","Agriculture, forestry and fishing"
1,05,B,"Agriculture, forestry and fishing","Land- und Forstwirtschaft, Fischerei",Mining and quarrying
1,06,B,"Agriculture, forestry and fishing","Land- und Forstwirtschaft, Fischerei",Mining and quarrying
1,07,B,"Agriculture, forestry and fishing","Land- und Forstwirtschaft, Fischerei",Mining and quarrying
1,08,B,"Agriculture, forestry and fishing","Land- und Forstwirtschaft, Fischerei",Mining and quarrying
1,09,B,"Agriculture, forestry and fishing","Land- und Forstwirtschaft, Fischerei",Mining and quarrying
2,10,C,Manufacture of food products and tobacco products,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,Manufacturing
2,11,C,Manufacture of food products and tobacco products,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,Manufacturing
2,12,C,Manufacture of food products and tobacco products,Herstellung von Nahrungsmitteln und Tabakerzeugnissen,Manufacturing
3,13,C,Manufacture of textiles and wearing apparel,Herstellung von Textilien und Bekleidung,Manufacturing
3,14,C,Manufacture of textiles and wearing apparel,Herstellung von Textilien und Bekleidung,Manufacturing
3,15,C,Manufacture of textiles and wearing apparel,Herstellung von Textilien und Bekleidung,Manufacturing
4,16,C,"Manufacture of wood and of products of wood, straw and plaiting materials (excluding furniture)","Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)",Manufacturing
5,17,C,Manufacture of paper and paper products,Herstellung von Papier. Pappe und Waren daraus,Manufacturing
6,18,C,Printing and reproduction of recorded media,"Herstellung von Druckerzeugnissen; Vervielfältigung von bespielten Ton-, Bild- und Datenträgern",Manufacturing
7,19,C,Manufacture of chemicals; coke and refined petroleum products,"Herstellung von chemischen Erzeugnissen, Kokerei und Mineralölverarbeitung",Manufacturing
7,20,C,Manufacture of chemicals; coke and refined petroleum products,"Herstellung von chemischen Erzeugnissen, Kokerei und Mineralölverarbeitung",Manufacturing
