code,label
-8,"not recorded for jobs no. 5-10"
-7,"not recorded for respective year"
0,"analysis/research, controller"
1,"agricultural tasks"
2,"hospitality services"
3,"ironing, cleaning, waste management"
4,"disposing, organizing, leading"
5,"IT, programming"
6,"set up, operator"
7,"educating/teaching, advising"
8,"manufacturing"
9,"installation, assembly, construction"
10,"accounting and finance"
11,"purchasing/sales, cashier, customer service"
12,"store and transport"
13,"supervisor, hiring"
14,"medical and cosmetical care"
15,"planning, engineering, designing/drawing"
16,"publishing, creative work"
17,"administration of justice"
18,"repair, restore"
19,"writing, correspondence, administration"
20,"guard"
