soc6,Occupation Title,AIOE,communication,responsibility,physical,criticality,routine,job_zone_score,theta,theta_min,missing_context_or_zone,C_AIOE
11-1011,Chief Executives,1.334246,3.8925,3.875,2.4499999999999997,3.7916666666666665,98.105,100.0,0.35352361111111114,0.1771027777777778,False,1.0988572088083333
11-1011,Chief Executives,1.334246,3.8925,3.875,2.4499999999999997,3.7916666666666665,98.105,100.0,0.35352361111111114,0.1771027777777778,False,1.0988572088083333
11-1021,General and Operations Managers,0.5748773,3.66,4.535,3.0650000000000004,4.083333333333333,97.69,75.0,0.3133888888888889,0.1771027777777778,False,0.4965295084169445
11-2011,Advertising and Promotions Managers,1.294387,3.71,3.2750000000000004,2.6399999999999997,3.513333333333333,97.99,75.0,0.3102138888888889,0.1771027777777778,False,1.1220897082222223
11-2021,Marketing Managers,1.315032,4.055,3.18,2.135,3.76,97.9,75.0,0.31005,0.1771027777777778,False,1.1402021484666667
11-2022,Sales Managers,1.26628,3.68,3.29,2.575,3.4466666666666668,97.74,75.0,0.3095527777777778,0.1771027777777778,False,1.098561214
11-2031,Public Relations Managers,1.293689,,,,,,,,0.1771027777777778,True,
11-3011,Administrative Services Managers,0.7398278,,,,,,,,0.1771027777777778,True,
11-3021,Computer and Information Systems Managers,1.059853,3.355,3.6399999999999997,1.9,4.023333333333333,97.44,75.0,0.3089305555555556,0.1771027777777778,False,0.9201349342388888
11-3031,Financial Managers,1.446232,3.7366666666666664,3.32,1.9116666666666668,3.966666666666667,97.38666666666667,75.0,0.3088694444444444,0.1771027777777778,False,1.2556668301333334
11-3031,Financial Managers,1.446232,3.7366666666666664,3.32,1.9116666666666668,3.966666666666667,97.38666666666667,75.0,0.3088694444444444,0.1771027777777778,False,1.2556668301333334
11-3031,Financial Managers,1.446232,3.7366666666666664,3.32,1.9116666666666668,3.966666666666667,97.38666666666667,100.0,0.3505361111111111,0.1771027777777778,False,1.1954071634666665
11-3051,Industrial Production Managers,0.5086878,3.8358333333333334,4.538333333333333,3.1533333333333333,4.141111111111112,97.44333333333333,75.0,0.3135199074074074,0.1771027777777778,False,0.4392940704463889
11-3051,Industrial Production Managers,0.5086878,3.8358333333333334,4.538333333333333,3.1533333333333333,4.141111111111112,97.44333333333333,75.0,0.3135199074074074,0.1771027777777778,False,0.4392940704463889
11-3051,Industrial Production Managers,0.5086878,3.8358333333333334,4.538333333333333,3.1533333333333333,4.141111111111112,97.44333333333333,50.0,0.27185324074074074,0.1771027777777778,False,0.4604893954463889
11-3051,Industrial Production Managers,0.5086878,3.8358333333333334,4.538333333333333,3.1533333333333333,4.141111111111112,97.44333333333333,75.0,0.3135199074074074,0.1771027777777778,False,0.4392940704463889
