id,ai_requirement
sjmm_suf-1-01-2010-03-01118-0-000000001,False
sjmm_suf-1-01-2010-03-01118-0-000000002,False
sjmm_suf-1-01-2010-03-01119-0-000000001,False
sjmm_suf-1-01-2010-03-01120-0-000000001,False
sjmm_suf-1-01-2010-03-01120-0-000000002,False
sjmm_suf-1-01-2010-03-01120-0-000000003,False
sjmm_suf-1-01-2010-03-01120-0-000000004,False
sjmm_suf-1-01-2010-03-01120-0-000000005,False
sjmm_suf-1-01-2010-03-01120-0-000000006,False
sjmm_suf-1-01-2010-03-01120-0-000000007,False
sjmm_suf-1-01-2010-03-01120-0-000000008,Maybe
sjmm_suf-1-01-2010-03-01120-0-000000009,False
sjmm_suf-1-01-2010-03-01120-0-000000010,False
sjmm_suf-1-01-2010-03-01120-0-000000011,False
sjmm_suf-1-01-2010-03-01120-0-000000012,False
sjmm_suf-1-01-2010-03-01120-0-000000013,False
sjmm_suf-1-01-2010-03-01208-0-000000001,False
sjmm_suf-1-01-2010-03-01208-0-000000002,False
sjmm_suf-1-01-2010-03-01208-0-000000003,False
sjmm_suf-1-01-2010-03-01210-0-000000001,False
sjmm_suf-1-01-2010-03-01210-0-000000002,False
sjmm_suf-1-01-2010-03-01210-0-000000003,False
sjmm_suf-1-01-2010-03-01210-0-000000004,False
sjmm_suf-1-01-2010-03-01210-0-000000005,False
sjmm_suf-1-01-2010-03-01211-0-000000001,False
sjmm_suf-1-01-2010-03-01211-0-000000002,False
sjmm_suf-1-01-2010-03-01212-0-000000001,False
sjmm_suf-1-01-2010-03-01212-0-000000002,False
sjmm_suf-1-01-2010-03-01212-0-000000003,False
sjmm_suf-1-01-2010-03-01212-0-000000004,False
sjmm_suf-1-01-2010-03-01212-0-000000005,False
sjmm_suf-1-01-2010-03-01212-0-000000006,False
sjmm_suf-1-01-2010-03-01212-0-000000007,False
sjmm_suf-1-01-2010-03-01212-0-000000008,False
sjmm_suf-1-01-2010-03-02102-0-000000001,False
sjmm_suf-1-01-2010-03-02102-0-000000002,False
sjmm_suf-1-01-2010-03-02102-0-000000003,False
sjmm_suf-1-01-2010-03-02102-0-000000004,False
sjmm_suf-1-01-2010-03-02102-0-000000005,False
sjmm_suf-1-01-2010-03-02102-0-000000006,False
sjmm_suf-1-01-2010-03-02102-0-000000007,False
sjmm_suf-1-01-2010-03-02102-0-000000009,False
sjmm_suf-1-01-2010-03-02102-0-000000010,False
sjmm_suf-1-01-2010-03-02102-0-000000011,False
sjmm_suf-1-01-2010-03-02102-0-000000012,False
sjmm_suf-1-01-2010-03-02102-0-000000014,False
sjmm_suf-1-01-2010-03-02102-0-000000015,False
sjmm_suf-1-01-2010-03-02102-0-000000016,False
sjmm_suf-1-01-2010-03-02102-0-000000017,False
sjmm_suf-1-01-2010-03-02102-0-000000018,False
sjmm_suf-1-01-2010-03-02102-0-000000019,False
sjmm_suf-1-01-2010-03-02102-0-000000020,False
sjmm_suf-1-01-2010-03-02102-0-000000021,False
sjmm_suf-1-01-2010-03-02102-0-000000022,False
sjmm_suf-1-01-2010-03-02102-0-000000023,False
sjmm_suf-1-01-2010-03-02102-0-000000024,False
