adve_time_year,comp_indu_noga,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2010,1,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2010,2,42,42,42,0,0,1.0,1.0,0.0,0.0,industry
2010,3,12,12,12,0,0,1.0,1.0,0.0,0.0,industry
2010,4,24,24,24,0,0,1.0,1.0,0.0,0.0,industry
2010,5,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2010,6,12,12,12,0,0,1.0,1.0,0.0,0.0,industry
2010,7,138,138,138,0,0,1.0,1.0,0.0,0.0,industry
2010,9,21,21,21,0,0,1.0,1.0,0.0,0.0,industry
2010,10,15,15,15,0,0,1.0,1.0,0.0,0.0,industry
2010,11,72,72,72,0,0,1.0,1.0,0.0,0.0,industry
2010,12,23,23,23,0,0,1.0,1.0,0.0,0.0,industry
2010,13,112,112,112,0,0,1.0,1.0,0.0,0.0,industry
2010,14,4,4,4,0,0,1.0,1.0,0.0,0.0,industry
2010,15,186,186,186,0,0,1.0,1.0,0.0,0.0,industry
2010,17,39,39,39,0,0,1.0,1.0,0.0,0.0,industry
2010,18,107,107,107,0,0,1.0,1.0,0.0,0.0,industry
2010,21,309,309,309,0,0,1.0,1.0,0.0,0.0,industry
2010,22,67,67,67,0,0,1.0,1.0,0.0,0.0,industry
2010,23,69,69,69,0,0,1.0,1.0,0.0,0.0,industry
2010,24,341,341,341,0,0,1.0,1.0,0.0,0.0,industry
2010,25,125,125,125,0,0,1.0,1.0,0.0,0.0,industry
2010,26,2,2,2,0,0,1.0,1.0,0.0,0.0,industry
2010,27,31,31,31,0,0,1.0,1.0,0.0,0.0,industry
2010,28,57,57,57,0,0,1.0,1.0,0.0,0.0,industry
2010,30,194,194,194,0,0,1.0,1.0,0.0,0.0,industry
2010,32,172,172,172,0,0,1.0,1.0,0.0,0.0,industry
2010,33,194,194,194,0,0,1.0,1.0,0.0,0.0,industry
2010,34,325,325,325,0,0,1.0,1.0,0.0,0.0,industry
2010,36,38,38,38,0,0,1.0,1.0,0.0,0.0,industry
2010,39,267,267,267,0,0,1.0,1.0,0.0,0.0,industry
2010,40,77,77,77,0,0,1.0,1.0,0.0,0.0,industry
2010,41,12,12,12,0,0,1.0,1.0,0.0,0.0,industry
2010,42,167,167,167,0,0,1.0,1.0,0.0,0.0,industry
2010,43,173,173,173,0,0,1.0,1.0,0.0,0.0,industry
2010,44,355,355,355,0,0,1.0,1.0,0.0,0.0,industry
2010,47,36,36,36,0,0,1.0,1.0,0.0,0.0,industry
2010,48,43,43,43,0,0,1.0,1.0,0.0,0.0,industry
2010,49,45,45,45,0,0,1.0,1.0,0.0,0.0,industry
2010,50,21,21,0,0,21,1.0,0.0,0.0,1.0,industry
2010,51,130,130,0,0,130,1.0,0.0,0.0,1.0,industry
2011,1,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2011,2,49,49,49,0,0,1.0,1.0,0.0,0.0,industry
2011,3,8,8,8,0,0,1.0,1.0,0.0,0.0,industry
2011,4,36,36,36,0,0,1.0,1.0,0.0,0.0,industry
2011,5,11,11,11,0,0,1.0,1.0,0.0,0.0,industry
2011,6,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2011,7,153,153,153,0,0,1.0,1.0,0.0,0.0,industry
2011,9,22,22,22,0,0,1.0,1.0,0.0,0.0,industry
2011,10,18,18,18,0,0,1.0,1.0,0.0,0.0,industry
2011,11,75,75,75,0,0,1.0,1.0,0.0,0.0,industry
2011,12,36,36,36,0,0,1.0,1.0,0.0,0.0,industry
2011,13,128,128,128,0,0,1.0,1.0,0.0,0.0,industry
2011,14,15,15,15,0,0,1.0,1.0,0.0,0.0,industry
2011,15,272,272,272,0,0,1.0,1.0,0.0,0.0,industry
2011,17,82,82,82,0,0,1.0,1.0,0.0,0.0,industry
2011,18,84,84,84,0,0,1.0,1.0,0.0,0.0,industry
2011,21,319,319,319,0,0,1.0,1.0,0.0,0.0,industry
2011,22,66,66,66,0,0,1.0,1.0,0.0,0.0,industry
2011,23,88,88,88,0,0,1.0,1.0,0.0,0.0,industry
2011,24,304,304,304,0,0,1.0,1.0,0.0,0.0,industry
2011,25,92,92,92,0,0,1.0,1.0,0.0,0.0,industry
2011,26,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2011,27,63,63,63,0,0,1.0,1.0,0.0,0.0,industry
2011,28,85,85,85,0,0,1.0,1.0,0.0,0.0,industry
2011,30,170,170,170,0,0,1.0,1.0,0.0,0.0,industry
2011,32,168,168,168,0,0,1.0,1.0,0.0,0.0,industry
2011,33,199,199,199,0,0,1.0,1.0,0.0,0.0,industry
2011,34,234,234,234,0,0,1.0,1.0,0.0,0.0,industry
2011,36,44,44,44,0,0,1.0,1.0,0.0,0.0,industry
2011,39,287,287,287,0,0,1.0,1.0,0.0,0.0,industry
2011,40,54,54,54,0,0,1.0,1.0,0.0,0.0,industry
2011,41,11,11,11,0,0,1.0,1.0,0.0,0.0,industry
2011,42,183,183,183,0,0,1.0,1.0,0.0,0.0,industry
2011,43,139,139,139,0,0,1.0,1.0,0.0,0.0,industry
2011,44,367,367,367,0,0,1.0,1.0,0.0,0.0,industry
2011,47,41,41,41,0,0,1.0,1.0,0.0,0.0,industry
2011,48,49,49,49,0,0,1.0,1.0,0.0,0.0,industry
2011,49,58,58,58,0,0,1.0,1.0,0.0,0.0,industry
2011,50,17,17,0,0,17,1.0,0.0,0.0,1.0,industry
2011,51,140,140,0,0,140,1.0,0.0,0.0,1.0,industry
2012,1,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2012,2,81,81,81,0,0,1.0,1.0,0.0,0.0,industry
2012,3,4,4,4,0,0,1.0,1.0,0.0,0.0,industry
2012,4,26,26,26,0,0,1.0,1.0,0.0,0.0,industry
2012,5,7,7,7,0,0,1.0,1.0,0.0,0.0,industry
2012,6,25,25,25,0,0,1.0,1.0,0.0,0.0,industry
2012,7,66,66,66,0,0,1.0,1.0,0.0,0.0,industry
2012,8,30,30,30,0,0,1.0,1.0,0.0,0.0,industry
2012,9,24,24,24,0,0,1.0,1.0,0.0,0.0,industry
2012,10,25,25,25,0,0,1.0,1.0,0.0,0.0,industry
2012,11,34,34,34,0,0,1.0,1.0,0.0,0.0,industry
2012,12,38,38,38,0,0,1.0,1.0,0.0,0.0,industry
2012,13,130,130,130,0,0,1.0,1.0,0.0,0.0,industry
2012,14,49,49,49,0,0,1.0,1.0,0.0,0.0,industry
2012,15,147,147,147,0,0,1.0,1.0,0.0,0.0,industry
2012,16,13,13,13,0,0,1.0,1.0,0.0,0.0,industry
2012,17,92,92,92,0,0,1.0,1.0,0.0,0.0,industry
2012,18,66,66,66,0,0,1.0,1.0,0.0,0.0,industry
2012,19,39,39,39,0,0,1.0,1.0,0.0,0.0,industry
2012,20,13,13,13,0,0,1.0,1.0,0.0,0.0,industry
2012,21,307,307,307,0,0,1.0,1.0,0.0,0.0,industry
2012,22,74,74,74,0,0,1.0,1.0,0.0,0.0,industry
2012,23,99,99,99,0,0,1.0,1.0,0.0,0.0,industry
2012,24,337,337,337,0,0,1.0,1.0,0.0,0.0,industry
2012,25,74,74,74,0,0,1.0,1.0,0.0,0.0,industry
2012,26,10,10,10,0,0,1.0,1.0,0.0,0.0,industry
2012,27,60,60,60,0,0,1.0,1.0,0.0,0.0,industry
2012,28,50,50,50,0,0,1.0,1.0,0.0,0.0,industry
2012,29,13,13,13,0,0,1.0,1.0,0.0,0.0,industry
2012,30,161,161,161,0,0,1.0,1.0,0.0,0.0,industry
2012,31,17,17,17,0,0,1.0,1.0,0.0,0.0,industry
2012,32,147,147,147,0,0,1.0,1.0,0.0,0.0,industry
2012,33,190,190,190,0,0,1.0,1.0,0.0,0.0,industry
2012,34,108,108,108,0,0,1.0,1.0,0.0,0.0,industry
2012,35,18,18,18,0,0,1.0,1.0,0.0,0.0,industry
2012,36,48,48,48,0,0,1.0,1.0,0.0,0.0,industry
2012,37,15,15,15,0,0,1.0,1.0,0.0,0.0,industry
2012,38,30,30,30,0,0,1.0,1.0,0.0,0.0,industry
2012,39,219,219,219,0,0,1.0,1.0,0.0,0.0,industry
2012,40,70,70,70,0,0,1.0,1.0,0.0,0.0,industry
2012,41,69,69,69,0,0,1.0,1.0,0.0,0.0,industry
2012,42,237,237,237,0,0,1.0,1.0,0.0,0.0,industry
2012,43,189,189,189,0,0,1.0,1.0,0.0,0.0,industry
2012,44,371,371,371,0,0,1.0,1.0,0.0,0.0,industry
2012,45,72,72,72,0,0,1.0,1.0,0.0,0.0,industry
2012,46,17,17,17,0,0,1.0,1.0,0.0,0.0,industry
2012,47,31,31,31,0,0,1.0,1.0,0.0,0.0,industry
2012,48,30,30,30,0,0,1.0,1.0,0.0,0.0,industry
2012,49,49,49,49,0,0,1.0,1.0,0.0,0.0,industry
2012,50,9,9,0,0,9,1.0,0.0,0.0,1.0,industry
2012,51,212,212,0,0,212,1.0,0.0,0.0,1.0,industry
2013,1,16,16,16,0,0,1.0,1.0,0.0,0.0,industry
2013,2,75,75,75,0,0,1.0,1.0,0.0,0.0,industry
2013,3,1,1,1,0,0,1.0,1.0,0.0,0.0,industry
2013,4,19,19,19,0,0,1.0,1.0,0.0,0.0,industry
2013,5,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2013,6,40,40,40,0,0,1.0,1.0,0.0,0.0,industry
2013,7,79,79,79,0,0,1.0,1.0,0.0,0.0,industry
2013,8,27,27,27,0,0,1.0,1.0,0.0,0.0,industry
2013,9,30,30,30,0,0,1.0,1.0,0.0,0.0,industry
2013,10,18,18,18,0,0,1.0,1.0,0.0,0.0,industry
2013,11,29,29,29,0,0,1.0,1.0,0.0,0.0,industry
2013,12,62,62,62,0,0,1.0,1.0,0.0,0.0,industry
2013,13,102,102,102,0,0,1.0,1.0,0.0,0.0,industry
2013,14,46,46,46,0,0,1.0,1.0,0.0,0.0,industry
2013,15,135,135,135,0,0,1.0,1.0,0.0,0.0,industry
2013,16,17,17,17,0,0,1.0,1.0,0.0,0.0,industry
2013,17,67,67,67,0,0,1.0,1.0,0.0,0.0,industry
2013,18,68,68,68,0,0,1.0,1.0,0.0,0.0,industry
2013,19,58,58,58,0,0,1.0,1.0,0.0,0.0,industry
2013,20,22,22,22,0,0,1.0,1.0,0.0,0.0,industry
2013,21,235,235,235,0,0,1.0,1.0,0.0,0.0,industry
2013,22,75,75,75,0,0,1.0,1.0,0.0,0.0,industry
2013,23,173,173,173,0,0,1.0,1.0,0.0,0.0,industry
2013,24,345,345,345,0,0,1.0,1.0,0.0,0.0,industry
2013,25,83,83,83,0,0,1.0,1.0,0.0,0.0,industry
2013,26,16,16,16,0,0,1.0,1.0,0.0,0.0,industry
2013,27,55,55,55,0,0,1.0,1.0,0.0,0.0,industry
2013,28,36,36,36,0,0,1.0,1.0,0.0,0.0,industry
