adve_time_year,firm_size_band,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2010,1,3649,3649,3427,0,222,1.0,0.939161414086051,0.0,0.06083858591394903,occupation
2010,10-19,4,4,3,0,1,1.0,0.75,0.0,0.25,occupation
2010,2-4,424,424,391,0,33,1.0,0.9221698113207547,0.0,0.07783018867924528,occupation
2010,20-49,4,4,4,0,0,1.0,1.0,0.0,0.0,occupation
2010,5-9,4,4,4,0,0,1.0,1.0,0.0,0.0,occupation
2011,1,3778,3778,3498,0,280,1.0,0.9258867125463208,0.0,0.07411328745367919,occupation
2011,10-19,4,4,4,0,0,1.0,1.0,0.0,0.0,occupation
2011,2-4,408,408,386,0,22,1.0,0.946078431372549,0.0,0.05392156862745098,occupation
2011,20-49,4,4,3,0,1,1.0,0.75,0.0,0.25,occupation
2011,5-9,5,5,5,0,0,1.0,1.0,0.0,0.0,occupation
2012,1,3849,3849,3520,0,329,1.0,0.9145232527929332,0.0,0.08547674720706677,occupation
2012,10-19,4,4,4,0,0,1.0,1.0,0.0,0.0,occupation
2012,2-4,388,388,358,0,30,1.0,0.9226804123711341,0.0,0.07731958762886598,occupation
2012,20-49,1,1,1,0,0,1.0,1.0,0.0,0.0,occupation
2012,5-9,9,9,7,0,2,1.0,0.7777777777777778,0.0,0.2222222222222222,occupation
2013,1,3859,3859,3515,0,344,1.0,0.9108577351645504,0.0,0.0891422648354496,occupation
2013,10-19,8,8,7,0,1,1.0,0.875,0.0,0.125,occupation
2013,2-4,441,441,408,0,33,1.0,0.9251700680272109,0.0,0.07482993197278912,occupation
2013,5-9,12,12,12,0,0,1.0,1.0,0.0,0.0,occupation
2014,1,3377,3377,3065,0,312,1.0,0.9076103050044418,0.0,0.09238969499555819,occupation
2014,10-19,8,8,8,0,0,1.0,1.0,0.0,0.0,occupation
2014,2-4,293,293,261,0,32,1.0,0.8907849829351536,0.0,0.10921501706484642,occupation
2014,20-49,3,3,3,0,0,1.0,1.0,0.0,0.0,occupation
2014,5-9,11,11,10,0,1,1.0,0.9090909090909091,0.0,0.09090909090909091,occupation
2015,1,3355,3355,3056,0,299,1.0,0.9108792846497764,0.0,0.08912071535022355,occupation
2015,2-4,338,338,315,0,23,1.0,0.9319526627218935,0.0,0.06804733727810651,occupation
2015,5-9,10,10,9,0,1,1.0,0.9,0.0,0.1,occupation
2016,1,3621,3621,3323,0,298,1.0,0.9177022921844794,0.0,0.08229770781552058,occupation
2016,10-19,3,3,2,0,1,1.0,0.6666666666666666,0.0,0.3333333333333333,occupation
2016,2-4,314,314,290,0,24,1.0,0.9235668789808917,0.0,0.07643312101910828,occupation
2016,20-49,3,3,3,0,0,1.0,1.0,0.0,0.0,occupation
2016,5-9,3,3,3,0,0,1.0,1.0,0.0,0.0,occupation
2017,1,3563,3563,3293,0,270,1.0,0.9242211619421835,0.0,0.07577883805781645,occupation
2017,10-19,2,2,2,0,0,1.0,1.0,0.0,0.0,occupation
2017,2-4,314,314,282,0,32,1.0,0.8980891719745223,0.0,0.10191082802547771,occupation
2017,20-49,3,3,3,0,0,1.0,1.0,0.0,0.0,occupation
2017,5-9,12,12,12,0,0,1.0,1.0,0.0,0.0,occupation
2018,1,3664,3664,3435,0,229,1.0,0.9375,0.0,0.0625,occupation
2018,10-19,2,2,2,0,0,1.0,1.0,0.0,0.0,occupation
2018,2-4,372,372,351,0,21,1.0,0.9435483870967742,0.0,0.056451612903225805,occupation
2018,20-49,1,1,1,0,0,1.0,1.0,0.0,0.0,occupation
2018,5-9,1,1,1,0,0,1.0,1.0,0.0,0.0,occupation
2019,1,3795,3795,3495,0,300,1.0,0.9209486166007905,0.0,0.07905138339920949,occupation
2019,10-19,6,6,6,0,0,1.0,1.0,0.0,0.0,occupation
2019,2-4,272,272,261,0,11,1.0,0.9595588235294118,0.0,0.04044117647058824,occupation
2019,20-49,3,3,3,0,0,1.0,1.0,0.0,0.0,occupation
2019,5-9,10,10,10,0,0,1.0,1.0,0.0,0.0,occupation
2020,1,3730,3730,3453,0,277,1.0,0.9257372654155496,0.0,0.0742627345844504,occupation
2020,10-19,1,1,1,0,0,1.0,1.0,0.0,0.0,occupation
2020,2-4,179,179,165,0,14,1.0,0.9217877094972067,0.0,0.0782122905027933,occupation
2020,20-49,1,1,1,0,0,1.0,1.0,0.0,0.0,occupation
2020,5-9,7,7,7,0,0,1.0,1.0,0.0,0.0,occupation
2021,1,3901,3901,3535,0,366,1.0,0.9061779031017688,0.0,0.09382209689823122,occupation
2021,10-19,1,1,0,0,1,1.0,0.0,0.0,1.0,occupation
2021,2-4,100,100,94,0,6,1.0,0.94,0.0,0.06,occupation
2021,5-9,1,1,1,0,0,1.0,1.0,0.0,0.0,occupation
2022,1,3914,3914,3500,0,414,1.0,0.8942258559018906,0.0,0.10577414409810935,occupation
2022,2-4,52,52,49,0,3,1.0,0.9423076923076923,0.0,0.057692307692307696,occupation
2023,1,3645,3645,3226,0,419,1.0,0.8850480109739369,0.0,0.1149519890260631,occupation
2023,10-19,2,2,2,0,0,1.0,1.0,0.0,0.0,occupation
2023,2-4,64,64,58,0,6,1.0,0.90625,0.0,0.09375,occupation
2023,5-9,1,1,1,0,0,1.0,1.0,0.0,0.0,occupation
2024,1,3855,3855,3475,0,380,1.0,0.9014267185473411,0.0,0.09857328145265888,occupation
2024,10-19,2,2,2,0,0,1.0,1.0,0.0,0.0,occupation
2024,2-4,119,119,106,0,13,1.0,0.8907563025210085,0.0,0.1092436974789916,occupation
2024,20-49,1,1,1,0,0,1.0,1.0,0.0,0.0,occupation
2024,5-9,4,4,4,0,0,1.0,1.0,0.0,0.0,occupation
