adve_time_year,firm_size_band,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2010,1,3649,3649,3530,0,119,1.0,0.967388325568649,0.0,0.03261167443135105,industry
2010,10-19,4,4,4,0,0,1.0,1.0,0.0,0.0,industry
2010,2-4,424,424,392,0,32,1.0,0.9245283018867925,0.0,0.07547169811320754,industry
2010,20-49,4,4,4,0,0,1.0,1.0,0.0,0.0,industry
2010,5-9,4,4,4,0,0,1.0,1.0,0.0,0.0,industry
2011,1,3778,3778,3652,0,126,1.0,0.9666490206458443,0.0,0.03335097935415564,industry
2011,10-19,4,4,3,0,1,1.0,0.75,0.0,0.25,industry
2011,2-4,408,408,379,0,29,1.0,0.928921568627451,0.0,0.07107843137254902,industry
2011,20-49,4,4,4,0,0,1.0,1.0,0.0,0.0,industry
2011,5-9,5,5,4,0,1,1.0,0.8,0.0,0.2,industry
2012,1,3849,3849,3659,0,190,1.0,0.9506365289685632,0.0,0.049363471031436734,industry
2012,10-19,4,4,4,0,0,1.0,1.0,0.0,0.0,industry
2012,2-4,388,388,357,0,31,1.0,0.9201030927835051,0.0,0.07989690721649484,industry
2012,20-49,1,1,1,0,0,1.0,1.0,0.0,0.0,industry
2012,5-9,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2013,1,3859,3859,3752,0,107,1.0,0.9722726094843224,0.0,0.027727390515677637,industry
2013,10-19,8,8,8,0,0,1.0,1.0,0.0,0.0,industry
2013,2-4,441,441,430,0,11,1.0,0.9750566893424036,0.0,0.024943310657596373,industry
2013,5-9,12,12,12,0,0,1.0,1.0,0.0,0.0,industry
2014,1,3377,3377,3264,0,113,1.0,0.9665383476458395,0.0,0.033461652354160494,industry
2014,10-19,8,8,8,0,0,1.0,1.0,0.0,0.0,industry
2014,2-4,293,293,284,0,9,1.0,0.9692832764505119,0.0,0.030716723549488054,industry
2014,20-49,3,3,3,0,0,1.0,1.0,0.0,0.0,industry
2014,5-9,11,11,11,0,0,1.0,1.0,0.0,0.0,industry
2015,1,3355,3355,3233,0,122,1.0,0.9636363636363636,0.0,0.03636363636363636,industry
2015,2-4,338,338,332,0,6,1.0,0.9822485207100592,0.0,0.01775147928994083,industry
2015,5-9,10,10,10,0,0,1.0,1.0,0.0,0.0,industry
2016,1,3621,3621,3519,0,102,1.0,0.971830985915493,0.0,0.028169014084507043,industry
2016,10-19,3,3,3,0,0,1.0,1.0,0.0,0.0,industry
2016,2-4,314,314,300,0,14,1.0,0.9554140127388535,0.0,0.044585987261146494,industry
2016,20-49,3,3,3,0,0,1.0,1.0,0.0,0.0,industry
2016,5-9,3,3,3,0,0,1.0,1.0,0.0,0.0,industry
2017,1,3563,3563,3461,0,102,1.0,0.9713724389559361,0.0,0.02862756104406399,industry
2017,10-19,2,2,2,0,0,1.0,1.0,0.0,0.0,industry
2017,2-4,314,314,307,0,7,1.0,0.9777070063694268,0.0,0.022292993630573247,industry
2017,20-49,3,3,3,0,0,1.0,1.0,0.0,0.0,industry
2017,5-9,12,12,12,0,0,1.0,1.0,0.0,0.0,industry
2018,1,3664,3664,3583,0,81,1.0,0.9778930131004366,0.0,0.02210698689956332,industry
2018,10-19,2,2,2,0,0,1.0,1.0,0.0,0.0,industry
2018,2-4,372,372,364,0,8,1.0,0.978494623655914,0.0,0.021505376344086023,industry
2018,20-49,1,1,1,0,0,1.0,1.0,0.0,0.0,industry
2018,5-9,1,1,1,0,0,1.0,1.0,0.0,0.0,industry
2019,1,3795,3795,3769,0,26,1.0,0.9931488801054018,0.0,0.006851119894598155,industry
2019,10-19,6,6,6,0,0,1.0,1.0,0.0,0.0,industry
2019,2-4,272,272,262,0,10,1.0,0.9632352941176471,0.0,0.03676470588235294,industry
2019,20-49,3,3,3,0,0,1.0,1.0,0.0,0.0,industry
2019,5-9,10,10,10,0,0,1.0,1.0,0.0,0.0,industry
2020,1,3730,3730,3715,0,15,1.0,0.9959785522788204,0.0,0.004021447721179625,industry
2020,10-19,1,1,1,0,0,1.0,1.0,0.0,0.0,industry
2020,2-4,179,179,177,0,2,1.0,0.9888268156424581,0.0,0.0111731843575419,industry
2020,20-49,1,1,1,0,0,1.0,1.0,0.0,0.0,industry
2020,5-9,7,7,7,0,0,1.0,1.0,0.0,0.0,industry
2021,1,3901,3901,3877,0,24,1.0,0.9938477313509356,0.0,0.006152268649064343,industry
2021,10-19,1,1,1,0,0,1.0,1.0,0.0,0.0,industry
2021,2-4,100,100,99,0,1,1.0,0.99,0.0,0.01,industry
2021,5-9,1,1,1,0,0,1.0,1.0,0.0,0.0,industry
2022,1,3914,3914,3500,0,414,1.0,0.8942258559018906,0.0,0.10577414409810935,industry
2022,2-4,52,52,42,0,10,1.0,0.8076923076923077,0.0,0.19230769230769232,industry
2023,1,3645,3645,3200,0,445,1.0,0.877914951989026,0.0,0.12208504801097393,industry
2023,10-19,2,2,1,0,1,1.0,0.5,0.0,0.5,industry
2023,2-4,64,64,45,0,19,1.0,0.703125,0.0,0.296875,industry
2023,5-9,1,1,1,0,0,1.0,1.0,0.0,0.0,industry
2024,1,3855,3855,3386,0,469,1.0,0.8783398184176394,0.0,0.12166018158236057,industry
2024,10-19,2,2,2,0,0,1.0,1.0,0.0,0.0,industry
2024,2-4,119,119,103,0,16,1.0,0.865546218487395,0.0,0.13445378151260504,industry
2024,20-49,1,1,1,0,0,1.0,1.0,0.0,0.0,industry
2024,5-9,4,4,3,0,1,1.0,0.75,0.0,0.25,industry
