adve_time_year,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2010,4085,4085,3934,0,151,1.0,0.9630354957160343,0.0,0.03696450428396573,industry
2011,4199,4199,4042,0,157,1.0,0.962610145272684,0.0,0.03738985472731603,industry
2012,4251,4251,4030,0,221,1.0,0.9480122324159022,0.0,0.05198776758409786,industry
2013,4320,4320,4202,0,118,1.0,0.9726851851851852,0.0,0.027314814814814816,industry
2014,3692,3692,3570,0,122,1.0,0.9669555796316359,0.0,0.03304442036836403,industry
2015,3703,3703,3575,0,128,1.0,0.965433432352147,0.0,0.03456656764785309,industry
2016,3944,3944,3828,0,116,1.0,0.9705882352941176,0.0,0.029411764705882353,industry
2017,3894,3894,3785,0,109,1.0,0.9720082177709296,0.0,0.027991782229070363,industry
2018,4040,4040,3951,0,89,1.0,0.977970297029703,0.0,0.02202970297029703,industry
2019,4086,4086,4050,0,36,1.0,0.9911894273127754,0.0,0.00881057268722467,industry
2020,3918,3918,3901,0,17,1.0,0.9956610515569168,0.0,0.004338948443083206,industry
2021,4003,4003,3978,0,25,1.0,0.9937546839870097,0.0,0.006245316012990257,industry
2022,3966,3966,3542,0,424,1.0,0.8930912758446797,0.0,0.10690872415532023,industry
2023,3712,3712,3247,0,465,1.0,0.8747306034482759,0.0,0.12526939655172414,industry
2024,3981,3981,3495,0,486,1.0,0.8779201205727204,0.0,0.12207987942727958,industry
