adve_time_year,industry_section,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2010,AB,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2010,C,714,714,714,0,0,1.0,1.0,0.0,0.0,industry
2010,DE,107,107,107,0,0,1.0,1.0,0.0,0.0,industry
2010,F,309,309,309,0,0,1.0,1.0,0.0,0.0,industry
2010,G,477,477,477,0,0,1.0,1.0,0.0,0.0,industry
2010,H,215,215,215,0,0,1.0,1.0,0.0,0.0,industry
2010,I,194,194,194,0,0,1.0,1.0,0.0,0.0,industry
2010,J,172,172,172,0,0,1.0,1.0,0.0,0.0,industry
2010,K,519,519,519,0,0,1.0,1.0,0.0,0.0,industry
2010,L,38,38,38,0,0,1.0,1.0,0.0,0.0,industry
2010,M,344,344,344,0,0,1.0,1.0,0.0,0.0,industry
2010,N,12,12,12,0,0,1.0,1.0,0.0,0.0,industry
2010,O,167,167,167,0,0,1.0,1.0,0.0,0.0,industry
2010,P,173,173,173,0,0,1.0,1.0,0.0,0.0,industry
2010,Q,355,355,355,0,0,1.0,1.0,0.0,0.0,industry
2010,R,36,36,36,0,0,1.0,1.0,0.0,0.0,industry
2010,S,88,88,88,0,0,1.0,1.0,0.0,0.0,industry
2010,T,21,21,0,0,21,1.0,0.0,0.0,1.0,industry
2010,U,130,130,0,0,130,1.0,0.0,0.0,1.0,industry
2011,AB,9,9,9,0,0,1.0,1.0,0.0,0.0,industry
2011,C,919,919,919,0,0,1.0,1.0,0.0,0.0,industry
2011,DE,84,84,84,0,0,1.0,1.0,0.0,0.0,industry
2011,F,319,319,319,0,0,1.0,1.0,0.0,0.0,industry
2011,G,458,458,458,0,0,1.0,1.0,0.0,0.0,industry
2011,H,249,249,249,0,0,1.0,1.0,0.0,0.0,industry
2011,I,170,170,170,0,0,1.0,1.0,0.0,0.0,industry
2011,J,168,168,168,0,0,1.0,1.0,0.0,0.0,industry
2011,K,433,433,433,0,0,1.0,1.0,0.0,0.0,industry
2011,L,44,44,44,0,0,1.0,1.0,0.0,0.0,industry
2011,M,341,341,341,0,0,1.0,1.0,0.0,0.0,industry
2011,N,11,11,11,0,0,1.0,1.0,0.0,0.0,industry
2011,O,183,183,183,0,0,1.0,1.0,0.0,0.0,industry
2011,P,139,139,139,0,0,1.0,1.0,0.0,0.0,industry
2011,Q,367,367,367,0,0,1.0,1.0,0.0,0.0,industry
