adve_time_year,occu_isco1_code,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2010,1,327,327,297,0,30,1.0,0.908256880733945,0.0,0.09174311926605505,occupation
2010,2,1241,1241,1180,0,61,1.0,0.9508460918614021,0.0,0.04915390813859791,occupation
2010,3,881,881,808,0,73,1.0,0.9171396140749148,0.0,0.08286038592508513,occupation
2010,4,531,531,515,0,16,1.0,0.9698681732580038,0.0,0.030131826741996232,occupation
2010,5,473,473,473,0,0,1.0,1.0,0.0,0.0,occupation
2010,6,14,14,14,0,0,1.0,1.0,0.0,0.0,occupation
2010,7,428,428,388,0,40,1.0,0.9065420560747663,0.0,0.09345794392523364,occupation
2010,8,105,105,71,0,34,1.0,0.6761904761904762,0.0,0.3238095238095238,occupation
2010,9,85,85,83,0,2,1.0,0.9764705882352941,0.0,0.023529411764705882,occupation
2011,1,274,274,264,0,10,1.0,0.9635036496350365,0.0,0.0364963503649635,occupation
2011,2,1235,1235,1116,0,119,1.0,0.9036437246963562,0.0,0.09635627530364373,occupation
2011,3,915,915,820,0,95,1.0,0.8961748633879781,0.0,0.10382513661202186,occupation
2011,4,547,547,527,0,20,1.0,0.9634369287020109,0.0,0.03656307129798903,occupation
2011,5,508,508,508,0,0,1.0,1.0,0.0,0.0,occupation
2011,6,11,11,11,0,0,1.0,1.0,0.0,0.0,occupation
2011,7,517,517,474,0,43,1.0,0.9168278529980658,0.0,0.08317214700193423,occupation
2011,8,108,108,93,0,15,1.0,0.8611111111111112,0.0,0.1388888888888889,occupation
2011,9,84,84,83,0,1,1.0,0.9880952380952381,0.0,0.011904761904761904,occupation
2012,1,361,361,324,0,37,1.0,0.8975069252077562,0.0,0.10249307479224377,occupation
2012,2,1213,1213,1105,0,108,1.0,0.910964550700742,0.0,0.08903544929925804,occupation
2012,3,956,956,847,0,109,1.0,0.8859832635983264,0.0,0.11401673640167365,occupation
2012,4,513,513,476,0,37,1.0,0.9278752436647173,0.0,0.07212475633528265,occupation
2012,5,497,497,497,0,0,1.0,1.0,0.0,0.0,occupation
2012,6,23,23,23,0,0,1.0,1.0,0.0,0.0,occupation
2012,7,485,485,442,0,43,1.0,0.911340206185567,0.0,0.088659793814433,occupation
2012,8,116,116,93,0,23,1.0,0.8017241379310345,0.0,0.19827586206896552,occupation
2012,9,87,87,83,0,4,1.0,0.9540229885057471,0.0,0.04597701149425287,occupation
2013,1,290,290,267,0,23,1.0,0.9206896551724137,0.0,0.07931034482758621,occupation
2013,2,1245,1245,1097,0,148,1.0,0.8811244979919679,0.0,0.11887550200803212,occupation
2013,3,892,892,802,0,90,1.0,0.899103139013453,0.0,0.10089686098654709,occupation
2013,4,521,521,488,0,33,1.0,0.9366602687140115,0.0,0.06333973128598848,occupation
2013,5,605,605,605,0,0,1.0,1.0,0.0,0.0,occupation
2013,6,29,29,29,0,0,1.0,1.0,0.0,0.0,occupation
2013,7,487,487,435,0,52,1.0,0.893223819301848,0.0,0.10677618069815195,occupation
2013,8,142,142,111,0,31,1.0,0.7816901408450704,0.0,0.21830985915492956,occupation
