adve_time_year,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2010,4085,4085,3829,0,256,1.0,0.9373317013463892,0.0,0.06266829865361077,occupation
2011,4199,4199,3896,0,303,1.0,0.9278399618956894,0.0,0.07216003810431056,occupation
2012,4251,4251,3890,0,361,1.0,0.9150788049870618,0.0,0.08492119501293813,occupation
2013,4320,4320,3942,0,378,1.0,0.9125,0.0,0.0875,occupation
2014,3692,3692,3347,0,345,1.0,0.906554712892741,0.0,0.09344528710725894,occupation
2015,3703,3703,3380,0,323,1.0,0.9127734269511207,0.0,0.08722657304887929,occupation
2016,3944,3944,3621,0,323,1.0,0.9181034482758621,0.0,0.08189655172413793,occupation
2017,3894,3894,3592,0,302,1.0,0.9224447868515665,0.0,0.07755521314843349,occupation
2018,4040,4040,3790,0,250,1.0,0.9381188118811881,0.0,0.06188118811881188,occupation
2019,4086,4086,3775,0,311,1.0,0.9238864415075869,0.0,0.07611355849241312,occupation
2020,3918,3918,3627,0,291,1.0,0.9257274119448698,0.0,0.07427258805513016,occupation
2021,4003,4003,3630,0,373,1.0,0.9068198850861854,0.0,0.09318011491381464,occupation
2022,3966,3966,3549,0,417,1.0,0.8948562783661119,0.0,0.10514372163388805,occupation
2023,3712,3712,3287,0,425,1.0,0.8855064655172413,0.0,0.11449353448275862,occupation
2024,3981,3981,3588,0,393,1.0,0.9012810851544838,0.0,0.0987189148455162,occupation
