adve_time_year,loca_regi_kant_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2010,1,1160,1160,1101,0,59,1.0,0.9491379310344827,0.0,0.05086206896551724,occupation
2010,2,587,587,546,0,41,1.0,0.9301533219761499,0.0,0.06984667802385008,occupation
2010,3,210,210,201,0,9,1.0,0.9571428571428572,0.0,0.04285714285714286,occupation
2010,4,16,16,15,0,1,1.0,0.9375,0.0,0.0625,occupation
2010,5,59,59,58,0,1,1.0,0.9830508474576272,0.0,0.01694915254237288,occupation
2010,6,11,11,10,0,1,1.0,0.9090909090909091,0.0,0.09090909090909091,occupation
2010,7,6,6,3,0,3,1.0,0.5,0.0,0.5,occupation
2010,8,15,15,15,0,0,1.0,1.0,0.0,0.0,occupation
2010,9,65,65,62,0,3,1.0,0.9538461538461539,0.0,0.046153846153846156,occupation
2010,10,46,46,44,0,2,1.0,0.9565217391304348,0.0,0.043478260869565216,occupation
2010,11,141,141,125,0,16,1.0,0.8865248226950354,0.0,0.11347517730496454,occupation
2010,12,211,211,198,0,13,1.0,0.9383886255924171,0.0,0.061611374407582936,occupation
2010,13,85,85,82,0,3,1.0,0.9647058823529412,0.0,0.03529411764705882,occupation
2010,14,26,26,25,0,1,1.0,0.9615384615384616,0.0,0.038461538461538464,occupation
2010,15,14,14,12,0,2,1.0,0.8571428571428571,0.0,0.14285714285714285,occupation
2010,16,7,7,7,0,0,1.0,1.0,0.0,0.0,occupation
2010,17,160,160,152,0,8,1.0,0.95,0.0,0.05,occupation
2010,18,93,93,84,0,9,1.0,0.9032258064516129,0.0,0.0967741935483871,occupation
2010,19,241,241,229,0,12,1.0,0.950207468879668,0.0,0.04979253112033195,occupation
2010,20,55,55,54,0,1,1.0,0.9818181818181818,0.0,0.01818181818181818,occupation
2010,21,93,93,82,0,11,1.0,0.8817204301075269,0.0,0.11827956989247312,occupation
2010,22,175,175,163,0,12,1.0,0.9314285714285714,0.0,0.06857142857142857,occupation
2010,23,131,131,128,0,3,1.0,0.9770992366412213,0.0,0.022900763358778626,occupation
2010,24,68,68,63,0,5,1.0,0.9264705882352942,0.0,0.07352941176470588,occupation
2010,25,164,164,149,0,15,1.0,0.9085365853658537,0.0,0.09146341463414634,occupation
2010,26,8,8,7,0,1,1.0,0.875,0.0,0.125,occupation
2010,,238,238,214,0,24,1.0,0.8991596638655462,0.0,0.10084033613445378,occupation
2011,1,1154,1154,1073,0,81,1.0,0.9298093587521664,0.0,0.07019064124783363,occupation
2011,2,671,671,619,0,52,1.0,0.9225037257824144,0.0,0.07749627421758569,occupation
2011,3,212,212,199,0,13,1.0,0.9386792452830188,0.0,0.06132075471698113,occupation
2011,4,6,6,6,0,0,1.0,1.0,0.0,0.0,occupation
2011,5,52,52,52,0,0,1.0,1.0,0.0,0.0,occupation
2011,6,7,7,6,0,1,1.0,0.8571428571428571,0.0,0.14285714285714285,occupation
2011,7,5,5,4,0,1,1.0,0.8,0.0,0.2,occupation
2011,8,14,14,14,0,0,1.0,1.0,0.0,0.0,occupation
2011,9,60,60,54,0,6,1.0,0.9,0.0,0.1,occupation
2011,10,52,52,46,0,6,1.0,0.8846153846153846,0.0,0.11538461538461539,occupation
2011,11,124,124,114,0,10,1.0,0.9193548387096774,0.0,0.08064516129032258,occupation
2011,12,194,194,189,0,5,1.0,0.9742268041237113,0.0,0.02577319587628866,occupation
