adve_time_year,loca_regi_kant_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2010,1,1160,1160,1121,0,39,1.0,0.9663793103448276,0.0,0.03362068965517241,industry
2010,2,587,587,579,0,8,1.0,0.9863713798977853,0.0,0.013628620102214651,industry
2010,3,210,210,208,0,2,1.0,0.9904761904761905,0.0,0.009523809523809525,industry
2010,4,16,16,16,0,0,1.0,1.0,0.0,0.0,industry
2010,5,59,59,59,0,0,1.0,1.0,0.0,0.0,industry
2010,6,11,11,11,0,0,1.0,1.0,0.0,0.0,industry
2010,7,6,6,6,0,0,1.0,1.0,0.0,0.0,industry
2010,8,15,15,15,0,0,1.0,1.0,0.0,0.0,industry
2010,9,65,65,63,0,2,1.0,0.9692307692307692,0.0,0.03076923076923077,industry
2010,10,46,46,45,0,1,1.0,0.9782608695652174,0.0,0.021739130434782608,industry
2010,11,141,141,139,0,2,1.0,0.9858156028368794,0.0,0.014184397163120567,industry
2010,12,211,211,201,0,10,1.0,0.95260663507109,0.0,0.04739336492890995,industry
2010,13,85,85,83,0,2,1.0,0.9764705882352941,0.0,0.023529411764705882,industry
2010,14,26,26,26,0,0,1.0,1.0,0.0,0.0,industry
2010,15,14,14,14,0,0,1.0,1.0,0.0,0.0,industry
2010,16,7,7,7,0,0,1.0,1.0,0.0,0.0,industry
2010,17,160,160,160,0,0,1.0,1.0,0.0,0.0,industry
2010,18,93,93,92,0,1,1.0,0.989247311827957,0.0,0.010752688172043012,industry
2010,19,241,241,234,0,7,1.0,0.970954356846473,0.0,0.029045643153526972,industry
2010,20,55,55,53,0,2,1.0,0.9636363636363636,0.0,0.03636363636363636,industry
2010,21,93,93,75,0,18,1.0,0.8064516129032258,0.0,0.1935483870967742,industry
2010,22,175,175,169,0,6,1.0,0.9657142857142857,0.0,0.03428571428571429,industry
2010,23,131,131,129,0,2,1.0,0.9847328244274809,0.0,0.015267175572519083,industry
2010,24,68,68,60,0,8,1.0,0.8823529411764706,0.0,0.11764705882352941,industry
2010,25,164,164,147,0,17,1.0,0.8963414634146342,0.0,0.10365853658536585,industry
2010,26,8,8,8,0,0,1.0,1.0,0.0,0.0,industry
2010,,238,238,214,0,24,1.0,0.8991596638655462,0.0,0.10084033613445378,industry
2011,1,1154,1154,1110,0,44,1.0,0.9618717504332756,0.0,0.038128249566724434,industry
2011,2,671,671,662,0,9,1.0,0.9865871833084948,0.0,0.013412816691505217,industry
2011,3,212,212,210,0,2,1.0,0.9905660377358491,0.0,0.009433962264150943,industry
2011,4,6,6,6,0,0,1.0,1.0,0.0,0.0,industry
