adve_time_year,loca_regi_nuts_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2010,1,470,470,440,0,30,1.0,0.9361702127659575,0.0,0.06382978723404255,occupation
2010,2,850,850,785,0,65,1.0,0.9235294117647059,0.0,0.07647058823529412,occupation
2010,3,537,537,509,0,28,1.0,0.9478584729981379,0.0,0.0521415270018622,occupation
2010,4,1160,1160,1101,0,59,1.0,0.9491379310344827,0.0,0.05086206896551724,occupation
2010,5,370,370,349,0,21,1.0,0.9432432432432433,0.0,0.05675675675675676,occupation
2010,6,367,367,349,0,18,1.0,0.9509536784741145,0.0,0.04904632152588556,occupation
2010,7,93,93,82,0,11,1.0,0.8817204301075269,0.0,0.11827956989247312,occupation
2010,,238,238,214,0,24,1.0,0.8991596638655462,0.0,0.10084033613445378,occupation
2011,1,503,503,470,0,33,1.0,0.9343936381709742,0.0,0.06560636182902585,occupation
2011,2,922,922,849,0,73,1.0,0.920824295010846,0.0,0.07917570498915401,occupation
2011,3,538,538,496,0,42,1.0,0.9219330855018587,0.0,0.07806691449814127,occupation
2011,4,1154,1154,1073,0,81,1.0,0.9298093587521664,0.0,0.07019064124783363,occupation
2011,5,434,434,400,0,34,1.0,0.9216589861751152,0.0,0.07834101382488479,occupation
2011,6,342,342,321,0,21,1.0,0.9385964912280702,0.0,0.06140350877192982,occupation
2011,7,64,64,58,0,6,1.0,0.90625,0.0,0.09375,occupation
2011,,242,242,229,0,13,1.0,0.9462809917355371,0.0,0.05371900826446281,occupation
2012,1,569,569,537,0,32,1.0,0.9437609841827768,0.0,0.056239015817223195,occupation
2012,2,882,882,789,0,93,1.0,0.8945578231292517,0.0,0.1054421768707483,occupation
2012,3,591,591,540,0,51,1.0,0.9137055837563451,0.0,0.08629441624365482,occupation
2012,4,1099,1099,1024,0,75,1.0,0.9317561419472248,0.0,0.06824385805277525,occupation
2012,5,479,479,429,0,50,1.0,0.8956158663883089,0.0,0.10438413361169102,occupation
2012,6,314,314,278,0,36,1.0,0.8853503184713376,0.0,0.11464968152866242,occupation
2012,7,64,64,55,0,9,1.0,0.859375,0.0,0.140625,occupation
2012,,253,253,238,0,15,1.0,0.9407114624505929,0.0,0.05928853754940711,occupation
2013,1,556,556,522,0,34,1.0,0.9388489208633094,0.0,0.06115107913669065,occupation
2013,2,940,940,846,0,94,1.0,0.9,0.0,0.1,occupation
2013,3,603,603,554,0,49,1.0,0.9187396351575456,0.0,0.0812603648424544,occupation
2013,4,1034,1034,951,0,83,1.0,0.9197292069632496,0.0,0.08027079303675048,occupation
2013,5,598,598,527,0,71,1.0,0.8812709030100334,0.0,0.11872909698996656,occupation
2013,6,316,316,285,0,31,1.0,0.9018987341772152,0.0,0.0981012658227848,occupation
2013,7,85,85,82,0,3,1.0,0.9647058823529412,0.0,0.03529411764705882,occupation
2013,,188,188,175,0,13,1.0,0.9308510638297872,0.0,0.06914893617021277,occupation
2014,1,422,422,374,0,48,1.0,0.8862559241706162,0.0,0.11374407582938388,occupation
2014,2,808,808,729,0,79,1.0,0.9022277227722773,0.0,0.09777227722772278,occupation
2014,3,477,477,421,0,56,1.0,0.8825995807127882,0.0,0.11740041928721175,occupation
2014,4,875,875,819,0,56,1.0,0.936,0.0,0.064,occupation
2014,5,554,554,495,0,59,1.0,0.8935018050541517,0.0,0.10649819494584838,occupation
