adve_time_year,loca_regi_nuts_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2010,1,470,470,445,0,25,1.0,0.9468085106382979,0.0,0.05319148936170213,industry
2010,2,850,850,831,0,19,1.0,0.9776470588235294,0.0,0.02235294117647059,industry
2010,3,537,537,518,0,19,1.0,0.9646182495344506,0.0,0.035381750465549346,industry
2010,4,1160,1160,1121,0,39,1.0,0.9663793103448276,0.0,0.03362068965517241,industry
2010,5,370,370,367,0,3,1.0,0.9918918918918919,0.0,0.008108108108108109,industry
2010,6,367,367,363,0,4,1.0,0.989100817438692,0.0,0.010899182561307902,industry
2010,7,93,93,75,0,18,1.0,0.8064516129032258,0.0,0.1935483870967742,industry
2010,,238,238,214,0,24,1.0,0.8991596638655462,0.0,0.10084033613445378,industry
2011,1,503,503,461,0,42,1.0,0.9165009940357853,0.0,0.08349900596421471,industry
2011,2,922,922,906,0,16,1.0,0.982646420824295,0.0,0.01735357917570499,industry
2011,3,538,538,528,0,10,1.0,0.9814126394052045,0.0,0.01858736059479554,industry
2011,4,1154,1154,1110,0,44,1.0,0.9618717504332756,0.0,0.038128249566724434,industry
2011,5,434,434,428,0,6,1.0,0.9861751152073732,0.0,0.013824884792626729,industry
2011,6,342,342,333,0,9,1.0,0.9736842105263158,0.0,0.02631578947368421,industry
2011,7,64,64,61,0,3,1.0,0.953125,0.0,0.046875,industry
2011,,242,242,215,0,27,1.0,0.8884297520661157,0.0,0.1115702479338843,industry
2012,1,569,569,542,0,27,1.0,0.9525483304042179,0.0,0.04745166959578207,industry
2012,2,882,882,836,0,46,1.0,0.9478458049886621,0.0,0.05215419501133787,industry
2012,3,591,591,568,0,23,1.0,0.961082910321489,0.0,0.038917089678511,industry
2012,4,1099,1099,1044,0,55,1.0,0.9499545040946314,0.0,0.05004549590536852,industry
2012,5,479,479,471,0,8,1.0,0.9832985386221295,0.0,0.016701461377870562,industry
2012,6,314,314,300,0,14,1.0,0.9554140127388535,0.0,0.044585987261146494,industry
2012,7,64,64,59,0,5,1.0,0.921875,0.0,0.078125,industry
2012,,253,253,210,0,43,1.0,0.8300395256916996,0.0,0.16996047430830039,industry
2013,1,556,556,548,0,8,1.0,0.9856115107913669,0.0,0.014388489208633094,industry
2013,2,940,940,927,0,13,1.0,0.9861702127659574,0.0,0.013829787234042552,industry
2013,3,603,603,593,0,10,1.0,0.9834162520729685,0.0,0.01658374792703151,industry
2013,4,1034,1034,1009,0,25,1.0,0.9758220502901354,0.0,0.024177949709864602,industry
2013,5,598,598,563,0,35,1.0,0.9414715719063546,0.0,0.05852842809364549,industry
2013,6,316,316,312,0,4,1.0,0.9873417721518988,0.0,0.012658227848101266,industry
2013,7,85,85,79,0,6,1.0,0.9294117647058824,0.0,0.07058823529411765,industry
2013,,188,188,171,0,17,1.0,0.9095744680851063,0.0,0.09042553191489362,industry
2014,1,422,422,400,0,22,1.0,0.9478672985781991,0.0,0.052132701421800945,industry
2014,2,808,808,786,0,22,1.0,0.9727722772277227,0.0,0.027227722772277228,industry
2014,3,477,477,464,0,13,1.0,0.9727463312368972,0.0,0.027253668763102725,industry
2014,4,875,875,845,0,30,1.0,0.9657142857142857,0.0,0.03428571428571429,industry
2014,5,554,554,546,0,8,1.0,0.9855595667870036,0.0,0.01444043321299639,industry
2014,6,268,268,263,0,5,1.0,0.9813432835820896,0.0,0.018656716417910446,industry
2014,7,94,94,91,0,3,1.0,0.9680851063829787,0.0,0.031914893617021274,industry
2014,,194,194,175,0,19,1.0,0.9020618556701031,0.0,0.0979381443298969,industry
2015,1,471,471,456,0,15,1.0,0.9681528662420382,0.0,0.03184713375796178,industry
2015,2,701,701,689,0,12,1.0,0.9828815977175464,0.0,0.017118402282453638,industry
2015,3,479,479,467,0,12,1.0,0.9749478079331941,0.0,0.025052192066805846,industry
2015,4,871,871,850,0,21,1.0,0.9758897818599311,0.0,0.024110218140068886,industry
2015,5,542,542,534,0,8,1.0,0.985239852398524,0.0,0.014760147601476014,industry
2015,6,289,289,280,0,9,1.0,0.9688581314878892,0.0,0.031141868512110725,industry
2015,7,60,60,56,0,4,1.0,0.9333333333333333,0.0,0.06666666666666667,industry
2015,,290,290,243,0,47,1.0,0.8379310344827586,0.0,0.16206896551724137,industry
2016,1,539,539,526,0,13,1.0,0.9758812615955473,0.0,0.02411873840445269,industry
2016,2,769,769,757,0,12,1.0,0.9843953185955787,0.0,0.015604681404421327,industry
2016,3,492,492,481,0,11,1.0,0.9776422764227642,0.0,0.022357723577235773,industry
2016,4,945,945,930,0,15,1.0,0.9841269841269841,0.0,0.015873015873015872,industry
2016,5,457,457,452,0,5,1.0,0.9890590809628009,0.0,0.010940919037199124,industry
2016,6,321,321,316,0,5,1.0,0.9844236760124611,0.0,0.01557632398753894,industry
2016,7,111,111,107,0,4,1.0,0.963963963963964,0.0,0.036036036036036036,industry
2016,,310,310,259,0,51,1.0,0.8354838709677419,0.0,0.16451612903225807,industry
2017,1,501,501,488,0,13,1.0,0.9740518962075848,0.0,0.02594810379241517,industry
2017,2,760,760,744,0,16,1.0,0.9789473684210527,0.0,0.021052631578947368,industry
2017,3,475,475,471,0,4,1.0,0.991578947368421,0.0,0.008421052631578947,industry
2017,4,901,901,879,0,22,1.0,0.9755826859045506,0.0,0.0244173140954495,industry
2017,5,533,533,530,0,3,1.0,0.9943714821763602,0.0,0.005628517823639775,industry
2017,6,311,311,300,0,11,1.0,0.9646302250803859,0.0,0.03536977491961415,industry
2017,7,75,75,72,0,3,1.0,0.96,0.0,0.04,industry
2017,,338,338,301,0,37,1.0,0.8905325443786982,0.0,0.10946745562130178,industry
2018,1,615,615,605,0,10,1.0,0.983739837398374,0.0,0.016260162601626018,industry
2018,2,849,849,839,0,10,1.0,0.9882214369846879,0.0,0.011778563015312132,industry
2018,3,505,505,495,0,10,1.0,0.9801980198019802,0.0,0.019801980198019802,industry
2018,4,880,880,864,0,16,1.0,0.9818181818181818,0.0,0.01818181818181818,industry
2018,5,477,477,469,0,8,1.0,0.9832285115303984,0.0,0.016771488469601678,industry
2018,6,318,318,313,0,5,1.0,0.9842767295597484,0.0,0.015723270440251572,industry
2018,7,109,109,107,0,2,1.0,0.981651376146789,0.0,0.01834862385321101,industry
2018,,287,287,259,0,28,1.0,0.9024390243902439,0.0,0.0975609756097561,industry
2019,1,585,585,578,0,7,1.0,0.9880341880341881,0.0,0.011965811965811967,industry
2019,2,865,865,856,0,9,1.0,0.9895953757225433,0.0,0.010404624277456647,industry
2019,3,577,577,574,0,3,1.0,0.9948006932409013,0.0,0.005199306759098787,industry
2019,4,970,970,967,0,3,1.0,0.9969072164948454,0.0,0.003092783505154639,industry
2019,5,539,539,538,0,1,1.0,0.9981447124304267,0.0,0.0018552875695732839,industry
2019,6,305,305,303,0,2,1.0,0.9934426229508196,0.0,0.006557377049180328,industry
2019,7,42,42,42,0,0,1.0,1.0,0.0,0.0,industry
2019,,203,203,192,0,11,1.0,0.9458128078817734,0.0,0.054187192118226604,industry
2020,1,561,561,560,0,1,1.0,0.9982174688057041,0.0,0.0017825311942959,industry
2020,2,782,782,779,0,3,1.0,0.9961636828644501,0.0,0.0038363171355498722,industry
2020,3,568,568,565,0,3,1.0,0.9947183098591549,0.0,0.00528169014084507,industry
2020,4,970,970,967,0,3,1.0,0.9969072164948454,0.0,0.003092783505154639,industry
2020,5,491,491,489,0,2,1.0,0.9959266802443992,0.0,0.004073319755600814,industry
2020,6,316,316,316,0,0,1.0,1.0,0.0,0.0,industry
2020,7,42,42,42,0,0,1.0,1.0,0.0,0.0,industry
2020,,188,188,183,0,5,1.0,0.973404255319149,0.0,0.026595744680851064,industry
2021,1,598,598,596,0,2,1.0,0.9966555183946488,0.0,0.0033444816053511705,industry
2021,2,811,811,808,0,3,1.0,0.9963008631319359,0.0,0.0036991368680641184,industry
2021,3,584,584,582,0,2,1.0,0.9965753424657534,0.0,0.003424657534246575,industry
2021,4,1007,1007,997,0,10,1.0,0.9900695134061569,0.0,0.009930486593843098,industry
2021,5,477,477,472,0,5,1.0,0.989517819706499,0.0,0.010482180293501049,industry
2021,6,358,358,358,0,0,1.0,1.0,0.0,0.0,industry
2021,7,51,51,51,0,0,1.0,1.0,0.0,0.0,industry
2021,,117,117,114,0,3,1.0,0.9743589743589743,0.0,0.02564102564102564,industry
2022,1,577,577,532,0,45,1.0,0.9220103986135182,0.0,0.0779896013864818,industry
2022,2,760,760,665,0,95,1.0,0.875,0.0,0.125,industry
2022,3,572,572,513,0,59,1.0,0.8968531468531469,0.0,0.10314685314685315,industry
2022,4,954,954,895,0,59,1.0,0.9381551362683438,0.0,0.06184486373165619,industry
2022,5,529,529,445,0,84,1.0,0.8412098298676749,0.0,0.15879017013232513,industry
2022,6,423,423,349,0,74,1.0,0.8250591016548463,0.0,0.17494089834515367,industry
2022,7,48,48,45,0,3,1.0,0.9375,0.0,0.0625,industry
2022,,103,103,98,0,5,1.0,0.9514563106796117,0.0,0.04854368932038835,industry
2023,1,498,498,441,0,57,1.0,0.8855421686746988,0.0,0.1144578313253012,industry
2023,2,784,784,674,0,110,1.0,0.8596938775510204,0.0,0.14030612244897958,industry
2023,3,545,545,493,0,52,1.0,0.9045871559633027,0.0,0.09541284403669725,industry
2023,4,822,822,750,0,72,1.0,0.9124087591240876,0.0,0.08759124087591241,industry
2023,5,510,510,427,0,83,1.0,0.8372549019607843,0.0,0.1627450980392157,industry
2023,6,402,402,319,0,83,1.0,0.7935323383084577,0.0,0.2064676616915423,industry
2023,7,24,24,21,0,3,1.0,0.875,0.0,0.125,industry
2023,,127,127,122,0,5,1.0,0.9606299212598425,0.0,0.03937007874015748,industry
2024,1,470,470,416,0,54,1.0,0.8851063829787233,0.0,0.1148936170212766,industry
2024,2,802,802,681,0,121,1.0,0.8491271820448878,0.0,0.15087281795511223,industry
2024,3,553,553,510,0,43,1.0,0.9222423146473779,0.0,0.07775768535262206,industry
2024,4,890,890,810,0,80,1.0,0.9101123595505618,0.0,0.0898876404494382,industry
2024,5,548,548,466,0,82,1.0,0.8503649635036497,0.0,0.14963503649635038,industry
2024,6,379,379,301,0,78,1.0,0.7941952506596306,0.0,0.20580474934036938,industry
2024,7,37,37,32,0,5,1.0,0.8648648648648649,0.0,0.13513513513513514,industry
2024,,302,302,279,0,23,1.0,0.9238410596026491,0.0,0.076158940397351,industry
