comp_indu_noga,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
1,359,359,359,0,0,1.0,1.0,0.0,0.0,industry
2,977,977,977,0,0,1.0,1.0,0.0,0.0,industry
3,289,289,289,0,0,1.0,1.0,0.0,0.0,industry
4,325,325,325,0,0,1.0,1.0,0.0,0.0,industry
5,305,305,305,0,0,1.0,1.0,0.0,0.0,industry
6,785,785,785,0,0,1.0,1.0,0.0,0.0,industry
7,1072,1072,1072,0,0,1.0,1.0,0.0,0.0,industry
8,285,285,285,0,0,1.0,1.0,0.0,0.0,industry
9,397,397,397,0,0,1.0,1.0,0.0,0.0,industry
10,218,218,218,0,0,1.0,1.0,0.0,0.0,industry
11,850,850,850,0,0,1.0,1.0,0.0,0.0,industry
12,646,646,646,0,0,1.0,1.0,0.0,0.0,industry
13,1621,1621,1621,0,0,1.0,1.0,0.0,0.0,industry
14,536,536,536,0,0,1.0,1.0,0.0,0.0,industry
15,2057,2057,2057,0,0,1.0,1.0,0.0,0.0,industry
16,250,250,250,0,0,1.0,1.0,0.0,0.0,industry
17,883,883,883,0,0,1.0,1.0,0.0,0.0,industry
18,982,982,982,0,0,1.0,1.0,0.0,0.0,industry
19,527,527,527,0,0,1.0,1.0,0.0,0.0,industry
20,283,283,283,0,0,1.0,1.0,0.0,0.0,industry
21,3237,3237,3237,0,0,1.0,1.0,0.0,0.0,industry
22,878,878,878,0,0,1.0,1.0,0.0,0.0,industry
23,1656,1656,1656,0,0,1.0,1.0,0.0,0.0,industry
24,4471,4471,4471,0,0,1.0,1.0,0.0,0.0,industry
25,962,962,962,0,0,1.0,1.0,0.0,0.0,industry
26,288,288,288,0,0,1.0,1.0,0.0,0.0,industry
27,706,706,706,0,0,1.0,1.0,0.0,0.0,industry
28,482,482,482,0,0,1.0,1.0,0.0,0.0,industry
29,288,288,288,0,0,1.0,1.0,0.0,0.0,industry
30,1864,1864,1864,0,0,1.0,1.0,0.0,0.0,industry
31,660,660,660,0,0,1.0,1.0,0.0,0.0,industry
32,1893,1893,1893,0,0,1.0,1.0,0.0,0.0,industry
33,2527,2527,2527,0,0,1.0,1.0,0.0,0.0,industry
34,1680,1680,1680,0,0,1.0,1.0,0.0,0.0,industry
35,231,231,231,0,0,1.0,1.0,0.0,0.0,industry
36,561,561,561,0,0,1.0,1.0,0.0,0.0,industry
37,275,275,275,0,0,1.0,1.0,0.0,0.0,industry
38,296,296,296,0,0,1.0,1.0,0.0,0.0,industry
39,2751,2751,2751,0,0,1.0,1.0,0.0,0.0,industry
40,809,809,809,0,0,1.0,1.0,0.0,0.0,industry
41,1312,1312,1312,0,0,1.0,1.0,0.0,0.0,industry
42,2983,2983,2983,0,0,1.0,1.0,0.0,0.0,industry
43,2925,2925,2925,0,0,1.0,1.0,0.0,0.0,industry
44,6265,6265,6265,0,0,1.0,1.0,0.0,0.0,industry
45,1514,1514,1514,0,0,1.0,1.0,0.0,0.0,industry
46,443,443,443,0,0,1.0,1.0,0.0,0.0,industry
47,468,468,468,0,0,1.0,1.0,0.0,0.0,industry
48,545,545,545,0,0,1.0,1.0,0.0,0.0,industry
49,513,513,513,0,0,1.0,1.0,0.0,0.0,industry
50,927,927,0,0,927,1.0,0.0,0.0,1.0,industry
51,1737,1737,0,0,1737,1.0,0.0,0.0,1.0,industry
