industry_section,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
AB,359,359,359,0,0,1.0,1.0,0.0,0.0,industry
C,11496,11496,11496,0,0,1.0,1.0,0.0,0.0,industry
DE,982,982,982,0,0,1.0,1.0,0.0,0.0,industry
F,4047,4047,4047,0,0,1.0,1.0,0.0,0.0,industry
G,7005,7005,7005,0,0,1.0,1.0,0.0,0.0,industry
H,2438,2438,2438,0,0,1.0,1.0,0.0,0.0,industry
I,2152,2152,2152,0,0,1.0,1.0,0.0,0.0,industry
J,2553,2553,2553,0,0,1.0,1.0,0.0,0.0,industry
K,4438,4438,4438,0,0,1.0,1.0,0.0,0.0,industry
L,561,561,561,0,0,1.0,1.0,0.0,0.0,industry
M,4131,4131,4131,0,0,1.0,1.0,0.0,0.0,industry
N,1312,1312,1312,0,0,1.0,1.0,0.0,0.0,industry
O,2983,2983,2983,0,0,1.0,1.0,0.0,0.0,industry
P,2925,2925,2925,0,0,1.0,1.0,0.0,0.0,industry
Q,8222,8222,8222,0,0,1.0,1.0,0.0,0.0,industry
R,468,468,468,0,0,1.0,1.0,0.0,0.0,industry
S,1058,1058,1058,0,0,1.0,1.0,0.0,0.0,industry
T,927,927,0,0,927,1.0,0.0,0.0,1.0,industry
U,1737,1737,0,0,1737,1.0,0.0,0.0,1.0,industry
