occu_isco2_code,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
2,47,47,0,0,47,1.0,0.0,0.0,1.0,occupation
10,74,74,0,0,74,1.0,0.0,0.0,1.0,occupation
11,668,668,655,0,13,1.0,0.9805389221556886,0.0,0.019461077844311378,occupation
12,1830,1830,1713,0,117,1.0,0.9360655737704918,0.0,0.06393442622950819,occupation
13,1354,1354,1290,0,64,1.0,0.9527326440177253,0.0,0.047267355982274745,occupation
14,178,178,178,0,0,1.0,1.0,0.0,0.0,occupation
20,301,301,0,0,301,1.0,0.0,0.0,1.0,occupation
21,3141,3141,2768,0,373,1.0,0.8812480101878383,0.0,0.11875198981216173,occupation
22,3798,3798,3483,0,315,1.0,0.9170616113744076,0.0,0.08293838862559241,occupation
23,1905,1905,1860,0,45,1.0,0.9763779527559056,0.0,0.023622047244094488,occupation
24,3911,3911,3852,0,59,1.0,0.9849143441575045,0.0,0.015085655842495525,occupation
25,4066,4066,3395,0,671,1.0,0.8349729463846532,0.0,0.16502705361534678,occupation
26,1409,1409,1310,0,99,1.0,0.9297374024130589,0.0,0.07026259758694109,occupation
30,715,715,0,0,715,1.0,0.0,0.0,1.0,occupation
31,3941,3941,3716,0,225,1.0,0.9429078913981223,0.0,0.057092108601877696,occupation
32,1409,1409,1409,0,0,1.0,1.0,0.0,0.0,occupation
33,4270,4270,4238,0,32,1.0,0.9925058548009368,0.0,0.007494145199063232,occupation
34,992,992,981,0,11,1.0,0.9889112903225806,0.0,0.011088709677419355,occupation
35,800,800,773,0,27,1.0,0.96625,0.0,0.03375,occupation
40,2,2,0,0,2,1.0,0.0,0.0,1.0,occupation
41,2535,2535,2535,0,0,1.0,1.0,0.0,0.0,occupation
42,865,865,865,0,0,1.0,1.0,0.0,0.0,occupation
43,2000,2000,1481,0,519,1.0,0.7405,0.0,0.2595,occupation
44,1807,1807,1806,0,1,1.0,0.9994465965688988,0.0,0.0005534034311012728,occupation
50,1,1,0,0,1,1.0,0.0,0.0,1.0,occupation
51,3210,3210,3207,0,3,1.0,0.9990654205607477,0.0,0.0009345794392523365,occupation
52,2895,2895,2895,0,0,1.0,1.0,0.0,0.0,occupation
53,872,872,872,0,0,1.0,1.0,0.0,0.0,occupation
54,431,431,431,0,0,1.0,1.0,0.0,0.0,occupation
61,350,350,350,0,0,1.0,1.0,0.0,0.0,occupation
62,13,13,13,0,0,1.0,1.0,0.0,0.0,occupation
70,11,11,0,0,11,1.0,0.0,0.0,1.0,occupation
71,1841,1841,1819,0,22,1.0,0.9880499728408474,0.0,0.011950027159152634,occupation
72,2600,2600,1749,0,851,1.0,0.6726923076923077,0.0,0.3273076923076923,occupation
73,320,320,312,0,8,1.0,0.975,0.0,0.025,occupation
74,1681,1681,1681,0,0,1.0,1.0,0.0,0.0,occupation
75,510,510,503,0,7,1.0,0.9862745098039216,0.0,0.013725490196078431,occupation
80,1,1,0,0,1,1.0,0.0,0.0,1.0,occupation
81,697,697,504,0,193,1.0,0.7230989956958394,0.0,0.2769010043041607,occupation
82,205,205,69,0,136,1.0,0.33658536585365856,0.0,0.6634146341463415,occupation
83,888,888,836,0,52,1.0,0.9414414414414415,0.0,0.05855855855855856,occupation
90,14,14,0,0,14,1.0,0.0,0.0,1.0,occupation
91,488,488,488,0,0,1.0,1.0,0.0,0.0,occupation
92,76,76,76,0,0,1.0,1.0,0.0,0.0,occupation
93,349,349,347,0,2,1.0,0.994269340974212,0.0,0.0057306590257879654,occupation
94,152,152,144,0,8,1.0,0.9473684210526315,0.0,0.05263157894736842,occupation
96,171,171,139,0,32,1.0,0.8128654970760234,0.0,0.1871345029239766,occupation
