loca_regi_kant_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
1,14532,14532,13479,0,1053,1.0,0.9275392237819984,0.0,0.07246077621800165,occupation
2,8040,8040,7309,0,731,1.0,0.9090796019900498,0.0,0.09092039800995025,occupation
3,2634,2634,2382,0,252,1.0,0.9043280182232346,0.0,0.09567198177676538,occupation
4,127,127,115,0,12,1.0,0.905511811023622,0.0,0.09448818897637795,occupation
5,714,714,677,0,37,1.0,0.9481792717086834,0.0,0.05182072829131653,occupation
6,238,238,213,0,25,1.0,0.8949579831932774,0.0,0.10504201680672269,occupation
7,201,201,168,0,33,1.0,0.835820895522388,0.0,0.16417910447761194,occupation
8,306,306,289,0,17,1.0,0.9444444444444444,0.0,0.05555555555555555,occupation
9,1115,1115,1028,0,87,1.0,0.9219730941704036,0.0,0.07802690582959641,occupation
10,1214,1214,1104,0,110,1.0,0.9093904448105437,0.0,0.09060955518945635,occupation
11,1811,1811,1642,0,169,1.0,0.9066813914964108,0.0,0.09331860850358918,occupation
12,2710,2710,2507,0,203,1.0,0.9250922509225092,0.0,0.07490774907749077,occupation
13,1447,1447,1339,0,108,1.0,0.9253628196268141,0.0,0.0746371803731859,occupation
14,660,660,593,0,67,1.0,0.8984848484848484,0.0,0.10151515151515152,occupation
15,303,303,279,0,24,1.0,0.9207920792079208,0.0,0.07920792079207921,occupation
16,109,109,105,0,4,1.0,0.963302752293578,0.0,0.03669724770642202,occupation
17,3552,3552,3157,0,395,1.0,0.888795045045045,0.0,0.11120495495495496,occupation
18,1234,1234,1134,0,100,1.0,0.9189627228525121,0.0,0.08103727714748785,occupation
19,3939,3939,3542,0,397,1.0,0.8992129982228992,0.0,0.10078700177710079,occupation
20,1374,1374,1219,0,155,1.0,0.8871906841339156,0.0,0.11280931586608442,occupation
21,999,999,902,0,97,1.0,0.9029029029029029,0.0,0.0970970970970971,occupation
22,3519,3519,3266,0,253,1.0,0.9281045751633987,0.0,0.0718954248366013,occupation
23,1703,1703,1585,0,118,1.0,0.9307105108631826,0.0,0.06928948913681739,occupation
24,977,977,861,0,116,1.0,0.8812691914022518,0.0,0.1187308085977482,occupation
25,2713,2713,2497,0,216,1.0,0.9203833394765942,0.0,0.07961666052340582,occupation
26,243,243,225,0,18,1.0,0.9259259259259259,0.0,0.07407407407407407,occupation
,3380,3380,3126,0,254,1.0,0.9248520710059172,0.0,0.07514792899408285,occupation
