loca_regi_kant_clean,total,eligible,mapped_target,mapped_fallback,unmapped,eligible_share,mapped_target_share_of_eligible,mapped_fallback_share_of_eligible,unmapped_share_of_eligible,domain
1,14532,14532,14038,0,494,1.0,0.9660060556014314,0.0,0.033993944398568676,industry
2,8040,8040,7750,0,290,1.0,0.9639303482587065,0.0,0.036069651741293535,industry
3,2634,2634,2519,0,115,1.0,0.9563401670463174,0.0,0.043659832953682615,industry
4,127,127,109,0,18,1.0,0.8582677165354331,0.0,0.14173228346456693,industry
5,714,714,656,0,58,1.0,0.9187675070028011,0.0,0.08123249299719888,industry
6,238,238,234,0,4,1.0,0.9831932773109243,0.0,0.01680672268907563,industry
7,201,201,181,0,20,1.0,0.900497512437811,0.0,0.09950248756218906,industry
8,306,306,291,0,15,1.0,0.9509803921568627,0.0,0.049019607843137254,industry
9,1115,1115,1027,0,88,1.0,0.9210762331838565,0.0,0.07892376681614349,industry
10,1214,1214,1156,0,58,1.0,0.9522240527182867,0.0,0.047775947281713346,industry
11,1811,1811,1740,0,71,1.0,0.9607951408061844,0.0,0.03920485919381557,industry
12,2710,2710,2639,0,71,1.0,0.9738007380073801,0.0,0.026199261992619925,industry
13,1447,1447,1404,0,43,1.0,0.9702833448514168,0.0,0.029716655148583276,industry
14,660,660,641,0,19,1.0,0.9712121212121212,0.0,0.02878787878787879,industry
15,303,303,288,0,15,1.0,0.9504950495049505,0.0,0.04950495049504951,industry
16,109,109,109,0,0,1.0,1.0,0.0,0.0,industry
17,3552,3552,3398,0,154,1.0,0.9566441441441441,0.0,0.04335585585585586,industry
18,1234,1234,1151,0,83,1.0,0.9327390599675851,0.0,0.06726094003241491,industry
19,3939,3939,3779,0,160,1.0,0.9593805534399594,0.0,0.04061944656004062,industry
20,1374,1374,1319,0,55,1.0,0.9599708879184862,0.0,0.04002911208151383,industry
21,999,999,940,0,59,1.0,0.9409409409409409,0.0,0.05905905905905906,industry
22,3519,3519,3360,0,159,1.0,0.9548167092924126,0.0,0.045183290707587385,industry
23,1703,1703,1652,0,51,1.0,0.9700528479154433,0.0,0.029947152084556665,industry
24,977,977,911,0,66,1.0,0.932446264073695,0.0,0.06755373592630501,industry
25,2713,2713,2582,0,131,1.0,0.9517139697751567,0.0,0.048286030224843346,industry
26,243,243,221,0,22,1.0,0.9094650205761317,0.0,0.09053497942386832,industry
,3380,3380,3035,0,345,1.0,0.8979289940828402,0.0,0.10207100591715976,industry
