level,category,max_abs_yoy_change,year_of_max_change
noga_section,Other,0.11839135020897716,2022
noga_section,C,0.044075832008728555,2011
noga_section,O,0.03904113014583491,2022
noga_section,F,0.03180399622119014,2022
noga_section,Q,0.03014446819131253,2019
noga_section,J,0.029149847145654377,2022
noga_section,K,0.02878433994405251,2012
noga_section,M,0.021244278591359057,2022
noga_section,G,0.01785510048802237,2019
noga_section,H,0.016516042116168795,2022
noga_section,P,0.015337337138346445,2022
