code,count,share,label,level
33,4270,0.07141184734254273,Business and administration associate professionals,isco2
25,4066,0.06800013379268822,Information and communications technology professionals,isco2
31,3941,0.06590962303910092,Science and engineering associate professionals,isco2
24,3911,0.06540790045823995,Business and administration professionals,isco2
22,3798,0.06351807873699702,Health professionals,isco2
51,3210,0.05368431615212229,Personal service workers,isco2
21,3141,0.052530354216142085,Science and engineering professionals,isco2
52,2895,0.04841622905308225,Sales workers,isco2
72,2600,0.04348262367461618,"Metal, machinery and related trades workers",isco2
41,2535,0.04239555808275078,General and keyboard clerks,isco2
