occu_isco_2008,count,classification,soc_codes_without_exposure
7200,769,invalid ISCO-08 (not in official list),[]
3000,715,invalid ISCO-08 (not in official list),[]
4320,519,invalid ISCO-08 (not in official list),[]
2500,447,invalid ISCO-08 (not in official list),[]
2140,327,invalid ISCO-08 (not in official list),[]
2210,315,invalid ISCO-08 (not in official list),[]
2000,301,invalid ISCO-08 (not in official list),[]
2510,224,invalid ISCO-08 (not in official list),[]
3100,205,invalid ISCO-08 (not in official list),[]
8100,181,invalid ISCO-08 (not in official list),[]
8210,136,invalid ISCO-08 (not in official list),[]
1210,117,invalid ISCO-08 (not in official list),[]
2610,93,invalid ISCO-08 (not in official list),[]
7210,78,invalid ISCO-08 (not in official list),[]
1000,74,invalid ISCO-08 (not in official list),[]
2400,59,invalid ISCO-08 (not in official list),[]
8300,52,invalid ISCO-08 (not in official list),[]
-2,47,invalid ISCO-08 (not in official list),[]
2100,46,invalid ISCO-08 (not in official list),[]
2300,45,invalid ISCO-08 (not in official list),[]
1320,32,invalid ISCO-08 (not in official list),[]
3510,27,invalid ISCO-08 (not in official list),[]
9613,24,structural (no SOC exposure for mapped SOCs),['37-3019']
3300,23,invalid ISCO-08 (not in official list),[]
1340,20,invalid ISCO-08 (not in official list),[]
7110,15,invalid ISCO-08 (not in official list),[]
9000,14,invalid ISCO-08 (not in official list),[]
310,13,structural (no SOC exposure for mapped SOCs),"['55-3011', '55-3012', '55-3013', '55-3014', '55-3015', '55-3016', '55-3017', '55-3018', '55-3019']"
1300,12,invalid ISCO-08 (not in official list),[]
3413,11,structural (no SOC exposure for mapped SOCs),['21-2099']
7000,11,invalid ISCO-08 (not in official list),[]
9410,8,invalid ISCO-08 (not in official list),[]
9610,8,invalid ISCO-08 (not in official list),[]
3310,8,invalid ISCO-08 (not in official list),[]
7310,8,invalid ISCO-08 (not in official list),[]
110,7,structural (no SOC exposure for mapped SOCs),"['55-1011', '55-1012', '55-1013', '55-1014', '55-1015', '55-1016', '55-1017', '55-1019']"
1111,6,structural (no SOC exposure for mapped SOCs),['11-1031']
8150,6,invalid ISCO-08 (not in official list),[]
8120,6,invalid ISCO-08 (not in official list),[]
3150,5,invalid ISCO-08 (not in official list),[]
7133,5,structural (no SOC exposure for mapped SOCs),['37-2019']
7530,5,invalid ISCO-08 (not in official list),[]
7230,4,invalid ISCO-08 (not in official list),[]
5161,3,structural (no SOC exposure for mapped SOCs),['27-2099']
2659,3,structural (no SOC exposure for mapped SOCs),['27-2099']
7520,2,invalid ISCO-08 (not in official list),[]
2650,2,invalid ISCO-08 (not in official list),[]
3110,2,invalid ISCO-08 (not in official list),[]
4000,2,invalid ISCO-08 (not in official list),[]
7120,2,invalid ISCO-08 (not in official list),[]
9310,2,invalid ISCO-08 (not in official list),[]
4410,1,invalid ISCO-08 (not in official list),[]
8000,1,invalid ISCO-08 (not in official list),[]
3330,1,invalid ISCO-08 (not in official list),[]
2630,1,invalid ISCO-08 (not in official list),[]
5000,1,invalid ISCO-08 (not in official list),[]
