field,non_missing_count_strict,non_missing_pct_strict,non_missing_count_conservative,non_missing_pct_conservative
adve_iden_sjob,20547,100.0,20547,100.0
occu_titl_adve,20547,100.0,20547,100.0
loca_regi_kant,19432,94.57341704385068,19432,94.57341704385068
loca_regi_nuts,19432,94.57341704385068,19432,94.57341704385068
loca_labo_reg2,18565,90.35382294252202,18565,90.35382294252202
occu_isco_2008,20524,99.88806151749647,20524,99.88806151749647
comp_indu_noga,20547,100.0,20547,100.0
vaca_posi_mana,20327,98.92928408040103,20327,98.92928408040103
vaca_posi_resp,20327,98.92928408040103,2626,12.780454567576774
vaca_task_main,20327,98.92928408040103,20327,98.92928408040103
comp_busi_size,20547,100.0,8151,39.67002482114177
incu_educ_yrsm,19226,93.57083759186256,19226,93.57083759186256
incu_gend_indi,20327,98.92928408040103,20327,98.92928408040103
srvy_wght_tru2,20547,100.0,20547,100.0
