loca_regi_kant,loca_regi_nuts,loca_labo_reg2,postings
1,4,11,6
1,4,12,14526
2,2,3,75
2,2,5,1324
2,2,6,4221
2,2,9,1548
2,2,10,323
3,6,10,21
3,6,11,2307
4,6,11,127
5,6,11,200
5,6,12,488
6,6,11,238
7,6,11,201
8,5,12,306
9,6,11,1115
10,2,2,27
10,2,4,1016
10,2,6,114
11,2,5,1040
11,2,8,100
11,2,10,570
12,3,8,2710
13,3,8,1447
14,5,12,660
15,5,15,303
16,5,15,109
17,5,12,317
17,5,15,2459
17,5,16,519
18,5,13,19
18,5,16,1124
19,3,8,422
19,3,10,1585
19,3,11,66
19,3,12,1646
20,5,12,50
20,5,15,1257
21,7,13,361
21,7,14,447
22,1,1,264
22,1,2,2896
22,1,4,83
22,1,9,1
23,1,2,169
23,1,7,1399
24,2,3,977
25,1,1,2713
26,2,3,16
26,2,5,200
