nuts_region,kanton,reg2_list
Espace Mittelland,Bern,"Aareland, Berner Oberland, Region Bern, Region Biel–Jura, Region Neuenburg"
Espace Mittelland,Fribourg,"Region Bern, Region Freiburg, Region Lausanne"
Espace Mittelland,Jura,"Region Biel–Jura, Region Neuenburg"
Espace Mittelland,Neuchâtel,Region Neuenburg
Espace Mittelland,Solothurn,"Aareland, Region Basel, Region Biel–Jura"
Nordwestschweiz,Argovia,"Aareland, Region Basel, Region Zürich, Zentralschweiz"
Nordwestschweiz,Basel-City,Region Basel
Nordwestschweiz,Basel-Land,Region Basel
Ostschweiz,Appenzell Inner Rhodes,Bodenseeregion
Ostschweiz,Appenzell Outer Rhodes,Bodenseeregion
Ostschweiz,Glarus,Region Zürich
Ostschweiz,Grisons,"Ostalpen, Sopraceneri"
Ostschweiz,Schaffhausen,Region Zürich
Ostschweiz,St. Gallen,"Bodenseeregion, Ostalpen, Region Zürich"
Ostschweiz,Thurgovia,"Bodenseeregion, Region Zürich"
Région lémanique,Geneva,Region Genf
Région lémanique,Valais,"Region Lausanne, Westalpen"
Région lémanique,Vaud,"Berner Oberland, Region Freiburg, Region Genf, Region Lausanne"
Ticino,Ticino,"Sopraceneri, Sottoceneri"
Zentralschweiz,Lucerne,"Aareland, Zentralschweiz"
Zentralschweiz,Nidwald,Zentralschweiz
Zentralschweiz,Obwald,Zentralschweiz
Zentralschweiz,Schwyz,"Region Zürich, Zentralschweiz"
Zentralschweiz,Uri,Zentralschweiz
Zentralschweiz,Zug,Zentralschweiz
Zürich,Zurich,"Region Zürich, Zentralschweiz"
