kanton,nuts_region,labo_reg2,postings
Appenzell Inner Rhodes,Ostschweiz,Bodenseeregion,109
Appenzell Outer Rhodes,Ostschweiz,Bodenseeregion,303
Argovia,Nordwestschweiz,Aareland,1585
Argovia,Nordwestschweiz,Region Basel,422
Argovia,Nordwestschweiz,Region Zürich,1646
Argovia,Nordwestschweiz,Zentralschweiz,66
Basel-City,Nordwestschweiz,Region Basel,2710
Basel-Land,Nordwestschweiz,Region Basel,1447
Bern,Espace Mittelland,Aareland,323
Bern,Espace Mittelland,Berner Oberland,1548
Bern,Espace Mittelland,Region Bern,4221
Bern,Espace Mittelland,Region Biel–Jura,1324
Bern,Espace Mittelland,Region Neuenburg,75
Fribourg,Espace Mittelland,Region Bern,114
Fribourg,Espace Mittelland,Region Freiburg,1016
Fribourg,Espace Mittelland,Region Lausanne,27
Geneva,Région lémanique,Region Genf,2713
Glarus,Ostschweiz,Region Zürich,306
Grisons,Ostschweiz,Ostalpen,1124
Grisons,Ostschweiz,Sopraceneri,19
Jura,Espace Mittelland,Region Biel–Jura,200
Jura,Espace Mittelland,Region Neuenburg,16
Lucerne,Zentralschweiz,Aareland,21
Lucerne,Zentralschweiz,Zentralschweiz,2307
Neuchâtel,Espace Mittelland,Region Neuenburg,977
Nidwald,Zentralschweiz,Zentralschweiz,201
Obwald,Zentralschweiz,Zentralschweiz,238
Schaffhausen,Ostschweiz,Region Zürich,660
Schwyz,Zentralschweiz,Region Zürich,488
Schwyz,Zentralschweiz,Zentralschweiz,200
Solothurn,Espace Mittelland,Aareland,570
Solothurn,Espace Mittelland,Region Basel,100
Solothurn,Espace Mittelland,Region Biel–Jura,1040
St. Gallen,Ostschweiz,Bodenseeregion,2459
St. Gallen,Ostschweiz,Ostalpen,519
St. Gallen,Ostschweiz,Region Zürich,317
Thurgovia,Ostschweiz,Bodenseeregion,1257
Thurgovia,Ostschweiz,Region Zürich,50
Ticino,Ticino,Sopraceneri,361
Ticino,Ticino,Sottoceneri,447
Uri,Zentralschweiz,Zentralschweiz,127
Valais,Région lémanique,Region Lausanne,169
Valais,Région lémanique,Westalpen,1399
Vaud,Région lémanique,Berner Oberland,1
Vaud,Région lémanique,Region Freiburg,83
Vaud,Région lémanique,Region Genf,264
Vaud,Région lémanique,Region Lausanne,2896
Zug,Zentralschweiz,Zentralschweiz,1115
Zurich,Zürich,Region Zürich,14526
Zurich,Zürich,Zentralschweiz,6
