noga2	comp_indu_noga	indu_comp_noga_label_en	noga_section	noga_section_label
1	1	Agriculture, forestry and fishing	AB	Agriculture, forestry, fishing and mining
2	1	Agriculture, forestry and fishing	AB	Agriculture, forestry, fishing and mining
3	1	Agriculture, forestry and fishing	AB	Agriculture, forestry, fishing and mining
5	1	Agriculture, forestry and fishing	AB	Agriculture, forestry, fishing and mining
6	1	Agriculture, forestry and fishing	AB	Agriculture, forestry, fishing and mining
7	1	Agriculture, forestry and fishing	AB	Agriculture, forestry, fishing and mining
8	1	Agriculture, forestry and fishing	AB	Agriculture, forestry, fishing and mining
9	1	Agriculture, forestry and fishing	AB	Agriculture, forestry, fishing and mining
10	2	Manufacture of food products and tobacco products	C	Manufacturing
11	2	Manufacture of food products and tobacco products	C	Manufacturing
12	2	Manufacture of food products and tobacco products	C	Manufacturing
13	3	Manufacture of textiles and wearing apparel	C	Manufacturing
14	3	Manufacture of textiles and wearing apparel	C	Manufacturing
15	3	Manufacture of textiles and wearing apparel	C	Manufacturing
16	4	Manufacture of wood and of products of wood, straw and plaiting materials (excluding furniture)	C	Manufacturing
17	5	Manufacture of paper and paper products	C	Manufacturing
18	6	Printing and reproduction of recorded media	C	Manufacturing
19	7	Manufacture of chemicals; coke and refined petroleum products	C	Manufacturing
20	7	Manufacture of chemicals; coke and refined petroleum products	C	Manufacturing
21	8	Manufacture of basic pharmaceutical products and pharmaceutical preparations	C	Manufacturing
22	9	Manufacture of rubber and plastic products	C	Manufacturing
23	10	Manufacture of glass and glass products; ceramics; processing of stones and earth	C	Manufacturing
24	11	Manufacture and processing of basic metals	C	Manufacturing
25	12	Manufacture of fabricated metal products	C	Manufacturing
26	13	Manufacture of computer, electronic and optical products	C	Manufacturing
27	14	Manufacture of electrical equipment	C	Manufacturing
28	15	Manufacture of machinery and equipment	C	Manufacturing
29	16	Manufacture of motor vehicles, trailers and other transport equipment	C	Manufacturing
30	16	Manufacture of motor vehicles, trailers and other transport equipment	C	Manufacturing
31	17	Other manufacturing; repair and installation of machinery and equipment	C	Manufacturing
32	17	Other manufacturing; repair and installation of machinery and equipment	C	Manufacturing
33	17	Other manufacturing; repair and installation of machinery and equipment	C	Manufacturing
35	18	Electricity, gas, water supply; sewerage, waste management and remediation activities	DE	Electricity, gas, water supply; sewerage, waste management
36	18	Electricity, gas, water supply; sewerage, waste management and remediation activities	DE	Electricity, gas, water supply; sewerage, waste management
37	18	Electricity, gas, water supply; sewerage, waste management and remediation activities	DE	Electricity, gas, water supply; sewerage, waste management
38	18	Electricity, gas, water supply; sewerage, waste management and remediation activities	DE	Electricity, gas, water supply; sewerage, waste management
39	18	Electricity, gas, water supply; sewerage, waste management and remediation activities	DE	Electricity, gas, water supply; sewerage, waste management
41	19	Construction of buildings	F	Construction
42	20	Civil engineering	F	Construction
43	21	Specialised construction activities	F	Construction
45	22	Wholesale and retail trade and repair of motor vehicles and motorcycles	G	Wholesale and retail trade; repair of motor vehicles
46	23	Wholesale trade (excluding motor vehicles and motorcycles)	G	Wholesale and retail trade; repair of motor vehicles
47	24	Retail trade (excluding motor vehicles and motorcycles)	G	Wholesale and retail trade; repair of motor vehicles
49	25	Land transport and transport via pipelines	H	Transportation and storage
50	26	Water transport and air transport	H	Transportation and storage
