column,dtype,missing,missing_pct
incu_educ_yrs2_clean,float64,47050,78.68682476502659
incu_educ_typ2_clean,float64,47050,78.68682476502659
incu_educ_yrs1_clean,float64,10464,17.500083620430143
incu_educ_typ1_clean,float64,10464,17.500083620430143
occupation_exposure,Float64,5051,8.447335853095627
incu_educ_yrsm_clean,float64,4424,7.398735659096229
incu_educ_ide1_clean,Int64,4416,7.385356390273272
incu_educ_ide2_clean,Int64,3786,6.331738970465264
industry_exposure_weighted,Float64,2664,4.455296518045289
incu_skil_gene_clean,Int64,468,0.7826872261430912
vaca_posi_mana_clean,Int64,468,0.7826872261430912
vaca_posi_resp_clean,Int64,468,0.7826872261430912
incu_expe_gene_clean,Int64,468,0.7826872261430912
incu_trai_gene_clean,Int64,468,0.7826872261430912
ai_requirement,string,55,0.09198247315784193
srvy_wght_tru2,Float64,0,0.0
srvy_wght_tru1,Float64,0,0.0
loca_regi_kant,Int64,0,0.0
loca_regi_nuts,Int64,0,0.0
