year,postings_unw,postings_w,demand_w
2010,4085,72730.7017,80201.1171
2011,4199,91055.1722,96098.3044
2012,4251,92425.56019999999,101527.7178
2013,4320,94492.2162,102255.5986
2014,3692,100227.6535,107862.6531
2015,3703,95716.80559999999,102542.0088
2016,3944,98204.9033,104038.788
2017,3894,99701.576,107467.6759
2018,4040,104677.2332,113359.3204
2019,4086,96636.5573,105048.6306
2020,3918,104206.8669,105065.0702
2021,4003,82419.4839,84080.8777
2022,3966,124719.8247,133237.5833
2023,3712,132839.1517,140083.1894
2024,3981,127233.0193,155278.3121
