industry_section_label,mean_share_high,mean_share_low,mean_exp_high,mean_exp_low,mean_contrib_high,mean_contrib_low,delta_contrib,delta_share_pp
Education,0.043511145664592354,0.053724937723484814,1.186285442857143,1.186285442857143,0.05161663870394259,0.06373311153977662,-0.01211647283583403,-1.021379205889246
Transportation and storage,0.03406008768512815,0.027946737130622953,-0.6887165973601844,-0.5663669834713144,-0.022191577464865116,-0.01548810600336617,-0.006703471461498946,0.6113350554505199
Other service activities,0.014994692329231459,0.014444914998253388,0.3133766813924003,0.4753884913879629,0.0077050075796022965,0.011238249642602184,-0.0035332420629998872,0.05497773309780709
"Arts, entertainment and recreation",0.005739014692024439,0.003459116374530254,-0.1443577454545455,-0.1443577454545455,-0.0008975104905770906,-0.0005901411940179228,-0.0003073692965591678,0.22798983174941853
Public administration and defence; compulsory social security,0.0292745924549323,0.03440560901278355,-0.06395094999999995,-0.06395094999999995,-0.0018721379983557512,-0.002200271381696068,0.00032813338334031694,-0.513101655785125
Administrative and support service activities,0.01909023738011987,0.022704404219055892,-0.07928617380952384,-0.07928617380952382,-0.0016397245355673567,-0.002127444491727161,0.0004877199561598045,-0.3614166838936023
"Agriculture, forestry, fishing and mining",0.0036147467821348845,0.0035152370329733966,-1.0345610360000002,-1.0345610360000002,-0.0040513158571200605,-0.00472774544660408,0.0006764295894840198,0.009950974916148785
Wholesale and retail trade; repair of motor vehicles,0.13817061170511996,0.12237886617035333,0.08007238043911333,0.0850483139038686,0.011707331014436764,0.010741102265591985,0.0009662287488447791,1.579174553476663
Real estate activities,0.009367180453010151,0.0025439940852594023,0.9475425749999999,0.9475425749999999,0.009615452477512816,0.003133705518230903,0.006481746959281913,0.6823186367750749
"Electricity, gas, water supply; sewerage, waste management",0.006966975477422713,0.024081289386706783,-0.6259457333333334,-0.6259457333333334,-0.005153848315118111,-0.017814231316551556,0.012660383001433444,-1.7114313909284071
"Professional, scientific and technical activities",0.09300400267740828,0.06944445179019462,0.8019992841026227,0.8064720937330683,0.08132585735283494,0.052761191473546395,0.028564665879288548,2.355955088721366
Human health and social work activities,0.15614361859138817,0.09158843344840152,0.6314563848115223,0.6524887844882872,0.09639539323867743,0.05806930364318635,0.03832608959549109,6.4555185142986655
Manufacturing,0.16802075093082205,0.19006781895362432,-0.15576964247803476,-0.37710940640580937,-0.02675911795212755,-0.07030614310850601,0.04354702515637846,-2.204706802280226
Financial and insurance activities,0.05314504142445164,0.026937342415869626,2.0679495737277813,2.0619494608408546,0.10964147231573282,0.06015450492230934,0.04948696739342348,2.620769900858201
Information and communication,0.0705408910091784,0.020750140354383162,1.091044793764092,1.0672176482479359,0.07728615272606937,0.024173693463652713,0.05311245926241666,4.979075065479524
Accommodation and food service activities,0.036994175524919196,0.10287583644486621,-1.044255739192043,-0.9720121613804308,-0.03869260723467465,-0.0940398436772744,0.05534723644259975,-6.588166091994702
Construction,0.055296203893073284,0.13738326879021562,-1.1740811300063756,-1.119540349775734,-0.06431866158540828,-0.15738386748819283,0.09306520590278455,-8.208706489714233
