group_label,mean_high_share,mean_low_share,delta_share_pp,rank
Craft and related trades workers,0.12452261991867267,0.2040081179430093,-7.948549802433663,1
Service and sales workers,0.13014326420324707,0.18631593623626128,-5.617267203301421,2
"Plant and machine operators, and assemblers",0.029166321024185336,0.03609937472631237,-0.6933053702127032,3
Elementary occupations,0.020169629909457268,0.022513387399899245,-0.23437574904419772,4
Armed forces occupations,0.0007915922140875516,0.0021373607814745687,-0.1345768567387017,5
"Skilled agricultural, forestry and fishery workers",0.006492808767944349,0.005693141259747127,0.07996675081972217,6
Technicians and associate professionals,0.19856220267587346,0.19357342600973082,0.49887766661426414,7
Managers,0.05808635641332349,0.040267831076406774,1.781852533691672,8
Clerical support workers,0.1181961368037272,0.0775254198394013,4.067071696432591,9
Professionals,0.3138690680694815,0.23186600472775729,8.200306334172422,10
