group_label,mean_high_share,mean_low_share,delta_share_pp,rank
Electrical and electronic trades workers,0.02439147437527619,0.0642071763069582,-3.981570193168201,1
Personal service workers,0.05797447092366138,0.09427698559960213,-3.630251467594075,2
Building and related trades workers (excluding electricians),0.03682292090830298,0.0668673798496997,-3.0044458941396726,3
Teaching professionals,0.028723605499944384,0.048890812360919064,-2.016720686097468,4
Health professionals,0.054161959559086675,0.07329325888749184,-1.913129932840517,5
Sales workers,0.04783072042386224,0.0666354799775831,-1.8804759553720858,6
Information and communications technicians,0.010564328844637148,0.027803286587930347,-1.7238957743293197,7
"Metal, machinery and related trades workers",0.04557115382771027,0.058444534697427816,-1.2873380869717546,8
Drivers and mobile plant operators,0.013276544957134092,0.019952565591083955,-0.6676020633949863,9
"Food processing, woodworking, garment and other craft and related trades workers",0.005868526371308648,0.011606473587947598,-0.573794721663895,10
Personal care workers,0.015125679654241355,0.019966902722820812,-0.48412230685794566,11
Science and engineering associate professionals,0.0756483316500799,0.07891972263163297,-0.327139098155306,12
Assemblers,0.002798517189408834,0.005883666446486648,-0.3085149257077814,13
"Armed forces occupations, other ranks",2.9821122206906996e-05,0.0013724682602204471,-0.13426471380135402,14
"Chief executives, senior officials and legislators",0.006845694858216531,0.008056116156832986,-0.1210421298616455,15
Refuse workers and other elementary workers,0.0035716264181098125,0.004722914472274967,-0.11512880541651549,16
Food preparation assistants,0.0021567839537481484,0.003301697034032968,-0.11449130802848195,17
"Labourers in mining, construction, manufacturing and transport",0.005407712959074031,0.006337971019871333,-0.09302580607973018,18
Cleaners and helpers,0.006072629198065467,0.006902903762481755,-0.08302745644162877,19
"Market-oriented skilled forestry, fishery and hunting workers",0.00015156321390404805,0.00045385713832970647,-0.030229392442565846,20
Customer services clerks,0.011067627157722167,0.011333005458159335,-0.026537830043716834,21
Commissioned armed forces officers,1.2252577363617833e-05,1.02389339115854e-06,0.0011228683972459292,22
"Legal, social, cultural and related associate professionals",0.019655565187724773,0.01914874590461506,0.05068192831097114,23
Market-oriented skilled agricultural workers,0.006347719076417193,0.005256448696846421,0.10912703795707716,24
"Agricultural, forestry and fishery labourers",0.002516613874951503,0.0011570371629439165,0.13595767120075866,25
"Hospitality, retail and other services managers",0.0046666827530688695,0.0024435992083586267,0.2223083544710243,26
Production and specialised services managers,0.017887500031264245,0.015252589436167604,0.2634910595096641,27
Stationary plant and machine operators,0.013091668849021422,0.010294117550724615,0.27975512982968065,28
Protective services workers,0.009295832306189635,0.0055222252693186155,0.37736070368710195,29
Health associate professionals,0.024037718487366917,0.019513225926440964,0.4524492560925953,30
Unknown sub-major (major group only),0.018637167207978447,0.010294301838820803,0.8342865369157644,31
Handicraft and printing workers,0.011437480650879408,0.0028106709706859187,0.8626809680193489,32
"Legal, social and cultural professionals",0.02031976005549963,0.010965351709407887,0.9354408346091742,33
Other clerical support workers,0.028100669585746,0.01630848255525339,1.1792187030492607,34
Numerical and material recording clerks,0.03093834912252806,0.018655336086632814,1.2283013035895247,35
Administrative and commercial managers,0.02759059884335226,0.013673341820849599,1.3917257022502663,36
Business and administration associate professionals,0.057995926362153186,0.04126400959088202,1.6731916771271165,37
General and keyboard clerks,0.048156843284564474,0.03129483654979425,1.6862006734770223,38
Business and administration professionals,0.05529684985212318,0.029384436463961994,2.5912413388161184,39
Information and communications technology professionals,0.06135327498699166,0.0312793031685757,3.0073971818415957,40
Science and engineering professionals,0.0885998338391143,0.03625173764654095,5.234809619257335,41
