loca_regi_kant_label,isco2_chg1,isco2_chg1_pp,isco2_chg2,isco2_chg2_pp,isco2_chg3,isco2_chg3_pp,isco2_chg4,isco2_chg4_pp,isco2_chg5,isco2_chg5_pp
AG,Health professionals,3.135148519311552,Health associate professionals,3.1051459325860638,Science and engineering associate professionals,2.263337131470012,"Legal, social and cultural professionals",2.050188165212046,Information and communications technology professionals,-1.7345640801631133
AI,Information and communications technicians,-39.47631388283316,Health professionals,21.890075956248207,Personal service workers,13.79302024345277,Information and communications technology professionals,7.336757153338224,Science and engineering professionals,4.81187053958514
AR,Building and related trades workers (excluding electricians),30.297564532988314,Business and administration associate professionals,-19.24530810140654,"Metal, machinery and related trades workers",-17.733483174414054,Teaching professionals,7.351428274349431,Information and communications technicians,5.423383837905147
BE,Building and related trades workers (excluding electricians),3.3383791201032906,Health associate professionals,3.0989981343043436,Business and administration professionals,-2.036009639791319,Science and engineering associate professionals,1.705997134986395,Business and administration associate professionals,-1.6280067157223646
BL,Information and communications technology professionals,9.862479552134005,Science and engineering associate professionals,7.791530870544927,Health professionals,-5.9401145815014935,General and keyboard clerks,-5.2439956368902605,Building and related trades workers (excluding electricians),-3.90691274879994
BS,Health professionals,9.259514053084608,Information and communications technology professionals,5.416680795576704,"Metal, machinery and related trades workers",-4.230938542860777,Health associate professionals,2.90330681355139,Sales workers,-2.195976428601757
FR,Science and engineering associate professionals,-10.039203839486206,Teaching professionals,9.279414868743782,Health professionals,8.781478781324726,Building and related trades workers (excluding electricians),6.383331407362849,Information and communications technology professionals,-4.543932311585808
GE,Business and administration associate professionals,-7.758561727529402,Personal service workers,5.716123575612249,Business and administration professionals,-4.840286742141292,"Legal, social, cultural and related associate professionals",-3.99603499084013,Sales workers,3.7982165537749024
GL,Teaching professionals,-11.286197795124925,Sales workers,9.911657388457124,Personal care workers,5.492371959939995,Electrical and electronic trades workers,-5.108790369169973,Building and related trades workers (excluding electricians),-5.049587070781508
GR,Health professionals,-8.315952299507712,Science and engineering associate professionals,-7.899690141302185,Teaching professionals,7.047259254359271,Electrical and electronic trades workers,5.927288250360332,"Legal, social and cultural professionals",-4.677587599651027
JU,Science and engineering professionals,-16.855867654624117,Personal care workers,14.991793624242522,"Legal, social, cultural and related associate professionals",13.66616717087806,Electrical and electronic trades workers,11.38959214150752,Teaching professionals,-11.38201908703445
LU,Building and related trades workers (excluding electricians),-7.8522792641846255,"Metal, machinery and related trades workers",4.627171574473107,Personal service workers,2.982563602430216,Business and administration associate professionals,-2.4576253037981104,General and keyboard clerks,2.2546017792375226
NE,Science and engineering professionals,-9.23252602867501,"Legal, social and cultural professionals",-7.088710946459588,Science and engineering associate professionals,6.7498419578987905,Building and related trades workers (excluding electricians),5.5395804534162085,Unknown sub-major (major group only),4.84686795632843
NW,Personal service workers,33.77069144325446,"Metal, machinery and related trades workers",-19.41490934955526,Business and administration professionals,-14.702859458478827,"Armed forces occupations, other ranks",-7.801667191689766,Health professionals,6.6796675801139775
OW,Science and engineering associate professionals,-21.86931500752329,Building and related trades workers (excluding electricians),10.124738675147102,Electrical and electronic trades workers,8.368604058793794,Personal service workers,5.501337443739361,Teaching professionals,4.876438293394145
SG,Sales workers,-5.201348212907943,Personal service workers,-4.86092090265653,Science and engineering professionals,4.7188906459752005,Building and related trades workers (excluding electricians),-2.2864902617466374,"Food processing, woodworking, garment and other craft and related trades workers",1.9506461461227045
SH,Personal service workers,11.0222811776094,Business and administration associate professionals,-7.578798673274203,Assemblers,-7.232894794442553,Drivers and mobile plant operators,5.6506211949750496,Health associate professionals,4.5535016107991
SO,Science and engineering professionals,-11.10695770842228,Health professionals,5.71349665450591,Health associate professionals,5.019300637638617,Information and communications technology professionals,4.945364134597895,"Legal, social and cultural professionals",4.628506629549604
SZ,Personal service workers,-11.554066985976405,Science and engineering associate professionals,7.091006034975224,Business and administration associate professionals,-5.876157703084414,Production and specialised services managers,5.758648947755971,Drivers and mobile plant operators,5.37294141813342
TG,Health professionals,5.928702168914734,Electrical and electronic trades workers,-4.605108789248511,Information and communications technology professionals,-4.42368781531763,"Agricultural, forestry and fishery labourers",-4.070587450584755,Unknown sub-major (major group only),-3.9324749850567136
TI,Building and related trades workers (excluding electricians),-8.245800243120497,Health professionals,-7.109552040093468,Science and engineering associate professionals,6.567860791344743,Information and communications technology professionals,6.1590563703827845,Numerical and material recording clerks,5.078934492052969
UR,Science and engineering professionals,53.48981405992681,Sales workers,-16.449674269481807,Personal service workers,-12.983240120824775,"Metal, machinery and related trades workers",11.852878384456881,Electrical and electronic trades workers,-10.320307338237804
Unknown,Sales workers,-4.562616023862932,Business and administration associate professionals,-4.540468789964973,Science and engineering associate professionals,3.6509343640169516,Electrical and electronic trades workers,-3.3248030520243166,Health professionals,2.5604594905091704
VD,Health professionals,9.66827945442234,Teaching professionals,-4.718870985534873,"Agricultural, forestry and fishery labourers",-4.7018710988802335,Personal service workers,-4.57104634438525,Stationary plant and machine operators,-3.508974704283743
VS,General and keyboard clerks,10.133974544219837,Teaching professionals,-9.43481630763687,Science and engineering professionals,7.83232042964266,Building and related trades workers (excluding electricians),-6.764266137363931,Health associate professionals,5.256525774862715
ZG,Business and administration associate professionals,-9.405788746634371,Teaching professionals,7.36518677172588,Sales workers,-4.760022596593263,Science and engineering professionals,4.4948657001685,Science and engineering associate professionals,-4.0402389752567
ZH,Science and engineering associate professionals,-2.7802730358010113,Health professionals,2.2808514331268475,Health associate professionals,2.255749547473239,Personal care workers,1.9837367802615364,Business and administration associate professionals,-1.7636932801647895
