loca_regi_kant_label,noga_chg1,noga_chg1_pp,noga_chg2,noga_chg2_pp,noga_chg3,noga_chg3_pp,noga_chg4,noga_chg4_pp,noga_chg5,noga_chg5_pp
AG,Manufacturing,4.612640508338172,Construction,-3.1189729805397013,"Professional, scientific and technical activities",1.6648908803512676,Human health and social work activities,1.3703280230543458,Accommodation and food service activities,-1.337833636040271
AI,Information and communication,-39.47631388283316,Manufacturing,23.54423211598865,Accommodation and food service activities,16.26015925323319,Wholesale and retail trade; repair of motor vehicles,9.442020314629573,Transportation and storage,-4.253941015704353
AR,Human health and social work activities,20.609433132191178,Wholesale and retail trade; repair of motor vehicles,-14.267516821380433,Public administration and defence; compulsory social security,-13.31942918851283,Education,3.7469674234890302,"Professional, scientific and technical activities",2.7445944329950906
BE,Wholesale and retail trade; repair of motor vehicles,3.996205176645404,Human health and social work activities,2.8947852482885117,Accommodation and food service activities,-2.7451125040652573,Construction,-2.6150033126117744,"Electricity, gas, water supply; sewerage, waste management",-2.562574990352846
BL,Wholesale and retail trade; repair of motor vehicles,13.4349187408166,Human health and social work activities,-9.86331678763536,Education,4.970358166237757,Manufacturing,-4.785142997408006,Public administration and defence; compulsory social security,-2.481262984192524
BS,"Professional, scientific and technical activities",15.649543563285869,Manufacturing,-7.121207487575782,Construction,-3.433045178100463,Education,-2.7192945570017844,Wholesale and retail trade; repair of motor vehicles,-2.6703586095029626
FR,Administrative and support service activities,8.56887342603311,Transportation and storage,-7.498014603091921,Human health and social work activities,6.951646260476786,Accommodation and food service activities,-4.285061796314083,Activities of extraterritorial organisations,-3.8887171448660394
GE,"Professional, scientific and technical activities",-15.161147953746317,Financial and insurance activities,-7.724211731273465,Manufacturing,6.9045970227571045,Human health and social work activities,5.688181844506187,Accommodation and food service activities,5.6510567724470935
GL,Accommodation and food service activities,33.80718992537131,"Professional, scientific and technical activities",-14.739543799257246,Construction,9.580171074686385,Education,-7.304248680615,Public administration and defence; compulsory social security,-6.79248595381603
GR,Accommodation and food service activities,9.882204712921967,Human health and social work activities,-9.589309899865519,Transportation and storage,-5.7037706841838745,"Electricity, gas, water supply; sewerage, waste management",-4.436133397570383,"Arts, entertainment and recreation",3.6165046693254497
JU,"Professional, scientific and technical activities",-27.32055814329192,Transportation and storage,13.813909774245161,Wholesale and retail trade; repair of motor vehicles,13.71613513336862,Education,-10.494120178448263,Manufacturing,4.353563907675381
