industry_section_label,0
Construction,-0.00045616733369172556
Accommodation and food service activities,-0.0003705995899319314
Activities of extraterritorial organisations,-0.0003318422357650227
Manufacturing,-0.00028057929754577007
Public administration and defence; compulsory social security,-0.0002522818525482714
Education,-0.00018463549229409893
Transportation and storage,-0.00017916953994661814
Other service activities,-0.0001693470617474968
"Professional, scientific and technical activities",-0.00015839494727403
Wholesale and retail trade; repair of motor vehicles,-0.00015188139279056513
Human health and social work activities,-1.0912458570772663e-05
"Agriculture, forestry, fishing and mining",-9.6309255100005e-06
Activities of households as employers,5.942936162337264e-05
"Electricity, gas, water supply; sewerage, waste management",0.00012178940562002529
"Arts, entertainment and recreation",0.00018364358153563797
Real estate activities,0.0002466925815472617
Administrative and support service activities,0.000253269169926333
Information and communication,0.00026081928077124097
Financial and insurance activities,0.0005275010705971666
