noga_code,noga_label,demand_total_tru2,postings_total_tru1,n_ads,mean_ind_exp_tru2
21,Specialised construction activities,96390.5839,85354.4148,3237,-1.2805669647058826
28,Postal and courier activities,14339.8674,12108.9048,482,-1.2160006666666667
30,Food and beverage service activities,54225.6532,49205.8672,1864,-1.083814
1,"Agriculture, forestry and fishing",5606.3021,4378.4785,359,-1.0345610360000002
4,"Manufacture of wood and of products of wood, straw and plaiting materials (excluding furniture)",12361.7932,11953.3618,325,-0.9917948846153847
27,Warehousing and support activities for transportation,15597.1818,17034.3386,706,-0.9599344375
20,Civil engineering,7615.4405,6489.3336,283,-0.9336955999999998
2,Manufacture of food products and tobacco products,18587.4235,16931.2629,977,-0.922205610810811
11,Manufacture and processing of basic metals,19332.6856,18499.2555,850,-0.90477262
29,Accommodation,19395.5887,18855.2013,288,-0.8153907499999999
10,Manufacture of glass and glass products; ceramics; processing of stones and earth,5231.4655,4974.2546,218,-0.7346721749999999
9,Manufacture of rubber and plastic products,8063.0697,7830.5543,397,-0.713524561111111
19,Construction of buildings,19091.7561,16861.4142,527,-0.7117375500000002
3,Manufacture of textiles and wearing apparel,7491.6434,7235.1519,289,-0.6592031552631579
5,Manufacture of paper and paper products,9126.758100000001,8683.0817,305,-0.64109755
18,"Electricity, gas, water supply; sewerage, waste management and remediation activities",24200.1723,23039.6806,982,-0.6259457333333335
12,Manufacture of fabricated metal products,24845.2926,23018.6207,646,-0.5680944147058823
17,Other manufacturing; repair and installation of machinery and equipment,19616.8237,18775.624,883,-0.4608999404761904
26,Water transport and air transport,9938.449,9238.9316,288,-0.38483084545454543
49,Repair of computers and personal/household goods; other predominantly personal service activities,11025.0506,9801.6806,513,-0.3492598523809524
16,"Manufacture of motor vehicles, trailers and other transport equipment",4588.2835000000005,4379.3931,250,-0.2769384368421053
7,Manufacture of chemicals; coke and refined petroleum products,21451.2498,20411.6707,1072,-0.26184086666666667
15,Manufacture of machinery and equipment,41626.596,39095.0276,2057,-0.18536159666666663
47,"Arts, entertainment and recreation",8916.6844,7491.1904,468,-0.14435774545454544
14,Manufacture of electrical equipment,17841.0881,17390.0196,536,-0.12439562173913044
