noga_code,noga_label,demand_total_tru2,postings_total_tru1,n_ads,mean_ind_exp_tru2
35,Activities auxiliary to financial and insurance services,7319.281,7262.4956999999995,231,2.1149697
34,"Insurance, reinsurance and pension funding (excluding social security)",34800.1121,32067.0302,1680,2.08917275
33,Financial service activities,54843.9067,53028.7561,2527,2.032305333333333
37,Legal and accounting activities; auditing; tax consultancy,16349.1446,14666.688,275,1.6582045
38,Activities of head offices; management consultancy activities,18428.0581,18123.4947,296,1.603005666666666
31,Publishing; audiovisual and broadcasting activities,28163.8821,29027.8664,660,1.3283719699999998
43,Education,66308.8791,62208.8672,2925,1.1862854428571432
48,Membership organisations; religious and other associations (excluding social work and sports),20243.5116,18620.9694,545,1.1480757222222224
32,Telecommunications; IT services; information service activities,62738.4589,59590.8619,1893,0.9881140437500001
36,Real estate activities,14723.8277,14469.7835,561,0.9475425749999998
40,"Scientific research and development; other professional, scientific and technical activities; veterinary activities",14178.3945,13170.8478,809,0.8867297999999997
13,"Manufacture of computer, electronic and optical products",37343.2501,35145.6413,1621,0.7901558666666666
46,Social work activities without accommodation,17479.4833,13912.441,443,0.7274457857142858
44,Human health activities,142064.8877,127600.7458,6265,0.7141869727272726
39,Architectural and engineering activities; technical testing and analysis,115469.9301,112374.8064,2751,0.6304446666666667
23,Wholesale trade (excluding motor vehicles and motorcycles),63259.0955,62220.1317,1656,0.2887353557692309
45,Residential care activities (excluding holiday and recreational homes),49867.4249,43310.6679,1514,0.2122173
8,Manufacture of basic pharmaceutical products and pharmaceutical preparations,10010.2696,9520.4826,285,0.12862043333333334
24,Retail trade (excluding motor vehicles and motorcycles),142299.2552,132005.0777,4471,0.029031561818181825
42,Public administration and defence; compulsory social security,43741.5326,39917.2254,2983,-0.06395094999999994
41,Administrative and other business support service activities,31162.4703,27547.8435,1312,-0.0792861738095238
6,Printing and reproduction of recorded media,19244.5703,17447.2603,785,-0.08492830000000001
22,Wholesale and retail trade and repair of motor vehicles and motorcycles,25606.2934,22397.432,878,-0.08843436111111114
25,Land transport and transport via pipelines,22429.5099,19579.5507,962,-0.11150409999999997
14,Manufacture of electrical equipment,17841.0881,17390.0196,536,-0.12439562173913044
47,"Arts, entertainment and recreation",8916.6844,7491.1904,468,-0.14435774545454544
15,Manufacture of machinery and equipment,41626.596,39095.0276,2057,-0.18536159666666663
7,Manufacture of chemicals; coke and refined petroleum products,21451.2498,20411.6707,1072,-0.26184086666666667
16,"Manufacture of motor vehicles, trailers and other transport equipment",4588.2835000000005,4379.3931,250,-0.2769384368421053
49,Repair of computers and personal/household goods; other predominantly personal service activities,11025.0506,9801.6806,513,-0.3492598523809524
26,Water transport and air transport,9938.449,9238.9316,288,-0.38483084545454543
17,Other manufacturing; repair and installation of machinery and equipment,19616.8237,18775.624,883,-0.4608999404761904
12,Manufacture of fabricated metal products,24845.2926,23018.6207,646,-0.5680944147058823
18,"Electricity, gas, water supply; sewerage, waste management and remediation activities",24200.1723,23039.6806,982,-0.6259457333333335
5,Manufacture of paper and paper products,9126.758100000001,8683.0817,305,-0.64109755
3,Manufacture of textiles and wearing apparel,7491.6434,7235.1519,289,-0.6592031552631579
19,Construction of buildings,19091.7561,16861.4142,527,-0.7117375500000002
9,Manufacture of rubber and plastic products,8063.0697,7830.5543,397,-0.713524561111111
10,Manufacture of glass and glass products; ceramics; processing of stones and earth,5231.4655,4974.2546,218,-0.7346721749999999
29,Accommodation,19395.5887,18855.2013,288,-0.8153907499999999
11,Manufacture and processing of basic metals,19332.6856,18499.2555,850,-0.90477262
2,Manufacture of food products and tobacco products,18587.4235,16931.2629,977,-0.922205610810811
20,Civil engineering,7615.4405,6489.3336,283,-0.9336955999999998
27,Warehousing and support activities for transportation,15597.1818,17034.3386,706,-0.9599344375
4,"Manufacture of wood and of products of wood, straw and plaiting materials (excluding furniture)",12361.7932,11953.3618,325,-0.9917948846153847
1,"Agriculture, forestry and fishing",5606.3021,4378.4785,359,-1.0345610360000002
30,Food and beverage service activities,54225.6532,49205.8672,1864,-1.083814
28,Postal and courier activities,14339.8674,12108.9048,482,-1.2160006666666667
21,Specialised construction activities,96390.5839,85354.4148,3237,-1.2805669647058826
50,Activities of households as employers; undifferentiated goods- and services-producing activities of households,21911.0106,19245.5574,927,
51,Not stated; activities of extraterritorial organisations and bodies,61653.5048,53787.4865,1737,
