indu_label,demand_total_tru2,mean_ind_exp,mean_occ_exp,share_high_occ_p80,coverage
"Architektur- und Ingenieurbüros; technische, physikalische und chemische Untersuchung",115469.9301,0.6304446666666667,0.7724583345157022,0.2294670030288691,0.9334787350054525
Beherbergung,19395.5887,-0.8153907499999999,-0.47172909240759664,0.006189165065147005,0.9965277777777778
Detailhandel (ohne Handel mit Motorfahrzeugen),142299.2552,0.029031561818181825,0.25998860385744854,0.10769182016070031,0.9637664951912324
"Energieversorgung, Wasserversorgung, Abwasserentsorgung, Beseitigung von Umweltverschmutzungen",24200.1723,-0.6259457333333335,0.18964565731605326,0.19951446791971808,0.8961303462321792
Erbringung von Finanzdienstleistungen,54843.90670000001,2.032305333333333,0.9955782524294123,0.5270123125637948,0.9445983379501385
Erbringung von sonstigen wirtschaftlichen Dienstleistungen,31162.4703,-0.15264912040816322,-0.042477845974326425,0.08904154174195876,0.9527439024390244
Erziehung und Unterricht,66308.87909999999,1.1862854428571432,0.7795623271785684,0.16600645267128336,0.9073504273504274
Fahrzeugbau,4588.2835000000005,-0.2769384368421053,0.012247236107780314,0.08647004920249587,0.8
Gastronomie,54225.6532,-1.083814,-0.6089626818535961,0.0186188444107115,0.9914163090128756
Gesundheitswesen,142064.88770000002,0.7141869727272726,0.21958364667094812,0.07401434985261315,0.9332801276935355
Grosshandel (ohne Handel mit Motorfahrzeugen),63259.095499999996,0.2887353557692309,0.6239964178361932,0.21092275181202993,0.8907004830917874
Grundstücks- und Wohnungswesen,14723.8277,0.9475425749999998,0.9208699609920655,0.17331303055115213,0.964349376114082
Handel mit Motorfahrzeugen; Instandhaltung und Reparatur von Motorfahrzeugen,25606.293399999995,-0.08843436111111114,-0.35881684303216993,0.0961357491904705,0.9567198177676538
Heime (ohne Erholungs- und Ferienheime),49867.4249,0.2122173,-0.06484927872337182,0.026155381045151985,0.9702774108322325
"Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen",37343.250100000005,0.7901558666666666,0.5805062421219792,0.18701504773415528,0.8587291795188156
"Herstellung von Druckerzeugnissen; Vervielfältigung von bespielten Ton-, Bild- und Datenträgern",19244.5703,-0.08492830000000001,0.4147535159574972,0.13274763531612865,0.8662420382165605
"Herstellung von Glas und Glaswaren, Keramik. Verarbeitung von Steinen und Erden",5231.4655,-0.7346721749999999,-0.17703838069994082,0.11051935638302497,0.8394495412844036
Herstellung von Gummi- und Kunststoffwaren,8063.0697,-0.713524561111111,0.27471713950730137,0.148588706854413,0.818639798488665
"Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel)",12361.7932,-0.9917948846153847,-0.8488605322579291,0.038815355688040475,0.92
Herstellung von Metallerzeugnissen,24845.2926,-0.5680944147058823,-0.3276992660869419,0.0652842462398692,0.7616099071207431
Herstellung von Nahrungsmitteln und Tabakerzeugnissen,18587.4235,-0.922205610810811,-0.02860327368336153,0.11433172542714164,0.8597748208802457
Herstellung von Papier. Pappe und Waren daraus,9126.758100000001,-0.64109755,-0.10461599343244031,0.08153244469139596,0.8327868852459016
Herstellung von Textilien und Bekleidung,7491.6434,-0.6592031552631579,0.1507590589336483,0.08666421575805384,0.8304498269896193
"Herstellung von chemischen Erzeugnissen, Kokerei und Mineralölverarbeitung",21451.2498,-0.26184086666666667,0.6411895326107786,0.21480927885143547,0.9216417910447762
Herstellung von elektrischen Ausrüstungen,17841.0881,-0.12439562173913044,0.38984270442762453,0.1897575126037296,0.8582089552238806
Herstellung von pharmazeutischen Erzeugnissen,10010.2696,0.12862043333333334,0.5527195147251095,0.12704898577356996,0.9087719298245615
Hochbau,19091.7561,-0.7117375500000002,-0.26916348239221966,0.08097338410896628,0.969639468690702
Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen (ohne Sozialwesen und Sport),20243.511599999998,1.1480757222222224,0.4328892662669432,0.18403558995169594,0.9155963302752294
"Kunst, Unterhaltung und Erholung",8916.6844,-0.18216177826086957,0.3598264308762137,0.12026604866714806,0.9465811965811965
