indu_label,demand_total_tru2,mean_ind_exp,mean_occ_exp,share_high_occ_p80,coverage
Administrative and commercial managers,46026.6106,0.3445396720430256,1.253742970186475,0.838499456110248,0.9488342880498788
"Agricultural, forestry and fishery labourers",3518.3807999999995,0.2716210295068857,-1.5142456066346772,0.0,1.0
"Armed forces occupations, other ranks",167.4966,0.021195675658073093,,,0.0
Assemblers,6464.1293,-0.47938760259943414,-0.8593871556341274,0.0,0.3168132945608003
Building and related trades workers (excluding electricians),77395.50639999998,-0.8970055227010476,-1.2907143748320926,0.0,0.9904107791973826
Business and administration associate professionals,98144.907,0.5482512763414619,1.0478081639659278,0.16013869536938866,0.9932631145088353
Business and administration professionals,94457.2123,0.7224213120644358,1.293706162215531,0.6137764741946152,0.9902942361130852
"Chief executives, senior officials and legislators",11207.6684,0.3931768069135151,0.9610230216035534,0.0,0.9960420848996568
Cleaners and helpers,10923.6018,-0.06084733477040276,-1.4997705789853673,0.0,1.0
Commissioned armed forces officers,33.8192,-0.06395094999999995,,,0.0
Customer services clerks,21552.5951,0.6259346612205954,0.6303640354643951,0.020772964829650607,1.0
Drivers and mobile plant operators,24782.2944,-0.2813366861437397,-0.6473029805426307,0.0,0.9389205666122665
Electrical and electronic trades workers,50530.31189999999,-0.36174913213194737,-0.7349496179052712,0.0,1.0
Food preparation assistants,3539.3653,-0.7183455760006847,-1.5850964494043671,0.0,0.9417539918809738
"Food processing, woodworking, garment and other craft and related trades workers",14409.2453,-0.2061414197591661,-0.6779829308451333,0.0,0.9914327365916936
General and keyboard clerks,64141.7672,0.33485398641195874,1.2213061570791275,0.89166277445502,1.0
Handicraft and printing workers,8802.6997,0.06270114002912273,-0.32556086158275016,0.0,0.980760107038526
Health associate professionals,35465.5819,0.5372669890846424,-0.21068215870004492,0.0,1.0
Health professionals,95133.3893,0.6089614218524927,0.2887832058201766,0.016965750541918182,0.9171713900032363
"Hospitality, retail and other services managers",5530.2606,-0.5082464459739856,0.16352363563212194,0.0,1.0
Information and communications technicians,20496.343100000002,0.5159219692349009,0.4995513847055337,0.0,0.9706338493133441
Information and communications technology professionals,114012.381,0.8126576340101097,1.1943636139008964,0.6831245751754876,0.8438288022421003
"Labourers in mining, construction, manufacturing and transport",9618.416799999999,-0.37317311338923365,-1.3370254996261164,0.0,0.9952287677947165
"Legal, social and cultural professionals",34916.8839,0.63672009693161,1.2079945932272302,0.6437684671966241,0.944167162637328
"Legal, social, cultural and related associate professionals",28476.0547,0.3051648629754013,0.3598008232852465,0.0,0.9672912448788069
Market-oriented skilled agricultural workers,9317.197199999999,-0.20867017593851736,-1.1063309154106995,0.0,1.0
"Market-oriented skilled forestry, fishery and hunting workers",305.1636,-0.1562292345145387,-0.9638657600000005,0.0,1.0
"Metal, machinery and related trades workers",76047.27429999999,-0.2365371232987416,-1.0504398253684317,0.0,0.6965690905768598
Numerical and material recording clerks,45651.0499,0.2831486537558209,0.9230494529805006,0.44663847902418113,0.7221007681577987
Other clerical support workers,44907.6461,0.2744669939737408,0.8912907744771499,0.1311031491664968,0.9998515464385475
Personal care workers,32886.2864,0.5144074343510382,-0.3070549324017815,0.0,1.0
Personal service workers,88879.9641,-0.5056351373924962,-0.7577211531984667,0.0,0.9996071004263601
Production and specialised services managers,26859.861599999997,0.3327466515842313,0.857573033629368,0.050937749945737194,0.9529900518921514
Protective services workers,10562.3099,0.0031997512966981706,-0.251524094174202,0.0,1.0
Refuse workers and other elementary workers,8570.768499999998,-0.5974239470868186,-1.043410505531454,0.0,0.777218425628927
Sales workers,97580.3636,0.03404313987312553,0.033129014706379,0.0,1.0
Science and engineering associate professionals,126177.1509,-0.07638962451426948,0.16136436653651046,0.0,0.9483024394395324
Science and engineering professionals,96075.5559,0.3463302106229327,1.045776739799056,0.2337645630958047,0.8515762904890981
Stationary plant and machine operators,19677.651100000003,-0.43809646686080383,-0.9626187364989638,0.0,0.7527194645706468
Teaching professionals,47242.802299999996,1.012910144230841,0.876818073832164,0.14319000470935955,0.982149934827215
Unknown,993.0318,-0.012589941232294679,,,0.0
Unknown sub-major (major group only),26665.8476,0.3370826951812876,,,0.0
