indu_label,demand_total_tru2,postings_total_tru1,n_ads,mean_ind_exp_tru2,exposed_demand_p80,high_share_p80
Erziehung und Unterricht,66308.8791,62208.8672,2925,1.1862854428571432,66308.8791,1.0
"Telekommunikation, Informationstechnologische und Informationsdienstleistungen",62738.4589,59590.8619,1893,0.9881140437500001,62738.4589,1.0
Erbringung von Finanzdienstleistungen,54843.9067,53028.7561,2527,2.032305333333333,54843.9067,1.0
"Versicherungen, Rückversicherungen und Pensionskassen (ohne Sozialversicherung)",34800.1121,32067.0302,1680,2.08917275,34800.1121,1.0
"Verlagswesen, audiovisuelle Medien und Rundfunk",28163.8821,29027.8664,660,1.3283719699999998,28163.8821,1.0
Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen (ohne Sozialwesen und Sport),20243.5116,18620.9694,545,1.1480757222222224,20243.5116,1.0
Verwaltung und Führung von Untemehmen und Betrieben; Unternehmensberatung,18428.0581,18123.4947,296,1.603005666666666,18428.0581,1.0
Rechts- und Steuerberatung. Wirtschaftsprüfung,16349.1446,14666.688,275,1.6582045,16349.1446,1.0
Grundstücks- und Wohnungswesen,14723.8277,14469.7835,561,0.9475425749999998,14723.8277,1.0
Mit Finanz- und Versicherungsdienstleistungen verbundene Tätigkeiten,7319.281,7262.4956999999995,231,2.1149697,7319.281,1.0
"Architektur- und Ingenieurbüros; technische, physikalische und chemische Untersuchung",115469.9301,112374.8064,2751,0.6304446666666667,0.0,0.0
Beherbergung,19395.5887,18855.2013,288,-0.8153907499999999,0.0,0.0
Detailhandel (ohne Handel mit Motorfahrzeugen),142299.2552,132005.0777,4471,0.029031561818181825,0.0,0.0
"Energieversorgung, Wasserversorgung, Abwasserentsorgung, Beseitigung von Umweltverschmutzungen",24200.1723,23039.6806,982,-0.6259457333333335,0.0,0.0
Erbringung von sonstigen wirtschaftlichen Dienstleistungen,31162.4703,27547.8435,1312,-0.15264912040816322,0.0,0.0
Fahrzeugbau,4588.2835000000005,4379.3931,250,-0.2769384368421053,0.0,0.0
Gastronomie,54225.6532,49205.8672,1864,-1.083814,0.0,0.0
Gesundheitswesen,142064.8877,127600.7458,6265,0.7141869727272726,0.0,0.0
Grosshandel (ohne Handel mit Motorfahrzeugen),63259.0955,62220.1317,1656,0.2887353557692309,0.0,0.0
Handel mit Motorfahrzeugen; Instandhaltung und Reparatur von Motorfahrzeugen,25606.2934,22397.432,878,-0.08843436111111114,0.0,0.0
Heime (ohne Erholungs- und Ferienheime),49867.4249,43310.6679,1514,0.2122173,0.0,0.0
"Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen",37343.2501,35145.6413,1621,0.7901558666666666,0.0,0.0
"Herstellung von Druckerzeugnissen; Vervielfältigung von bespielten Ton-, Bild- und Datenträgern",19244.5703,17447.2603,785,-0.08492830000000001,0.0,0.0
"Herstellung von Glas und Glaswaren, Keramik. Verarbeitung von Steinen und Erden",5231.4655,4974.2546,218,-0.7346721749999999,0.0,0.0
Herstellung von Gummi- und Kunststoffwaren,8063.0697,7830.5543,397,-0.713524561111111,0.0,0.0
