noga_code,noga_label,demand_total_tru2,postings_total_tru1,n_ads,mean_ind_exp_tru2
35,Activities auxiliary to financial and insurance services,7319.281,7262.4956999999995,231,2.1149697
34,"Insurance, reinsurance and pension funding (excluding social security)",34800.1121,32067.0302,1680,2.08917275
33,Financial service activities,54843.9067,53028.7561,2527,2.032305333333333
37,Legal and accounting activities; auditing; tax consultancy,16349.1446,14666.688,275,1.6582045
38,Activities of head offices; management consultancy activities,18428.0581,18123.4947,296,1.603005666666666
31,Publishing; audiovisual and broadcasting activities,28163.8821,29027.8664,660,1.3283719699999998
43,Education,66308.8791,62208.8672,2925,1.1862854428571432
48,Membership organisations; religious and other associations (excluding social work and sports),20243.5116,18620.9694,545,1.1480757222222224
32,Telecommunications; IT services; information service activities,62738.4589,59590.8619,1893,0.9881140437500001
36,Real estate activities,14723.8277,14469.7835,561,0.9475425749999998
40,"Scientific research and development; other professional, scientific and technical activities; veterinary activities",14178.3945,13170.8478,809,0.8867297999999997
13,"Manufacture of computer, electronic and optical products",37343.2501,35145.6413,1621,0.7901558666666666
46,Social work activities without accommodation,17479.4833,13912.441,443,0.7274457857142858
44,Human health activities,142064.8877,127600.7458,6265,0.7141869727272726
39,Architectural and engineering activities; technical testing and analysis,115469.9301,112374.8064,2751,0.6304446666666667
23,Wholesale trade (excluding motor vehicles and motorcycles),63259.0955,62220.1317,1656,0.2887353557692309
45,Residential care activities (excluding holiday and recreational homes),49867.4249,43310.6679,1514,0.2122173
8,Manufacture of basic pharmaceutical products and pharmaceutical preparations,10010.2696,9520.4826,285,0.12862043333333334
24,Retail trade (excluding motor vehicles and motorcycles),142299.2552,132005.0777,4471,0.029031561818181825
42,Public administration and defence; compulsory social security,43741.5326,39917.2254,2983,-0.06395094999999994
41,Administrative and other business support service activities,31162.4703,27547.8435,1312,-0.0792861738095238
6,Printing and reproduction of recorded media,19244.5703,17447.2603,785,-0.08492830000000001
22,Wholesale and retail trade and repair of motor vehicles and motorcycles,25606.2934,22397.432,878,-0.08843436111111114
25,Land transport and transport via pipelines,22429.5099,19579.5507,962,-0.11150409999999997
14,Manufacture of electrical equipment,17841.0881,17390.0196,536,-0.12439562173913044
