occ2_label,demand_total_tru2,postings_total_tru1,n_ads,mean_occ_exp_tru2,exposed_demand_p80,exposed_demand_p90,high_share_p80
Food preparation assistants,3539.3653,2966.0518,152,-1.5850964494043671,0.0,0.0,0.0
"Agricultural, forestry and fishery labourers",3518.3808,2918.2827,76,-1.5142456066346772,0.0,0.0,0.0
Cleaners and helpers,10923.6018,9524.779,488,-1.4997705789853673,0.0,0.0,0.0
"Labourers in mining, construction, manufacturing and transport",9618.4168,7507.7351,349,-1.3370254996261164,0.0,0.0,0.0
Building and related trades workers (excluding electricians),77395.5064,65703.5673,1841,-1.2907143748320926,0.0,0.0,0.0
Market-oriented skilled agricultural workers,9317.1972,8486.1273,350,-1.1063309154106995,0.0,0.0,0.0
"Metal, machinery and related trades workers",76047.2743,70972.403,2600,-1.0504398253684317,0.0,0.0,0.0
Refuse workers and other elementary workers,8570.7685,5718.7688,171,-1.043410505531454,0.0,0.0,0.0
"Market-oriented skilled forestry, fishery and hunting workers",305.1636,305.1636,13,-0.9638657600000005,0.0,0.0,0.0
Stationary plant and machine operators,19677.6511,18103.7953,697,-0.9626187364989638,0.0,0.0,0.0
Assemblers,6464.1293,5738.0369,205,-0.8593871556341274,0.0,0.0,0.0
Personal service workers,88879.9641,79812.6263,3210,-0.7577211531984667,0.0,0.0,0.0
Electrical and electronic trades workers,50530.3119,44962.2802,1681,-0.7349496179052712,0.0,0.0,0.0
"Food processing, woodworking, garment and other craft and related trades workers",14409.2453,13538.6825,510,-0.6779829308451333,0.0,0.0,0.0
Drivers and mobile plant operators,24782.2944,20993.4606,888,-0.6473029805426307,0.0,0.0,0.0
