occ4_code,occ4_label,demand_total_tru2,postings_total_tru1,n_ads,mean_occ_exp_tru2
2653,2653,10.6667,5.3333,1,-2.1227635
9121,9121,70.6236,70.6236,5,-1.9500630000000003
7121,7121,3643.987,3075.8136,71,-1.7529410000000003
9313,9313,2234.8459,1824.2314,79,-1.731341714285714
9214,9214,1231.138,988.604,46,-1.7128209999999995
7131,7131,3779.6266,3049.0429,92,-1.6577600000000003
7123,7123,2286.9339,1798.4729,44,-1.648111
9412,9412,3177.6866,2612.3874,130,-1.6307019999999999
9122,9122,41.38889999999999,41.38889999999999,3,-1.629897
7214,7214,6395.2852,6647.1668,139,-1.609123
9211,9211,505.617,511.9782,5,-1.601349
9311,9311,10.475000000000001,10.475000000000001,2,-1.5431539999999997
9112,9112,7869.7783,6441.1296999999995,399,-1.515585
9321,9321,652.5656,476.93,23,-1.5136200000000002
7114,7114,1801.9243,1648.9957,47,-1.5120674666666671
7112,7112,5707.8088,3802.4102,158,-1.4959014999999998
9111,9111,2545.4674999999997,2578.8933,75,-1.4806570000000001
7122,7122,2379.1509,2134.1037,51,-1.4599382500000002
7124,7124,2465.0582,2062.5279,67,-1.4436935000000006
7211,7211,245.7843,245.7843,10,-1.4432440000000002
9123,9123,7.2,3.6,1,-1.436201
5153,5153,10197.876,8534.6498,626,-1.4362009999999998
8151,8151,12.8829,12.8829,1,-1.392929
7125,7125,787.4839,787.4839,13,-1.3889009999999997
7535,7535,90.3277,90.3277,2,-1.3709680000000002
