occ4_code,occ4_label,demand_total_tru2,postings_total_tru1,n_ads,mean_occ_exp_tru2
1211,1211,3495.6574,3495.6574,140,1.4462320000000002
2120,2120,3302.2187,3202.8701,146,1.4396133999999998
2612,2612,1402.1959,1091.4363,26,1.4356040000000003
2619,2619,4634.5033,4554.424,226,1.4315929999999997
2411,2411,16992.310699999998,16307.398,627,1.426218
2413,2413,6043.9556999999995,6010.6425,262,1.4173156666666666
2634,2634,4111.5871,3462.8513,158,1.4162299999999999
2631,2631,1587.9024,1319.5679,79,1.4037639999999993
2412,2412,12219.8399,10885.9884,498,1.3906820000000002
3312,3312,1261.5201,1261.5201,66,1.3855600000000001
2112,2112,34.487,34.487,2,1.3739170000000003
3352,3352,799.6098000000001,784.9397,57,1.3668200000000001
2421,2421,8053.7932,7952.7909,351,1.3648600000000002
2111,2111,1420.6198,1391.4198,85,1.3597365
4416,4416,5743.675,5727.0083,293,1.3530980000000001
2143,2143,536.0654,536.0654,31,1.3435609999999996
2265,2265,1480.3232,916.2933,41,1.342809
2145,2145,3983.151,4079.5496,93,1.341336
2611,2611,5616.5275,5033.8178,128,1.3287829999999998
3321,3321,10101.8257,8815.4218,498,1.3280349999999999
3324,3324,1338.1319,1303.6319,63,1.3259693333333331
2351,2351,2002.5896,2040.3219,113,1.3018550000000002
1212,1212,4248.5398,4279.027,199,1.301025
4227,4227,38.0295,24.8979,4,1.297031
1222,1222,3076.3263,3217.4391,116,1.2940379999999998
1221,1221,25798.1114,25735.9162,945,1.290656
4413,4413,142.9848,142.9848,10,1.288375
3311,3311,2109.8276,2085.3276,105,1.2862464999999998
2432,2432,1382.3603,1342.8371,65,1.284927
2521,2521,3818.5957,3657.823,154,1.2848630000000003
2142,2142,8311.4553,7998.9018,294,1.2828670000000004
2633,2633,366.2988,296.4852,21,1.281944
2423,2423,12720.6573,11855.043,574,1.2774494250000001
4312,4312,7332.3727,6882.406,363,1.2729534
2514,2514,7699.2181,7462.5758,275,1.271506
1342,1342,1303.8628,1301.5294000000001,91,1.2602589999999998
4313,4313,2087.846,2070.9387,111,1.2576319999999999
4214,4214,362.4355,362.4355,15,1.257279
2636,2636,892.9755,820.3089,22,1.2467405000000003
2512,2512,49271.2072,49468.7148,1667,1.2421154999999997
2529,2529,3389.7961999999998,3389.7961999999998,133,1.2414255000000003
2310,2310,4641.3572,3989.5263,300,1.239840074285714
4110,4110,57192.8261,51161.9399,2216,1.2383683
4323,4323,5303.0661,4518.6014,180,1.2345230000000003
2519,2519,1542.5016,1519.46,52,1.232705
2164,2164,1537.6061,1518.5218,89,1.227516
4229,4229,47.2463,47.2463,2,1.226286
2643,2643,2611.3660999999997,2213.1046,59,1.2196835
3339,3339,220.649,197.829,23,1.2082368571428568
2431,2431,21062.5974,21054.6045,919,1.2073422
2356,2356,611.5338,577.4471,28,1.1984090000000003
2424,2424,2920.2815,2891.7318,144,1.198409
2330,2330,7986.1217,8247.8533,325,1.191325
4311,4311,9912.738,9117.0339,423,1.1866020000000002
2632,2632,887.9576000000001,575.182,47,1.1813298333333335
2511,2511,21811.4878,21883.8628,799,1.1762095000000004
2642,2642,1578.7545,1492.2819,99,1.1574499999999996
1344,1344,1024.5994,944.2193,65,1.156153
2359,2359,911.7992,895.943,51,1.1496293499999999
3344,3344,2914.0138,2854.3335,151,1.140286
2141,2141,8704.4141,8321.8765,337,1.13787
3334,3334,10671.7014,10711.0982,413,1.136554125
2151,2151,6269.0524000000005,6221.508,236,1.126725
5244,5244,3212.3046,2371.7351,117,1.1181290000000002
2434,2434,164.60750000000002,164.60750000000002,8,1.1176031666666666
3314,3314,103.72800000000001,103.72800000000001,6,1.1168657666666666
5211,5211,1388.1414,1346.4249,62,1.107101
5243,5243,7.875,7.875,2,1.107101
2433,2433,9564.7763,9373.5457,314,1.1036967500000003
2641,2641,1954.846,2106.3669,77,1.1000498000000003
4120,4120,6788.6831,6530.3038,311,1.099056
2513,2513,2585.5236,2767.3654,86,1.0894630000000003
2341,2341,9817.6218,11335.5087,346,1.0866970500000004
3322,3322,21331.1165,18849.7015,704,1.0831339000000004
1223,1223,1264.0933,1271.0566000000001,61,1.08245825
4225,4225,15.9323,15.9323,1,1.081472
2353,2353,3199.7722,2368.3409,106,1.0668776666666666
1330,1330,2857.4009,2795.2679,138,1.059853
2422,2422,2415.2531,2252.3288000000002,90,1.0476869999999998
2161,2161,11652.1492,11064.8712,202,1.047142
3313,3313,17010.0451,17036.0464,806,1.039749
3341,3341,1867.1876,1826.396,95,1.038688
2162,2162,96.4111,96.4111,8,1.034388
3323,3323,6931.4538,6851.095,325,1.0322373999999999
1323,1323,839.9192,778.9321,34,1.0291390000000005
2149,2149,3611.3413,3668.7619,131,1.02203408
3342,3342,509.5612,509.5612,34,1.014541
4226,4226,5780.4578,5202.7469,199,1.013186
1346,1346,1177.3543,1163.3543,69,1.01055465
4223,4223,832.0185,649.5851,26,1.0014882000000003
4419,4419,35169.4216,33775.3562,1400,0.9943220500000001
