occ4_code,occ4_label,demand_total_tru2,postings_total_tru1,n_ads,mean_occ_exp_tru2
1211,1211,3495.6574,3495.6574,140,1.4462320000000002
2120,2120,3302.2187,3202.8701,146,1.4396133999999998
2612,2612,1402.1959,1091.4363,26,1.4356040000000003
2619,2619,4634.5033,4554.424,226,1.4315929999999997
2411,2411,16992.310699999998,16307.398,627,1.426218
2413,2413,6043.9556999999995,6010.6425,262,1.4173156666666666
2634,2634,4111.5871,3462.8513,158,1.4162299999999999
2631,2631,1587.9024,1319.5679,79,1.4037639999999993
2412,2412,12219.8399,10885.9884,498,1.3906820000000002
3312,3312,1261.5201,1261.5201,66,1.3855600000000001
2112,2112,34.487,34.487,2,1.3739170000000003
3352,3352,799.6098000000001,784.9397,57,1.3668200000000001
2421,2421,8053.7932,7952.7909,351,1.3648600000000002
2111,2111,1420.6198,1391.4198,85,1.3597365
4416,4416,5743.675,5727.0083,293,1.3530980000000001
2143,2143,536.0654,536.0654,31,1.3435609999999996
2265,2265,1480.3232,916.2933,41,1.342809
2145,2145,3983.151,4079.5496,93,1.341336
2611,2611,5616.5275,5033.8178,128,1.3287829999999998
3321,3321,10101.8257,8815.4218,498,1.3280349999999999
3324,3324,1338.1319,1303.6319,63,1.3259693333333331
2351,2351,2002.5896,2040.3219,113,1.3018550000000002
1212,1212,4248.5398,4279.027,199,1.301025
4227,4227,38.0295,24.8979,4,1.297031
1222,1222,3076.3263,3217.4391,116,1.2940379999999998
