loca_labo_reg2_label,demand_total_tru2,mean_exp_tru2,exposed_demand_p80,exposed_demand_p90,high_share_p80_known,high_share_p90_known,coverage
-3,159037.2458,0.14302422959542774,33237.4007,18241.7152,0.22880320977466917,0.12557428985580604,0.9134106986654066
1,70393.0388,0.3962015332016549,16797.1953,10260.7954,0.2510012955413408,0.15332755812422033,0.9506728582940507
10,78695.5248,0.11413349057907285,14528.4297,6027.4241,0.19417336200802016,0.08055689609353756,0.9507777067394307
11,124425.9,0.009520504817046308,18809.9015,9343.6767,0.16321132908783245,0.08107399673379535,0.9262440456528745
12,494991.4349,0.3477401597845301,121324.3348,63713.9087,0.2544158728627728,0.1336074063140836,0.9633986456681617
13,6449.1759,0.05275165582611454,625.9328,392.6179,0.09820832466727025,0.06160141502950771,0.9882690282955378
14,6640.6739,0.5269929619558307,2449.7382000000002,1105.4732999999999,0.37776136250663833,0.1704692770936542,0.9765398809900906
15,118877.0194,-0.013627445128783377,13704.4374,5964.4147,0.11994163345381795,0.0522007303790496,0.9611548125675835
16,44752.316,-0.12115585456229536,2603.6187,1378.1402,0.06347404183512453,0.033597903068320605,0.9165701569500896
2,76602.4062,0.33542164691534343,18726.2956,6123.6939,0.25620569802793863,0.08378193443442865,0.9541588407702003
3,24484.1565,0.23436732830939683,4399.9072,754.7971,0.20661939963504325,0.03544523021946275,0.8697356553818794
4,25827.4441,0.09172271942355656,4139.3729,999.779,0.17283688807103964,0.04174513755906745,0.9272923641716448
5,77702.1619,0.22870786348287456,10674.9344,5980.5935,0.14326866648827338,0.08026575372242434,0.958916726099483
6,118554.0568,0.29560728802903286,27988.0469,10117.3022,0.2504388567186125,0.09053027548144858,0.9426586581388078
7,32261.2884,-0.03641712105500001,6134.5678,1009.5988,0.19435848980183174,0.03198662146561353,0.9783601326969942
8,135577.2338,0.3319991475842454,26351.201,18057.514,0.19940221803434602,0.13664304499010332,0.9747284901456663
9,42875.7702,-0.2456881037995893,1423.747,432.9399,0.03650730629985046,0.011101318941305323,0.9095804091234729
