loca_labo_reg2_label,demand_total_tru2,mean_exp_tru2,exposed_demand_p80,exposed_demand_p90,high_share_p80_known,high_share_p90_known,coverage
-3,159037.2458,0.2792973957515011,32884.6216,18212.7855,0.223278772799791,0.1236604892453994,0.9260758658082847
1,70393.0388,0.5120658883023839,18265.4659,11730.3118,0.2782880913876183,0.17872011040264005,0.9324089173999405
10,78695.5248,0.12807166660225378,12968.2054,4571.0271,0.18326996586328737,0.06459891363049829,0.8991632444136137
11,124425.9,0.21724411141474806,20208.6751,9413.3293,0.1743872667582966,0.08123069719314699,0.931348629987808
12,494991.4349,0.40177341897626806,104946.1936,60556.9749,0.22968880229260036,0.1325370512079636,0.9230584110860541
13,6449.1759,0.10301593203099921,1040.7277,473.8166,0.1769979052829092,0.08058260166253871,0.911726892113456
14,6640.6739,0.6325176644868624,2219.0883,992.7904,0.36694628161538506,0.16416685433538214,0.9106677109984275
15,118877.0194,0.04735023666289493,15745.1289,6801.9293,0.14870480937506628,0.06424079512865581,0.8906832770068593
16,44752.316,0.058710501939824696,4928.5194,1742.8668,0.11910666970823892,0.042119558318681936,0.9246233848545402
2,76602.4062,0.4308642609952317,16483.3468,8627.7126,0.22982896223009677,0.1202970645061918,0.9362637919329484
3,24484.1565,0.2149354965382292,3561.4355,1832.8313,0.16683366731120017,0.08585806687830076,0.8718790455370597
4,25827.4441,0.2354215146915631,4537.3103,1979.1808,0.191518469775079,0.08354061176380569,0.9172894270246431
5,77702.1619,0.1474113169745315,9841.7593,5559.5792,0.13772436755327824,0.07780006661841046,0.919663288030085
6,118554.0568,0.3403659555490927,23765.6137,11407.3223,0.21995343752708565,0.10557605557917407,0.9113849657821241
7,32261.2884,0.11640317258364166,3996.0409,1328.5794,0.1375767715112353,0.04574068912766486,0.9003328645733812
8,135577.2338,0.4296522471067913,25212.3115,11843.5562,0.20266861803406072,0.09520416910852192,0.9175703878389648
9,42875.7702,-0.18918427430016774,2786.9166999999998,1101.0836,0.07129672792779579,0.02816864165870402,0.9116800565369203
