region,p80_share,q5_share,p90_share,q5_p90_share,diff
AG,0.18748172180977735,0.11578906354914527,0.07169265826063209,0.18748172180977735,0.0
AI,0.22764165638696224,0.22113722963672672,0.006504426750235542,0.22764165638696227,-2.7755575615628914e-17
AR,0.08831297904543008,0.07389679937265381,0.014416179672776261,0.08831297904543008,0.0
BE,0.18574273158955376,0.10985260105597928,0.07589013053357448,0.18574273158955376,0.0
BL,0.25869852245511316,0.06692434107343731,0.1917741813816758,0.2586985224551131,5.551115123125783e-17
BS,0.1754638245912875,0.05541807691492094,0.12004574767636657,0.1754638245912875,0.0
FR,0.18475552669972686,0.14408618799980177,0.04066933869992508,0.18475552669972686,0.0
GE,0.25315079237670635,0.09834258874432213,0.1548082036323842,0.25315079237670635,0.0
GL,0.1904629026714436,0.15738161458074781,0.033081288090695736,0.19046290267144356,5.551115123125783e-17
GR,0.07104328078024298,0.0399772448110101,0.03106603596923288,0.07104328078024298,0.0
JU,0.22263219745229465,0.1673221282383378,0.05531006921395682,0.22263219745229462,2.7755575615628914e-17
LU,0.17014921715038933,0.09613913993504612,0.07401007721534322,0.17014921715038933,0.0
NE,0.20026164372367972,0.16049836140502627,0.0397632823186534,0.20026164372367966,5.551115123125783e-17
NW,0.08157404455401718,0.030633608109069153,0.05094043644494802,0.08157404455401718,0.0
OW,0.034029929692230516,0.034029929692230516,0.0,0.034029929692230516,0.0
SG,0.09710790167090774,0.04335510799972084,0.053752793671186905,0.09710790167090774,0.0
SH,0.10748295097145259,0.06074774186884234,0.04673520910261025,0.10748295097145259,0.0
SO,0.15975905503887114,0.09218777574787962,0.06757127929099153,0.15975905503887117,-2.7755575615628914e-17
SZ,0.2375228627908005,0.14619394085090923,0.09132892193989123,0.23752286279080045,5.551115123125783e-17
TG,0.1296076978269409,0.07928297118003094,0.050324726646909936,0.12960769782694087,2.7755575615628914e-17
TI,0.22795453440825822,0.11356115386143044,0.11439338054682781,0.22795453440825825,-2.7755575615628914e-17
UR,0.02894890383076015,0.02319226193757051,0.005756641893189643,0.028948903830760153,-3.469446951953614e-18
Unknown,0.2433490885254291,0.09455206531160197,0.14879702321382712,0.24334908852542908,2.7755575615628914e-17
VD,0.2691050161102692,0.17714970312615347,0.09195531298411568,0.26910501611026916,5.551115123125783e-17
VS,0.18658733354023146,0.15196591005390658,0.034621423486324875,0.18658733354023146,0.0
ZG,0.1811625721406535,0.06976657873623662,0.11139599340441689,0.1811625721406535,0.0
ZH,0.28154409534886493,0.1253707973481046,0.15617329800076032,0.28154409534886493,0.0
