loca_regi_kant_label,demand_total_tru2,postings_total_tru1,mean_sec_exp_tru2,exposed_demand_p80_sec,exposed_demand_p90_sec,high_share_known_p80_sec,high_share_known_p90_sec,coverage_share_sec
AG,114463.6567,107260.5413,0.21678917400864092,23434.1032,10210.3962,0.21541523317326375,0.09385786430326916,0.9503953677202416
AI,1844.8974,1756.5773,0.3368074931431722,399.9755,35.0289,0.21680094513656967,0.018986909515943815,0.9999999999999999
AR,7546.2278,7309.7552,0.2458556885594593,841.0373000000001,548.609,0.1252401067272383,0.08169417659778404,0.889901455134975
BE,214836.4857,202813.5941,0.17398910621772165,49472.492,18864.7377,0.2451655332501216,0.09348596140748627,0.9392827202628181
BL,41867.1915,40133.664,0.28187447136896493,13014.040500000001,3068.3176,0.3202714528122508,0.07551033327746279,0.9705548746922754
BS,81362.2731,75645.2685,0.39829155586323195,29940.7318,7548.1679,0.3748431653339932,0.09449933178014173,0.9817247522304045
FR,30231.6705,30643.1122,0.11067947101688493,6197.7059,3658.3114,0.21922868350175712,0.12940381570243112,0.9351288212803195
GE,62426.6412,52345.4166,0.3364929746500412,18974.4011,7402.3449,0.3204080767038897,0.12499846925381201,0.948625190489986
GL,7440.0072,6705.2458,-0.07216605207281344,1688.308,1315.657,0.2328664169777089,0.18146708512998905,0.9744767048074899
GR,37641.555,36122.5878,-0.1916529930906338,2746.7009,1154.6162,0.07903483770886081,0.03322345872571039,0.923262609634485
JU,4629.1868,3838.9411,0.1364131508642425,1239.6226,727.818,0.3138676881410183,0.1842807262850965,0.8531750976218976
LU,75143.1916,71584.2586,-0.030206257261446087,13327.6037,5532.7705,0.18425621980735096,0.07649142339005977,0.9625876298285949
NE,21811.0062,16315.6878,0.15460501715927746,5136.4287,1176.0373,0.27298686400226413,0.0625031034649989,0.8626682477399873
NW,4502.7523,4350.1626,-0.25686676150161114,429.4862,273.7728,0.10389024000263182,0.06622406470380776,0.9181135724476781
OW,9627.9513,8429.1408,-0.8199421123870178,332.3212,296.5435,0.0361592389595765,0.032266335335841265,0.9545636255970674
SG,102898.7556,97995.3784,-0.05059886695763916,17488.4263,4868.8297,0.17780374357225853,0.04950108904171649,0.9558719289312766
SH,16150.284,15079.8088,-0.09514347505913497,1072.0148,672.8866,0.06724137511430561,0.04220633920351634,0.9871520030236001
SO,62468.295,58998.7676,0.20957160124292198,18268.1602,4598.6156,0.3084342767725198,0.07764168154934546,0.9481401181191195
SZ,20501.1571,19602.2984,0.2675002708789077,5204.1519,3738.3418,0.2967312353576262,0.2131534209259057,0.855476976955608
TG,41416.6038,40111.7929,-0.016184948533549282,6003.2554,2037.5317,0.14932328635412517,0.05068099043307527,0.9706994806754291
TI,15822.2707,13510.9022,0.20850433694551865,4007.2452,1836.5157,0.2617833311383292,0.11997498871140712,0.9674646762300686
UR,6038.8033,6088.3162,-0.03966156987057069,2083.4916,131.9121,0.3531329963717408,0.022357908777116603,0.9770180128238323
Unknown,99657.4655,82244.3879,0.19654055196543435,27554.5723,7736.2536,0.3003291440522287,0.08432075796941231,0.9206326183360541
VD,90278.5655,78486.2606,0.34490549129432524,24113.7135,11423.7237,0.282197378121622,0.13368927504782016,0.9465127588895949
VS,37749.558,32456.2682,-0.02699221332257672,6969.0642,5655.0899,0.18916269104539893,0.1534972261537863,0.9759489713760358
ZG,29456.9667,27962.2388,0.18919559013590864,6942.3109,2916.9258,0.25799469289810883,0.10840070213184638,0.913493082096603
ZH,400333.4279,379496.352,0.42052846372693153,131718.6823,55842.4238,0.3433812408059434,0.14557722897942585,0.9581840924755811
