loca_regi_kant_label,_section_label,demand_tru2,section_exposure_weighted,rank
AG,Manufacturing,26627.243199999997,-0.4504258140306123,1.0
AG,Wholesale and retail trade; repair of motor vehicles,20155.1047,0.12015324719999998,2.0
AG,Human health and social work activities,18500.4375,0.6271384727272727,3.0
AG,"Professional, scientific and technical activities",7022.3178,1.0473557260869566,4.0
AG,Construction,6336.692300000001,-1.128441925,5.0
AI,Human health and social work activities,736.0944000000001,0.6271384727272726,1.0
AI,Information and communication,364.9466,1.177146225,2.0
AI,Manufacturing,304.5958,-0.4504258140306122,3.0
AI,Accommodation and food service activities,125.1812,-0.9862055454545455,4.0
AI,Wholesale and retail trade; repair of motor vehicles,124.54589999999999,0.12015324720000001,5.0
AR,Human health and social work activities,2743.4818999999998,0.6271384727272729,1.0
AR,Wholesale and retail trade; repair of motor vehicles,935.044,0.12015324719999997,2.0
AR,Manufacturing,832.2869999999997,-0.45042581403061227,3.0
AR,Activities of extraterritorial organisations,710.9686999999999,,4.0
AR,Public administration and defence; compulsory social security,511.0035000000001,-0.06395094999999994,5.0
BE,Manufacturing,36894.385299999994,-0.4504258140306124,1.0
BE,Human health and social work activities,36248.2453,0.6271384727272726,2.0
BE,Wholesale and retail trade; repair of motor vehicles,26004.4018,0.12015324719999998,3.0
BE,"Professional, scientific and technical activities",18867.8459,1.0473557260869566,4.0
BE,Accommodation and food service activities,14504.3884,-0.9862055454545456,5.0
BL,Manufacturing,9631.365099999999,-0.4504258140306123,1.0
BL,Information and communication,7154.187499999998,1.1771462250000002,2.0
BL,Wholesale and retail trade; repair of motor vehicles,6464.7838,0.12015324719999997,3.0
BL,Human health and social work activities,4751.112399999999,0.6271384727272727,4.0
BL,"Professional, scientific and technical activities",2791.5353999999993,1.0473557260869566,5.0
BS,"Professional, scientific and technical activities",18070.3334,1.0473557260869568,1.0
BS,Manufacturing,12101.3849,-0.4504258140306123,2.0
BS,Wholesale and retail trade; repair of motor vehicles,10868.560000000001,0.12015324719999997,3.0
BS,Human health and social work activities,10799.4415,0.6271384727272727,4.0
BS,Financial and insurance activities,4968.8433,2.0728481538461536,5.0
