region,rank,occ2_label,exposed_demand_tru2
ZH,1,Information and communications technology professionals,23640.8855
ZH,2,Business and administration professionals,15448.7566
ZH,3,Business and administration associate professionals,13461.4397
ZH,4,Teaching professionals,8561.7443
ZH,5,"Legal, social and cultural professionals",5259.1753
BE,1,Information and communications technology professionals,8215.1267
BE,2,Teaching professionals,4400.8409
BE,3,Business and administration professionals,2953.5766
BE,4,General and keyboard clerks,2851.2826
BE,5,Business and administration associate professionals,2816.8535
VD,1,Information and communications technology professionals,3698.9395
VD,2,Business and administration associate professionals,2519.1482
VD,3,Teaching professionals,2502.7099
VD,4,Business and administration professionals,1858.6525
VD,5,Science and engineering professionals,1590.6969
Unknown,1,Information and communications technology professionals,8201.9756
Unknown,2,Business and administration associate professionals,3290.9638
Unknown,3,Business and administration professionals,2965.9147
Unknown,4,Customer services clerks,902.573
Unknown,5,Science and engineering professionals,891.9386999999999
AG,1,Information and communications technology professionals,4301.0842999999995
AG,2,Teaching professionals,2022.083
AG,3,Business and administration associate professionals,1814.0223
AG,4,General and keyboard clerks,1710.9145
AG,5,Building and related trades workers (excluding electricians),1558.2948000000001
