loca_regi_kant_label,noga_chg1,noga_chg1_pp,noga_chg2,noga_chg2_pp,noga_chg3,noga_chg3_pp,noga_chg4,noga_chg4_pp,noga_chg5,noga_chg5_pp
-3,Information and communication,8.585292183395902,Construction,-6.9671120350878555,"Professional, scientific and technical activities",-6.628590814795111,Human health and social work activities,6.067017087586775,Wholesale and retail trade; repair of motor vehicles,-5.779926633405711
AG,Human health and social work activities,6.552717490982923,Manufacturing,-5.195985297232319,Financial and insurance activities,4.92286762857832,Activities of households as employers,4.90999971305931,Information and communication,-4.020572068789311
AI,Information and communication,-39.47631388283316,Manufacturing,27.73732015362245,Human health and social work activities,23.890738130011123,Construction,4.628857842777484,Transportation and storage,-4.253941015704353
AR,Wholesale and retail trade; repair of motor vehicles,-23.112570992837707,Activities of extraterritorial organisations,22.149236283470795,Human health and social work activities,-17.815681746271096,Public administration and defence; compulsory social security,-15.757148870792062,Construction,10.612649600214555
BE,Activities of extraterritorial organisations,6.0357154099990025,Construction,-5.95481867293791,Activities of households as employers,3.8335539032278225,"Professional, scientific and technical activities",2.8353270971549396,"Electricity, gas, water supply; sewerage, waste management",-2.7339228562917324
BL,Information and communication,26.838961173320016,Human health and social work activities,-11.441740998267514,Manufacturing,-7.2375626954671315,"Professional, scientific and technical activities",5.896439873149655,Public administration and defence; compulsory social security,-5.161020535640262
BS,Human health and social work activities,15.614063905792081,Information and communication,11.552533877449587,Manufacturing,-7.044686185078461,Wholesale and retail trade; repair of motor vehicles,-6.486389872571522,"Professional, scientific and technical activities",4.458435780784805
FR,Education,11.012713323185974,Human health and social work activities,9.600302436359302,Wholesale and retail trade; repair of motor vehicles,-8.250834876681992,Transportation and storage,-8.200170923897899,Activities of extraterritorial organisations,4.526621214521449
GE,"Professional, scientific and technical activities",-23.599019808290425,Wholesale and retail trade; repair of motor vehicles,12.9735880244292,Financial and insurance activities,-11.263741746107893,Manufacturing,8.805048336451279,Human health and social work activities,6.4892553143447245
GL,"Professional, scientific and technical activities",-11.062273380843992,Activities of households as employers,10.475276362894485,Construction,9.800239219599106,Wholesale and retail trade; repair of motor vehicles,6.140816818116027,Education,-5.833371441815569
GR,Activities of households as employers,15.024790059907462,Human health and social work activities,-12.98851610000587,Construction,-9.521568591095575,"Electricity, gas, water supply; sewerage, waste management",6.015132654155778,Transportation and storage,-3.5651464410699183
JU,"Professional, scientific and technical activities",-27.385222128212444,Activities of extraterritorial organisations,16.503326479237092,Construction,12.4355329109401,Public administration and defence; compulsory social security,-10.462743801163581,Activities of households as employers,7.086440818872679
LU,Transportation and storage,-11.194192500799932,Construction,-9.436566878481473,Wholesale and retail trade; repair of motor vehicles,6.726954758605776,Accommodation and food service activities,5.990509372063977,Manufacturing,4.705284263754566
NE,"Professional, scientific and technical activities",-18.7095617165823,Information and communication,14.524996470787762,Activities of households as employers,12.862203039824665,Activities of extraterritorial organisations,5.274891030423766,Manufacturing,-4.728852302325842
NW,Accommodation and food service activities,48.898617122597734,Wholesale and retail trade; repair of motor vehicles,-28.518716665310684,Activities of households as employers,12.552529172640037,"Professional, scientific and technical activities",-11.089657422311284,Financial and insurance activities,-11.087860496357543
OW,Construction,-12.856502000709236,Activities of extraterritorial organisations,12.06844231862857,Accommodation and food service activities,6.997611200346862,Education,5.7421660789547335,Transportation and storage,-4.941081332400017
SG,Wholesale and retail trade; repair of motor vehicles,-7.591481210240763,Construction,-7.296861882559383,Activities of extraterritorial organisations,4.892976362957861,Accommodation and food service activities,-4.813431080075016,Information and communication,4.525804864769502
SH,Manufacturing,-31.710418118859064,Accommodation and food service activities,16.19268893088602,Human health and social work activities,11.094837035628608,Wholesale and retail trade; repair of motor vehicles,10.749765144812097,Administrative and support service activities,-5.912115315471319
SO,"Professional, scientific and technical activities",-16.667986324207224,Education,11.699529669070907,Activities of extraterritorial organisations,10.823584764762664,Human health and social work activities,10.033188455879118,Information and communication,9.278315268663013
SZ,Activities of extraterritorial organisations,26.566667492268863,Construction,-18.27056523631978,Accommodation and food service activities,-14.917448478326667,Wholesale and retail trade; repair of motor vehicles,-5.70629852000916,Financial and insurance activities,5.4337575814559935
TG,Human health and social work activities,8.308773007624788,"Electricity, gas, water supply; sewerage, waste management",-6.57022441619724,Public administration and defence; compulsory social security,-6.54168803632724,Wholesale and retail trade; repair of motor vehicles,4.896659218111971,Financial and insurance activities,4.585924562314725
TI,Education,9.511527167480406,Administrative and support service activities,8.775091184320782,Public administration and defence; compulsory social security,-7.4129336508173855,Activities of extraterritorial organisations,-6.559820982108771,Transportation and storage,-5.934860818677035
UR,"Professional, scientific and technical activities",51.493573225440656,Accommodation and food service activities,-31.73487309713553,Manufacturing,17.704131420915946,Construction,-14.307725985502682,Wholesale and retail trade; repair of motor vehicles,-10.063450902913011
VD,Human health and social work activities,19.239978237686785,Wholesale and retail trade; repair of motor vehicles,-9.099052208093102,Manufacturing,8.569658186570136,Other service activities,-6.536614419748885,Education,-6.063003613729119
VS,Construction,-23.997765788251684,Manufacturing,11.526850182918317,Public administration and defence; compulsory social security,-10.617989660625817,Education,-8.406354897761432,Human health and social work activities,7.631864775662544
ZG,Manufacturing,-22.692255363069332,Activities of households as employers,13.989090220871581,Information and communication,-5.141007317598194,Transportation and storage,4.812081111861915,Human health and social work activities,4.012291172642356
ZH,Human health and social work activities,6.312544294325139,"Professional, scientific and technical activities",-5.474304256163634,Financial and insurance activities,-4.4271536974541545,Administrative and support service activities,2.9632808857346635,Activities of households as employers,2.886447223822499
