occu_isco_2008,demand_tru2,postings_tru1,mean_exp,high_exp_demand,high_exp_share,impact_score
4110,57192.8261,51161.9399,1.2383682999999999,57192.8261,1.0,70825.78282965261
2512,49271.2072,49468.7148,1.2421154999999982,49271.2072,1.0,61200.53016683151
1221,25798.1114,25735.9162,1.2906560000000031,25798.1114,1.0,33296.48726707848
2411,16992.310699999998,16307.398,1.4262179999999969,16992.310699999998,1.0,24234.739381932544
2423,12720.6573,11855.043,1.2774494249999975,12720.6573,1.0,16249.996353507022
2412,12219.8399,10885.9884,1.3906819999999984,12219.8399,1.0,16993.911391811784
3321,10101.8257,8815.4218,1.3280349999999983,10101.8257,1.0,13415.578093499482
2142,8311.4553,7998.9018,1.2828670000000002,8311.4553,1.0,10662.4917263451
2421,8053.7932,7952.7909,1.3648600000000009,8053.7932,1.0,10992.300186952007
2514,7699.2181,7462.5758,1.2715059999999994,7699.2181,1.0,9789.602009458595
4312,7332.3727,6882.406,1.2729534,7332.3727,1.0,9333.76875853218
2413,6043.9556999999995,6010.6425,1.4173156666666655,6043.9556999999995,1.0,8566.193102249292
4416,5743.675,5727.0083,1.3530980000000012,5743.675,1.0,7771.755155150007
2611,5616.5275,5033.8178,1.328783,5616.5275,1.0,7463.146261032501
2310,4641.3572,3989.5263,1.239840074285714,4641.3572,1.0,5754.540655634534
2619,4634.5033,4554.424,1.4315930000000014,4634.5033,1.0,6634.722482756907
1212,4248.5398,4279.027,1.3010249999999999,4248.5398,1.0,5527.456493294999
2634,4111.5871,3462.8513,1.4162299999999994,4111.5871,1.0,5822.952998632997
2145,3983.151,4079.5496,1.3413359999999996,3983.151,1.0,5342.743829735999
2521,3818.5957,3657.823,1.2848629999999996,3818.5957,1.0,4906.372326889098
1211,3495.6574,3495.6574,1.4462319999999984,3495.6574,1.0,5055.531592916795
2529,3389.7961999999998,3389.7961999999998,1.2414254999999994,3389.7961999999998,1.0,4208.179442483098
2120,3302.2187,3202.8701,1.4396134000000012,3302.2187,1.0,4753.918290250584
1222,3076.3263,3217.4391,1.2940379999999996,3076.3263,1.0,3980.883132599399
3311,2109.8276,2085.3276,1.2862465,2109.8276,1.0,2713.7583661034
4313,2087.846,2070.9387,1.2576320000000005,2087.846,1.0,2625.741940672001
2351,2002.5896,2040.3219,1.3018550000000004,2002.5896,1.0,2607.0812837080007
2631,1587.9024,1319.5679,1.403764,1587.9024,1.0,2229.0402246336
2265,1480.3232,916.2933,1.3428090000000001,1480.3232,1.0,1987.7913158688002
2111,1420.6198,1391.4198,1.3597364999999992,1420.6198,1.0,1931.6685946826988
2612,1402.1959,1091.4363,1.4356040000000003,1402.1959,1.0,2012.9980428236004
2432,1382.3603,1342.8371,1.284927,1382.3603,1.0,1776.2320731981
3324,1338.1319,1303.6319,1.3259693333333333,1338.1319,1.0,1774.3218633550669
1342,1303.8628,1301.5294000000001,1.2602590000000002,1303.8628,1.0,1643.2048284652005
3312,1261.5201,1261.5201,1.3855599999999997,1261.5201,1.0,1747.9117897559995
2636,892.9755,820.3089,1.2467404999999998,892.9755,1.0,1113.3087213577498
3352,799.6098000000001,784.9397,1.36682,799.6098000000001,1.0,1092.922666836
2143,536.0654,536.0654,1.3435609999999996,536.0654,1.0,720.2365648893997
2633,366.2988,296.4852,1.2819440000000004,366.2988,1.0,469.5745488672002
4214,362.4355,362.4355,1.2572790000000003,362.4355,1.0,455.6825430045001
4413,142.9848,142.9848,1.2883750000000003,142.9848,1.0,184.21804170000004
4227,38.0295,24.8979,1.297031,38.0295,1.0,49.3254404145
2112,34.487,34.487,1.3739170000000003,34.487,1.0,47.38227557900001
-2,993.0318,858.115,,0.0,0.0,
110,33.8192,32.8192,,0.0,0.0,
310,167.4966,146.7955,,0.0,0.0,
1000,1912.8111999999999,1905.109,,0.0,0.0,
1111,44.359,44.359,,0.0,0.0,
1112,3236.4178,3233.4178,0.9799637666666676,0.0,0.0,3171.57217779505
1114,993.8638,993.8638,0.9444178333333334,0.0,0.0,938.6226966244334
