occu_isco_2008,demand_tru2,postings_tru1,mean_exp,high_exp_demand,high_exp_share,impact_score,n_ads
4110,57192.8261,51161.9399,1.2383683,57192.8261,1.0,70825.78282965263,2216
2512,49271.2072,49468.7148,1.2421154999999997,49271.2072,1.0,61200.53016683158,1667
1221,25798.1114,25735.9162,1.290656,25798.1114,1.0,33296.4872670784,945
2411,16992.310699999998,16307.398,1.426218,16992.310699999998,1.0,24234.7393819326,627
2423,12720.6573,11855.043,1.2774494250000001,12720.6573,1.0,16249.996353507055,574
2412,12219.8399,10885.9884,1.3906820000000002,12219.8399,1.0,16993.911391811802,498
3321,10101.8257,8815.4218,1.3280349999999999,10101.8257,1.0,13415.578093499498,498
2142,8311.4553,7998.9018,1.2828670000000004,8311.4553,1.0,10662.491726345103,294
2421,8053.7932,7952.7909,1.3648600000000002,8053.7932,1.0,10992.300186952001,351
2514,7699.2181,7462.5758,1.271506,7699.2181,1.0,9789.6020094586,275
4312,7332.3727,6882.406,1.2729534,7332.3727,1.0,9333.76875853218,363
2413,6043.9556999999995,6010.6425,1.4173156666666666,6043.9556999999995,1.0,8566.193102249299,262
4416,5743.675,5727.0083,1.3530980000000001,5743.675,1.0,7771.755155150001,293
2611,5616.5275,5033.8178,1.3287829999999998,5616.5275,1.0,7463.146261032499,128
2310,4641.3572,3989.5263,1.239840074285714,4641.3572,1.0,5754.540655634534,300
2619,4634.5033,4554.424,1.4315929999999997,4634.5033,1.0,6634.722482756899,226
1212,4248.5398,4279.027,1.301025,4248.5398,1.0,5527.456493295,199
2634,4111.5871,3462.8513,1.4162299999999999,4111.5871,1.0,5822.952998632999,158
2145,3983.151,4079.5496,1.341336,3983.151,1.0,5342.743829736,93
2521,3818.5957,3657.823,1.2848630000000003,3818.5957,1.0,4906.372326889101,154
1211,3495.6574,3495.6574,1.4462320000000002,3495.6574,1.0,5055.531592916801,140
2529,3389.7961999999998,3389.7961999999998,1.2414255000000003,3389.7961999999998,1.0,4208.1794424831005,133
2120,3302.2187,3202.8701,1.4396133999999998,3302.2187,1.0,4753.918290250579,146
1222,3076.3263,3217.4391,1.2940379999999998,3076.3263,1.0,3980.8831325993997,116
3311,2109.8276,2085.3276,1.2862464999999998,2109.8276,1.0,2713.7583661033996,105
4313,2087.846,2070.9387,1.2576319999999999,2087.846,1.0,2625.7419406719996,111
2351,2002.5896,2040.3219,1.3018550000000002,2002.5896,1.0,2607.0812837080002,113
2631,1587.9024,1319.5679,1.4037639999999993,1587.9024,1.0,2229.040224633599,79
2265,1480.3232,916.2933,1.342809,1480.3232,1.0,1987.7913158688,41
2111,1420.6198,1391.4198,1.3597365,1420.6198,1.0,1931.6685946826997,85
2612,1402.1959,1091.4363,1.4356040000000003,1402.1959,1.0,2012.9980428236004,26
2432,1382.3603,1342.8371,1.284927,1382.3603,1.0,1776.2320731981,65
3324,1338.1319,1303.6319,1.3259693333333331,1338.1319,1.0,1774.3218633550664,63
1342,1303.8628,1301.5294000000001,1.2602589999999998,1303.8628,1.0,1643.2048284651999,91
3312,1261.5201,1261.5201,1.3855600000000001,1261.5201,1.0,1747.9117897560002,66
2636,892.9755,820.3089,1.2467405000000003,892.9755,1.0,1113.3087213577503,22
3352,799.6098000000001,784.9397,1.3668200000000001,799.6098000000001,1.0,1092.9226668360002,57
2143,536.0654,536.0654,1.3435609999999996,536.0654,1.0,720.2365648893997,31
2633,366.2988,296.4852,1.281944,366.2988,1.0,469.5745488672,21
4214,362.4355,362.4355,1.257279,362.4355,1.0,455.6825430045,15
4413,142.9848,142.9848,1.288375,142.9848,1.0,184.21804170000001,10
4227,38.0295,24.8979,1.297031,38.0295,1.0,49.3254404145,4
2112,34.487,34.487,1.3739170000000003,34.487,1.0,47.38227557900001,2
-2,993.0318,858.115,,0.0,0.0,,47
110,33.8192,32.8192,,0.0,0.0,,7
310,167.4966,146.7955,,0.0,0.0,,13
1000,1912.8111999999999,1905.109,,0.0,0.0,,74
1111,44.359,44.359,,0.0,0.0,,6
1112,3236.4178,3233.4178,0.9799637666666666,0.0,0.0,3171.5721777950466,256
1114,993.8638,993.8638,0.9444178333333334,0.0,0.0,938.6226966244334,49
