occu_isco_2008,demand_tru2,postings_tru1,mean_exp,high_exp_demand,high_exp_share,impact_score,n_ads
4110,57192.8261,51161.9399,1.2383683,57192.8261,1.0,70825.78282965263,2216
2512,49271.2072,49468.7148,1.2421154999999997,49271.2072,1.0,61200.53016683158,1667
4419,35169.4216,33775.3562,0.9943220500000001,0.0,0.0,34969.73138262628,1400
1221,25798.1114,25735.9162,1.290656,25798.1114,1.0,33296.4872670784,945
2511,21811.4878,21883.8628,1.1762095000000004,0.0,0.0,25654.879159494107,799
2431,21062.5974,21054.6045,1.2073422,0.0,0.0,25429.76268263028,919
2411,16992.310699999998,16307.398,1.426218,16992.310699999998,1.0,24234.7393819326,627
3322,21331.1165,18849.7015,1.0831339000000004,0.0,0.0,23104.45540599936,704
3313,17010.0451,17036.0464,1.039749,0.0,0.0,17686.1773826799,806
2412,12219.8399,10885.9884,1.3906820000000002,12219.8399,1.0,16993.911391811802,498
2423,12720.6573,11855.043,1.2774494250000001,12720.6573,1.0,16249.996353507055,574
3118,30775.438,29705.4185,0.52637895,0.0,0.0,16199.5427402301,624
3321,10101.8257,8815.4218,1.3280349999999999,10101.8257,1.0,13415.578093499498,498
2221,55805.4363,49409.008,0.22026199999999996,0.0,0.0,12291.817010310599,2293
2161,11652.1492,11064.8712,1.047142,0.0,0.0,12201.4548175864,202
3334,10671.7014,10711.0982,1.136554125,0.0,0.0,12128.966246938275,413
4311,9912.738,9117.0339,1.1866020000000002,0.0,0.0,11762.474736276,423
2421,8053.7932,7952.7909,1.3648600000000002,8053.7932,1.0,10992.300186952001,351
2144,11428.9562,12115.1445,0.9579069749999999,0.0,0.0,10947.876860949495,328
2341,9817.6218,11335.5087,1.0866970500000004,0.0,0.0,10668.780648075695,346
2142,8311.4553,7998.9018,1.2828670000000004,8311.4553,1.0,10662.491726345103,294
2433,9564.7763,9373.5457,1.1036967500000003,0.0,0.0,10556.612516787027,314
2141,8704.4141,8321.8765,1.13787,0.0,0.0,9904.491671967,337
2514,7699.2181,7462.5758,1.271506,7699.2181,1.0,9789.6020094586,275
2330,7986.1217,8247.8533,1.191325,0.0,0.0,9514.0664342525,325
4312,7332.3727,6882.406,1.2729534,7332.3727,1.0,9333.76875853218,363
3343,9488.1969,9204.0956,0.9574445000000003,0.0,0.0,9084.421936822053,398
2413,6043.9556999999995,6010.6425,1.4173156666666666,6043.9556999999995,1.0,8566.193102249299,262
4416,5743.675,5727.0083,1.3530980000000001,5743.675,1.0,7771.755155150001,293
2611,5616.5275,5033.8178,1.3287829999999998,5616.5275,1.0,7463.146261032499,128
4120,6788.6831,6530.3038,1.099056,0.0,0.0,7461.1428931536,311
3323,6931.4538,6851.095,1.0322373999999999,0.0,0.0,7154.905848732119,325
2151,6269.0524000000005,6221.508,1.126725,0.0,0.0,7063.49806539,236
2619,4634.5033,4554.424,1.4315929999999997,4634.5033,1.0,6634.722482756899,226
1120,6933.0278,6886.8132,0.95456165,0.0,0.0,6618.00245626387,350
4323,5303.0661,4518.6014,1.2345230000000003,0.0,0.0,6546.757070970301,180
3412,13839.565,12059.2338,0.46522550000000007,0.0,0.0,6438.518546907501,452
1324,6665.0497000000005,6575.7393,0.8907922999999999,0.0,0.0,5937.1749518773095,312
4226,5780.4578,5202.7469,1.013186,0.0,0.0,5856.6789165508,199
2634,4111.5871,3462.8513,1.4162299999999999,4111.5871,1.0,5822.952998632999,158
2310,4641.3572,3989.5263,1.239840074285714,4641.3572,1.0,5754.540655634534,300
2131,6286.6262,5649.5542000000005,0.9014893333333333,0.0,0.0,5667.326461953866,231
1212,4248.5398,4279.027,1.301025,4248.5398,1.0,5527.456493295,199
2145,3983.151,4079.5496,1.341336,3983.151,1.0,5342.743829736,93
2212,10884.0664,10310.5449,0.4908406400000001,0.0,0.0,5342.342117578497,545
1211,3495.6574,3495.6574,1.4462320000000002,3495.6574,1.0,5055.531592916801,140
2521,3818.5957,3657.823,1.2848630000000003,3818.5957,1.0,4906.372326889101,154
2120,3302.2187,3202.8701,1.4396133999999998,3302.2187,1.0,4753.918290250579,146
3411,5589.3263,5485.941,0.8335613000000003,0.0,0.0,4659.046096752191,237
3112,30117.8606,29451.1366,0.15467016,0.0,0.0,4658.334317859696,1033
