loca_regi_kant_label,demand_tru2,postings_tru1,mean_exp,high_exp_demand,high_exp_share_total,high_exp_share_known,coverage_share
AG,114463.6567,107260.5413,0.18724772528118833,17211.8889,0.15036990251946059,0.16454969768702282,0.8992129982228992
AI,1844.8974,1756.5773,0.06220216810630305,20.8,0.011274339700408273,0.011560543287731807,0.963302752293578
AR,7546.2278,7309.7552,-0.045416531496181196,632.8788,0.08386690897404396,0.08823136882888624,0.9207920792079208
BE,214836.4857,202813.5941,0.19627229998387904,33334.7247,0.15516323771255955,0.17099558329303224,0.9090796019900498
BL,41867.1915,40133.664,0.36863633512113336,6594.8438,0.15751817983778538,0.169679068920621,0.9253628196268141
BS,81362.2731,75645.2685,0.4871622223582935,15650.1825,0.19235183462444339,0.21158191693633885,0.9250922509225092
FR,30231.6705,30643.1122,0.2805153388448979,5234.014,0.17313016162967243,0.18771227205648533,0.9093904448105437
GE,62426.6412,52345.4166,0.5120410971457907,16071.2698,0.25744248755129245,0.27522223205641067,0.9203833394765942
GL,7440.0072,6705.2458,-0.11137274727330511,480.0955,0.06452890260643834,0.06683442203511317,0.9444444444444444
GR,37641.555,36122.5878,0.1053033062108889,3775.3064,0.10029623909001634,0.10742546593052779,0.9189627228525121
JU,4629.1868,3838.9411,0.1778248312245287,763.7701,0.16499012310326294,0.17122825029689803,0.9259259259259259
LU,75143.1916,71584.2586,0.15614423337707894,10982.0253,0.1461479751679858,0.15805815187516348,0.9043280182232346
NE,21811.0062,16315.6878,0.25822714877763564,3449.7927,0.15816751727850134,0.18225894982464635,0.8812691914022518
NW,4502.7523,4350.1626,0.06484826209537436,403.6335,0.08964150659586582,0.0986681106150791,0.835820895522388
OW,9627.9513,8429.1408,-0.31877044523929965,299.7515,0.031133466576632976,0.03225725602762151,0.8949579831932774
SG,102898.7556,97995.3784,-0.041858044156168665,11499.2492,0.11175304436820614,0.12833600207245596,0.888795045045045
SH,16150.284,15079.8088,0.05757091780694354,1990.5537,0.1232519316688177,0.13944419135864436,0.8984848484848484
SO,62468.295,58998.7676,0.18785352558302856,7916.8933,0.12673458271912175,0.13802593563380147,0.9066813914964108
SZ,20501.1571,19602.2984,0.1372886330634206,2477.2605,0.12083515520204466,0.12780919195478632,0.9481792717086834
TG,41416.6038,40111.7929,0.07704390482815605,5625.5365,0.13582804923275724,0.14969120996566432,0.8871906841339156
TI,15822.2707,13510.9022,0.3586411746789996,3419.843,0.21614110040476048,0.24653018249355088,0.9029029029029029
UR,6038.8033,6088.3162,0.20427954890969227,425.8578,0.07052023039068023,0.07465418966767422,0.905511811023622
Unknown,99657.4655,82244.3879,0.36660786498705145,22140.5317,0.22216631327032893,0.23776592592857962,0.9248520710059172
VD,90278.5655,78486.2606,0.3986266101461067,18875.7723,0.20908365341715582,0.22365088326227042,0.9281045751633987
VS,37749.558,32456.2682,0.1411093584705074,4715.2185,0.12490791282907207,0.13732347023144093,0.9307105108631826
ZG,29456.9667,27962.2388,0.5610760810458417,7417.8827,0.25182099621954623,0.2678854946406922,0.9219730941704036
ZH,400333.4279,379496.352,0.4639245497351485,90939.9977,0.2271606400120953,0.24516784285978202,0.9275392237819984
