adve_time_year,Activities of head offices; management consultancy activities,Activities of households as employers; undifferentiated goods- and services-producing activities of households,Administrative and other business support service activities,Architectural and engineering activities; technical testing and analysis,"Arts, entertainment and recreation",Construction of buildings,Education,"Electricity, gas, water supply; sewerage, waste management and remediation activities",Financial service activities,Human health activities,"Insurance, reinsurance and pension funding (excluding social security)",Land transport and transport via pipelines,Legal and accounting activities; auditing; tax consultancy,Manufacture and processing of basic metals,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of chemicals; coke and refined petroleum products,"Manufacture of computer, electronic and optical products",Manufacture of electrical equipment,Manufacture of fabricated metal products,Manufacture of food products and tobacco products,Manufacture of machinery and equipment,Manufacture of paper and paper products,Manufacture of rubber and plastic products,Manufacture of textiles and wearing apparel,Membership organisations; religious and other associations (excluding social work and sports),Not stated; activities of extraterritorial organisations and bodies,Postal and courier activities,Printing and reproduction of recorded media,Public administration and defence; compulsory social security,Publishing; audiovisual and broadcasting activities,Real estate activities,Retail trade (excluding motor vehicles and motorcycles),"Scientific research and development; other professional, scientific and technical activities; veterinary activities",Specialised construction activities,Telecommunications; IT services; information service activities,Warehousing and support activities for transportation,Water transport and air transport,Wholesale trade (excluding motor vehicles and motorcycles)
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8218,0.0,0.0,9.8511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9953,0.0,11.7327,0.0,10.2667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9711,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,35.4995,0.0,0.0,33.1911,0.0,0.0,0.0,0.0,0.0,38.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.3333,0.0,0.0,0.0,0.0,4.3333
2013,0.0,0.0,0.0,0.0,0.0,0.0,5.3334,0.0,0.0,11.2716,0.0,0.0,0.0,0.0,0.0,0.0,14.5521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0102,0.0,0.0,0.0,0.0,45.0312,0.0,0.0,0.0,0.0,0.0,26.2562
2014,0.0,0.0,0.0,0.0,78.0,0.0,15.3333,0.0,0.0,84.9999,0.0,0.0,0.0,0.0,0.0,30.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3333
2015,0.0,0.0,0.0,0.0,0.0,0.0,27.3333,0.0,6.3333,0.0,35.6667,0.0,0.0,0.0,10.3189,0.0,12.9861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9432,0.0,0.0,0.0,0.0,0.0,70.8334,8.0,0.0,58.5149,0.0,0.0,0.0
2016,0.0,0.0,0.0,47.4178,0.0,0.0,0.0,0.0,55.1754,23.6667,0.0,0.0,0.0,0.0,0.0,0.0,42.9091,0.0,0.0,7.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5877,26.3333,0.0,0.0,0.0,0.0,17.6667
2017,70.5716,0.0,0.0,28.5221,0.0,0.0,347.0,8.0,28.5221,73.265,23.6667,0.0,0.0,0.0,0.0,0.0,146.09879999999998,0.0,5.4568,0.0,72.9887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,52.1864,0.0,33.3,0.0,0.0,19.8261
2018,0.0,0.0,0.0,160.9722,0.0,0.0,12.6667,0.0,42.2,50.7219,78.5,0.0,43.3333,0.0,0.0,3.6667,62.7576,0.0,0.0,23.2807,6.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,8.3333,0.0,23.2807,19.3202,0.0,68.0529,0.0,0.0,9.1852
2019,192.6516,0.0,2.4,35.19070000000001,0.0,0.0,61.4213,0.0,16.2856,95.6808,20.383,0.0,65.1602,0.0,203.40000000000003,2.4,68.27109999999999,0.0,0.0,25.7247,3.8958,0.0,0.0,0.0,30.4122,10.9718,0.0,0.0,6.6,2.6,0.0,0.0,29.541200000000003,0.0,45.545700000000004,0.0,0.0,31.4902
2020,80.0,0.0,22.0192,54.0871,0.0,0.0,91.6,0.0,12.2885,72.0132,20.9986,22.0192,0.0,0.0,0.0,26.8943,34.2,2.6,0.0,0.0,25.819200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2393,5.2778,0.0,0.0,73.66550000000001,0.0,61.947100000000006,0.0,0.0,90.16
2021,72.6,0.0,0.0,67.78829999999999,0.0,0.0,60.7393,17.7882,104.8049,64.8076,0.0,2.0,0.0,0.0,1.2,72.4,47.172,0.0,0.0,0.0,44.2544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6588,0.0,43.9377,19.486,74.2596,0.0,78.1391,53.3334,0.0,155.02
2022,43.8147,4.8006,0.0,118.47,0.0,8.2339,90.3416,0.0,291.54220000000004,91.8195,0.0,0.0,0.0,21.6978,0.0,0.0,63.2824,68.2147,0.0,0.0,0.0,0.0,76.5933,6.0345,0.0,0.0,5.2562,21.9015,21.888,328.798,21.1131,5.7443,108.77860000000001,8.6196,0.0,0.0,29.1764,398.2585
2023,113.5934,117.80080000000001,30.8368,22.8607,0.0,0.0,138.8807,12.6812,109.95009999999999,42.1768,0.0,0.0,0.0,7.3035,0.0,0.0,0.0,0.0,0.0,0.0,3.0125,0.0,0.0,0.0,0.0,0.0,0.0,91.9011,49.9624,255.1921,0.0,0.0,29.2069,22.9639,0.0,0.0,0.0,0.0
2024,14.2819,78.91250000000001,0.0,377.0071,0.0,0.0,110.44330000000001,111.5033,242.2971,16.2212,0.0,0.0,0.0,3.3438,0.0,0.0,0.0,5.6416,0.0,0.0,25.7133,0.0,4.6773,0.0,0.0,0.0,0.0,3.8836,135.9264,149.8989,0.0,5.6416,53.4491,51.8988,0.0,0.0,70.6078,0.0
