adve_time_year,Clerical support workers,Craft and related trades workers,Elementary occupations,Managers,"Plant and machine operators, and assemblers",Professionals,Service and sales workers,Technicians and associate professionals
2010,0.0,0.0,0.0,0.0,0.0,17.6729,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,35.2331,0.0,11.7327
2012,0.0,0.0,4.3333,0.0,0.0,107.20779999999999,0.0,33.1911
2013,0.0,31.6312,48.3645,0.0,0.0,55.1874,0.0,11.2716
2014,0.0,0.0,0.0,78.0,30.15,15.3333,0.0,102.3332
2015,35.6667,0.0,0.0,53.4856,27.6667,146.11079999999998,0.0,8.0
2016,0.0,0.0,0.0,61.5877,0.0,156.4601,0.0,30.3756
2017,0.0,24.6724,0.0,83.6917,0.0,754.2752,0.0,75.265
2018,0.0,0.0,0.0,43.3333,9.1852,528.0572999999999,0.0,62.3623
2019,6.8,31.0,0.0,7.6509,0.0,792.5238,0.0,112.05120000000001
2020,0.0,0.0,0.0,0.0,0.0,610.7516,1.0,98.0774
2021,0.0,0.0,0.0,189.9727,0.0,795.577,0.0,47.8396
2022,0.0,7.2966,0.0,167.6706,0.0,1562.4478,0.0,96.9644
2023,22.2453,0.0,0.0,211.8795,0.0,764.7178,0.0,49.4803
2024,0.0,24.3186,0.0,22.0531,0.0,982.1445,0.0,432.83239999999995
