adve_time_year,Administrative and commercial managers,Business and administration associate professionals,Business and administration professionals,"Chief executives, senior officials and legislators",Electrical and electronic trades workers,Health associate professionals,Health professionals,Information and communications technicians,Information and communications technology professionals,"Labourers in mining, construction, manufacturing and transport","Legal, social and cultural professionals","Legal, social, cultural and related associate professionals","Metal, machinery and related trades workers",Non-commissioned armed forces officers,Numerical and material recording clerks,Other clerical support workers,Production and specialised services managers,Protective services workers,Science and engineering associate professionals,Science and engineering professionals,Stationary plant and machine operators,Teaching professionals,Unknown
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6729,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7327,7.9953,0.0,0.0,0.0
2012,0.0,33.1911,0.0,0.0,0.0,0.0,0.0,0.0,33.3333,4.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.375,0.0,35.4995,0.0
2013,0.0,0.0,0.0,0.0,31.6312,11.2716,0.0,0.0,52.5207,48.3645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6667
2014,0.0,0.0,0.0,78.0,0.0,84.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3333,15.3333,30.15,0.0,0.0
2015,43.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.1752,0.0,0.0,0.0,0.0,0.0,35.6667,0.0,10.3189,0.0,8.0,87.9356,27.6667,0.0,0.0
2016,27.5877,0.0,28.6061,7.6667,0.0,6.6667,17.0,0.0,72.8421,0.0,0.0,23.7089,0.0,0.0,0.0,0.0,26.3333,0.0,0.0,38.0119,0.0,0.0,0.0
2017,16.3704,0.0,101.0937,19.8261,0.0,50.7219,26.1212,24.5431,94.2456,0.0,2.0,0.0,24.6724,0.0,0.0,0.0,47.4952,0.0,0.0,172.4283,0.0,230.0,128.3864
2018,0.0,33.8146,105.501,0.0,0.0,16.9073,0.0,11.6404,270.5143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.3333,0.0,0.0,131.69549999999998,9.1852,12.6667,7.6798
2019,4.298,24.6702,173.0931,0.0,0.0,71.01060000000001,0.0,0.0,244.1818,0.0,33.813500000000005,0.0,31.0,0.0,0.0,6.8,3.3529,0.0,16.3704,331.83540000000005,0.0,0.0,9.6
2020,0.0,17.2,105.7263,0.0,0.0,33.8146,20.9986,12.2885,299.6304,0.0,30.7393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.494300000000003,148.457,0.0,0.0,10.48
2021,27.486,30.9323,176.2549,0.0,0.0,16.9073,16.9073,0.0,283.9409,0.0,12.9657,0.0,0.0,14.6868,0.0,0.0,162.4867,0.0,0.0,287.02139999999997,0.0,3.8,0.0
2022,67.94200000000001,33.826,287.8887,17.8348,7.2966,42.7773,0.0,14.6168,879.3621,0.0,1.1574,0.0,0.0,0.0,0.0,0.0,81.8938,0.0,0.0,309.1007,0.0,0.0,90.6832
2023,211.8795,42.1768,22.8607,0.0,0.0,0.0,0.0,0.0,387.5842,0.0,0.0,0.0,0.0,0.0,0.0,22.2453,0.0,0.0,0.0,209.28560000000002,0.0,31.5979,120.6929
2024,7.4211,0.0,248.5084,0.0,0.0,16.2212,0.0,13.1262,323.9974,0.0,90.751,26.4779,24.3186,0.0,0.0,0.0,14.632,0.0,377.0071,217.1651,0.0,6.3368,95.3858
