adve_time_year,Activities of extraterritorial organisations,Activities of households as employers,Administrative and support service activities,"Arts, entertainment and recreation",Construction,Education,"Electricity, gas, water supply; sewerage, waste management",Financial and insurance activities,Human health and social work activities,Information and communication,Manufacturing,Other service activities,"Professional, scientific and technical activities",Public administration and defence; compulsory social security,Real estate activities,Transportation and storage,Wholesale and retail trade; repair of motor vehicles
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6729,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9711,29.9947,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,35.4995,0.0,0.0,33.1911,0.0,38.375,0.0,32.3333,1.0,0.0,0.0,4.3333
2013,0.0,0.0,0.0,0.0,0.0,5.3334,0.0,0.0,11.2716,0.0,14.5521,0.0,0.0,0.0,0.0,44.0102,71.28739999999999
2014,0.0,0.0,0.0,78.0,0.0,15.3333,0.0,0.0,84.9999,0.0,30.15,0.0,0.0,0.0,0.0,0.0,17.3333
2015,40.9432,0.0,0.0,0.0,0.0,27.3333,0.0,42.0,0.0,58.5149,23.305,0.0,8.0,0.0,0.0,0.0,70.8334
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.1754,23.6667,0.0,50.5758,0.0,73.75110000000001,0.0,0.0,0.0,45.254400000000004
2017,0.0,0.0,0.0,0.0,0.0,347.0,8.0,52.1888,73.265,33.3,224.5443,0.0,151.2801,0.0,0.0,0.0,48.3261
2018,0.0,0.0,0.0,0.0,0.0,12.6667,0.0,120.7,50.7219,76.3862,96.3717,0.0,223.6257,30.0,0.0,0.0,32.4659
2019,10.9718,0.0,2.4,0.0,0.0,61.4213,0.0,36.6686,95.6808,48.145700000000005,303.6916,30.4122,322.5437,6.6,0.0,0.0,31.4902
2020,0.0,0.0,22.0192,0.0,0.0,91.6,0.0,33.2871,72.0132,67.2249,89.51350000000001,0.0,207.7526,14.2393,0.0,22.0192,90.16
2021,0.0,0.0,0.0,0.0,0.0,60.7393,17.7882,104.8049,64.8076,78.1391,165.0264,0.0,214.6479,53.6588,43.9377,55.3334,174.506
2022,0.0,4.8006,0.0,0.0,16.8535,90.3416,0.0,291.54220000000004,91.8195,328.798,257.7242,0.0,271.0633,21.888,21.1131,34.4326,404.0028
2023,0.0,117.80080000000001,30.8368,0.0,22.9639,138.8807,12.6812,109.95009999999999,42.1768,255.1921,102.2171,0.0,165.661,49.9624,0.0,0.0,0.0
2024,0.0,78.91250000000001,0.0,0.0,51.8988,110.44330000000001,111.5033,242.2971,16.2212,149.8989,43.2596,0.0,444.7381,135.9264,0.0,70.6078,5.6416
